X,Y,Name
341031.906,6277081.041,SC535
342103.894,6275447.127,SC537
342446.432,6281190.463,SC538
342107.102,6277937.963,SC540
342988.218,6277675.981,SC541
283983.936,6235400.688,SC542
284747.029,6236925.683,SC543
284573.286,6209257.748,SC544
283171.704,6212558.149,SC547
288309.517,6214065.816,SC548
289595.492,6213910.79,SC549
291133.406,6215566.34,SC550
292674.671,6222567.904,SC551
281275.91,6246266.129,SC555
282674.814,6237321.317,SC558
343995.869,6287152.964,SC434
327028.236,6286355.806,SC452
326152.253,6287175.914,SC448
329407.899,6286109.774,SC456
328658.087,6288454.741,SC449
284961.711,6232458.37,SC24
283681.821,6232944.083,MtHunter
330322.18,6277709.486,SC471
284682.347,6236230.844,Cobbity
283355.764,6236914.969,SC22
286349.89,6229875.662,Matahil
304845.255,6292560.632,SC223
307321.132,6290139.11,SC224
304923.108,6292475.183,SC219
302417.562,6293622.095,SC225
302833.279,6291394.838,Currency
304762.298,6296435.494,SC220
292214.884,6215294.383,SC414
292867.792,6217477.974,SC39
293085.251,6222027.165,SC32
291962.76,6222514.507,SC411
291446.169,6222643.235,FootOnslow
290094.851,6226805.126,SC410
291547.272,6225822.583,SC409
291614.952,6226441.635,SC407
289040.886,6226759.094,SC408
333138.487,6287308.055,SC450
337295.351,6288115.095,SC436
282751.426,6267012.712,SC330
281714.037,6212833.28,Stonequarry
282329.378,6212779.312,SC413
284060.59,6212663.969,SC415
289119.568,6214229.836,SC412
299343.306,6283221.086,SC232
301258.703,6283814.005,SC273
304048.92,6283920.104,SC283
282579.477,6244441.73,SC400
282648.822,6244860.479,SC399
281511.623,6245801.844,SC398
281243.172,6247169.697,SC9
281401.802,6250988.435,Jerrys
279912.115,6240582.423,SC16
280439.9,6241931.619,SC401
281033.549,6238310.202,SC402
280868.646,6238975.613,SC390
280669.662,6242476.855,SC12
280908.351,6240046.506,SC15
279498.758,6255714.535,SC351
280469.233,6257379.65,SC346
281771.369,6259829.105,Glenbrook
282749.342,6261070.767,Mulgoa
283596.363,6261860.646,SC341
285588.023,6264297.542,SC339
276822.278,6252226.154,Erskine
290013.232,6282486.843,Redbank
287289.134,6280237.743,SC277
297766.332,6280857.83,SC287
280785.997,6211353.92,SC40
287085.976,6214667.93,SC43
288035.599,6230132.099,SC25
283039.495,6234041.433,SC406
282695.771,6265694.562,SC333
283189.817,6272072.814,SC379
282880.889,6271187.698,SC301
283445.173,6272196.028,SC295
283842.493,6273456.292,SC292
283892.493,6274166.111,SC297
316726.937,6302175.92,SC208
318728.841,6298369.179,SC427
320272.525,6295953.918,SC425
320803.642,6295798.107,SC492
328089.419,6292549.42,SC431
329266.859,6295415.29,SC440
325833.898,6279135.931,Still
326989.934,6282586.917,SC469
340075.76,6285088.949,Patonga
328244.09,6295714.044,SC426
304829.827,6287666.081,LittleCattai
306452.462,6300496.252,SC207
304465.379,6299879.018,SC213
309184.552,6299438.423,SC216
314756.877,6302409.035,SC199
297916.669,6299857.122,SC210
297240.422,6299118.792,Colo_2
335288.08,6279103.16,SC470
338613.887,6281186.186,SC460
337973.249,6280532.241,SC466
333645.422,6294304.259,SC446
343242.002,6281759.339,SC457
341187.491,6278243.787,SC461
344047.196,6287954.238,SC433
332600.844,6281795.159,SC464
330010.653,6276645.161,SC476
332164.185,6277241.845,SC478
329676.314,6275322.775,SC479
329367.638,6275020.515,SC482
298797.885,6274269.277,Marsden_SthCk
299684.062,6279839.722,McKenzie_SthCk
312291.147,6303389.359,Webbs
325922.442,6278925.047,SC473
325916.585,6282287.713,SC459
328810.518,6283810.001,SC458
288380.571,6226869.147,SC35
337277.101,6298094.102,SC442
282273.47,6208873.975,SC416
281844.548,6209072.446,SC418
280985.291,6209939.698,Bargo
280872.769,6210650.219,SC545
280960.19,6211798.99,SC546
334371.858,6284121.793,SC454
335028.593,6283819.078,SC455
282306.162,6237728.196,SC403
281715.293,6238069.727,SC405
297181.512,6279569.442,Rickabys
313466.334,6302743.687,SC209
309706.457,6299781.286,SC218
298031.398,6277411.636,SC011_SthCk
281619.095,6248309.049,SC10
298160.861,6278999.131,SC001_SthCk
297487.177,6272867.855,SC003_SthCk
299409.093,6274541.754,SC010_SthCk
298032.769,6278304.732,SC012_SthCk
298050.025,6277861.468,SC014_SthCk
298200.799,6275455.432,SC020_SthCk
298138.64,6278859.29,SC125_SthCk
299462.06,6279271.56,SC126_SthCk
299096.923,6274821.11,SC127_SthCk
297805.388,6271748.871,SC130_SthCk
297523.882,6271479.37,SC131_SthCk
299573.121,6279969.894,SC177_SthCk
