Site,COND,ECLOI,ENT,FC,SAL,SED_GS_u22_9,SED_GS_u69_1,SED_ISO_C,SED_ISO_N,SED_MET_Fe,SED_MET_P,TEMP,WQ_CAR_PH,WQ_DIAG_ISO_del13CDOC_ppt,WQ_DIAG_ISO_del15NNOx,WQ_DIAG_ISO_del15NNOx_ppt,WQ_DIAG_ISO_del18ONOx,WQ_DIAG_OXY_SAT,WQ_DIAG_PHY_TCHLA,WQ_DIAG_PHY_TCHLA_EXO,WQ_DIAG_TOT_TDN,WQ_DIAG_TOT_TDP,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TON,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TSS_MINERAL,WQ_DIAG_TOT_TSS_ORGANIC,WQ_DIAG_TOT_TURBIDITY,WQ_DIAG_TOT_TURBIDITY_EXO,WQ_NCS_SS1,WQ_NIT_AMM,WQ_NIT_AMM_GREY,WQ_NIT_NIT,WQ_NIT_NITRITE,WQ_NIT_NITRITE_GREY,WQ_NIT_NIT_GREY,WQ_OGM_DOC,WQ_OGM_DON,WQ_OGM_DOP,WQ_OGM_PON,WQ_OGM_fDOM,WQ_OXY_OXY,WQ_OXY_SAT,WQ_PHS_FRP,WQ_PHY_BGA_PE,WQ_SIL_RSI,spCOND,
N26,x,x,x,x,x, , , , , , ,x,x, , , , , ,x, , , ,x,x,x, ,x,x, , ,x, ,x,x, ,x, , , ,x, , , , ,x,x,x, ,x, ,
N3001, , , , , , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N35,x,x,x,x,x, , , , , , ,x,x, , , , , ,x, , , ,x,x,x, ,x,x, , ,x, ,x,x, ,x, , , ,x, , , , ,x,x,x, ,x, ,
N38,x,x,x,x,x, , , , , , ,x,x, , , , , ,x, , , , ,x, , ,x,x, , ,x, ,x,x, ,x, , , , , , , , ,x,x,x, ,x, ,
N39,x,x,x,x,x, , , , , , ,x,x, , , , , ,x, , , , ,x,x, ,x,x, , ,x, ,x,x, ,x, , , ,x, , , , ,x,x,x, ,x, ,
N42,x,x,x,x,x, , , , , , ,x,x, , , , , ,x, , , , ,x,x, ,x,x, , ,x, ,x,x, ,x, , , ,x, , , , ,x,x,x, ,x, ,
N44, ,x,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x,x, , , , ,x,x, ,x, , , ,x, , , , ,x, ,x, ,x, ,
N48A, , , , , , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N48,x, ,x,x,x, , , , , , ,x,x, , , , , ,x, , , ,x,x,x, ,x,x, , ,x, ,x,x, ,x, , , ,x, , , , ,x,x,x, ,x, ,
N51, , , , , , , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x, , , , , , ,x, ,x, , , ,x, , , , ,x, ,x, , , ,
N53, ,x,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x,x, , , , ,x,x, ,x, , , ,x, , , , ,x, ,x, , , ,
N57,x, ,x,x,x, , , , , , ,x,x, , , , , ,x, , , ,x,x,x, ,x,x, , ,x, ,x,x, ,x, , , ,x, , , , ,x,x,x, ,x, ,
N642, ,x,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x, , , , , , ,x, ,x, , , ,x, , , , ,x, ,x, , , ,
N67,x,x,x,x,x, , , , , , ,x,x, , , , , ,x, , , ,x,x,x, ,x,x, , ,x, ,x,x, ,x, , , ,x, , , , ,x,x,x, ,x, ,
N75,x,x,x,x,x, , , , , , ,x,x, , , , , ,x, , , , ,x,x, ,x,x, , ,x, ,x,x, ,x, , , ,x, , , , ,x,x,x, ,x, ,
N7823, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N86, , , ,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x,x, , , , ,x, , , , , , , , , , , ,x, ,x, ,x, ,
N91,x,x,x,x,x, , , , , , ,x,x, , , , , ,x, , , ,x,x,x, ,x,x, , ,x, ,x,x, ,x, , , , , , , , ,x,x,x, ,x, ,
N92, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x,x, , , , ,x,x, ,x, , , ,x, , , , ,x, ,x, ,x, ,
NB11, , , , , , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NB13, , , , , , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NB42, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NB43, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NB825, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NB83, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NC11, , , , , , , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x, , , , , , ,x, ,x, , , ,x, , , , ,x, ,x, , , ,
NC2, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NC3, , , , , , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, , , , , ,
NC517, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NCB280, , , , , , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, , , , , ,
NS04,x, , , ,x, , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NS081,x,x,x,x,x, , , , , , ,x, , , , , , ,x, , , , ,x, , ,x,x, , , , ,x,x, ,x, , , , , , , , ,x, ,x, , , ,
NS082,x,x,x,x,x, , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x,x, , , , ,x,x, ,x, , , ,x, , , , ,x, ,x, , , ,
NS087, ,x,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x, , , , , , ,x, ,x, , , ,x, , , , ,x, ,x, , , ,
NS090, ,x,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x, , , , , , ,x, ,x, , , ,x, , , , ,x, ,x, , , ,
NS23,x, ,x,x,x, , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NS26,x,x,x,x,x, , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x, , , , , , ,x, ,x, , , ,x, , , , ,x, ,x, , , ,
NS45, , ,x,x, , , , , , , , , , , , , , , , , , , ,x,x, ,x,x, , , , ,x,x, ,x, , , ,x, , , , , , , , ,x, ,
N411, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N412, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N464, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N46A, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N541, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N542, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N7824, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N78, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N911A, , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
N911, , ,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
NC53, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NC5, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NC75, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
NC8, , ,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x, , , , , , ,x, ,x, , , , , , , , ,x, ,x, , , ,
N641, ,x,x,x, , , , , , , ,x, , , , , , ,x, , , , ,x,x, ,x,x, , , , ,x,x, ,x, , , ,x, , , , ,x, ,x, ,x, ,
N64, , , ,x, , , , , , , ,x, , , , , , ,x, , , , ,x, , ,x,x, , , , ,x, , , , , , , , , , , ,x, ,x, ,x, ,
Box_10_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_10_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_10_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_11_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_11_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_11_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_12_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_12_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_12_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_13_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_13_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_13_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_14_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_14_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_14_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_15_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_15_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_15_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_1_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_1_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_2_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_2_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_2_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_3_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_3_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_3_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_4_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_4_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_5_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_5_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_6_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_6_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_6_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_7_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_7_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_7_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_8_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_8_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_8_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_8_D,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_8_E,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_8_F,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_9_A,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_9_B,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Box_9_C,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Douglas_Park,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Maldon_Weir,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
Winmalee_lagoon,x, , , ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
BCFP1,x, , , ,x, , , , , , ,x, , , , , , ,x, , , , ,x, , ,x,x, , , , ,x,x, ,x, , , , , , , , , , ,x, , , ,
BCSO1,x, , , ,x, , , , , , ,x, , , , , , ,x, , , , ,x, , ,x,x, , , , ,x,x, ,x, , , , , , , , , , , , , , ,
BCSO2,x, , , ,x, , , , , , ,x, , , , , , ,x, , , , ,x, , ,x,x, , , , ,x,x, ,x, , , , , , , , , , , , , , ,
SC_1,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_10,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_11,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_12,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_13,x, , , ,x, , ,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_14,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_15,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_16,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_17,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_18,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_19,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_2,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_20,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_21,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_22,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_23,x, , , ,x, , , , , , ,x,x,x, ,x, ,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , , , , , ,x, ,x,x, ,x,
SC_3,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_4,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_45,x, , , ,x, , , , , , ,x,x,x, ,x, ,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , , , , , ,x, ,x,x, ,x,
SC_5,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
SC_52,x, , , ,x, , , , , , ,x,x,x, ,x, ,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , , , , , ,x, ,x,x, ,x,
SC_53,x, , , ,x, , , , , , ,x,x,x, ,x, ,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , , , , , ,x, ,x,x, ,x,
SC_58,x, , , ,x, , , , , , ,x,x,x, ,x, ,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , , , , , ,x, ,x,x, ,x,
SC_59,x, , , ,x, , , , , , ,x,x,x, ,x, ,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , , , , , ,x, ,x,x, ,x,
SC_6,x, , , ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x, , ,x,x,x,x,x,x, ,x, ,x, , , , ,x,x,x,x,x, ,x,x, ,x,
