Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity,FP_mg/L,TP_mg/L,NOx_mg/L,NH_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
25/11/1986 00:00,,,19,,,15,30,,,,,,,,,,,,
18/12/1986 00:00,8,97,24.2,7.2,34.1,96,16,0.009,0.025,0.33,0.01,0.45,0.78,,,15.27,8.13,,
29/01/1987 00:00,,,,,,,,,,,,,,,,,,,
11/02/1987 00:00,6,88,26.8,7.4,1010,,7.4,0.002,0.015,0.06,0.01,0.4,0.46,,,10.63,3.42,,
11/02/1987 00:00,,,26.8,,1165,,,,,,,,,,,,,,
25/02/1987 00:00,7,99,26.2,7.2,940,,11.7,0.003,0.019,0.03,0.01,0.45,0.48,,,11.66,2.14,,
26/03/1987 00:00,6,82,23.4,6.7,28,,22,0.031,0.049,0.29,0.01,0.55,0.84,,,4.28,9.41,,
29/04/1987 00:00,8,94,20.7,7.2,364,,16,0.003,0.019,0.16,0.01,0.35,0.51,,,13.58,0.86,,
26/05/1987 00:00,10,109,18,7.4,165,,10,0.01,0.022,0.05,0.01,0.35,0.4,,,19.84,1.5,,
23/06/1987 00:00,,,,,,,,,,,,,,,,,,,
18/08/1987 00:00,10,106,14.2,7.2,20.3,,9.4,0.005,0.029,0.74,0.01,0.4,1.14,,,43.59,6.2,,
29/09/1987 00:00,7,81,19.9,6.8,21.3,,14.5,0.025,0.046,0.3,0.01,0.3,0.6,,,4.69,10.48,,
18/01/1988 00:00,6,81,26.4,7.1,23.1,,66,,0.035,0.15,0.02,0.4,0.55,,,41.33,,,100
01/03/1988 00:00,6,77,25.8,6.8,24.5,,18,,0.052,0.49,0.01,0.56,1.05,,,5.87,,,
07/04/1988 00:00,7,87,21.2,6.8,20.9,,59,,0.065,0.42,0.01,0.67,1.09,,,8.78,,,
18/05/1988 00:00,7,76,18,,16,9,,,0.025,0.15,0.01,0.92,1.07,9,,,,,
18/05/1988 00:00,7,79,17.9,6.8,15,5,10,,0.023,0.16,0.01,0.94,1.1,5,,4,,,4
08/06/1988 00:00,7,78,15.3,6.9,23.1,,23,,0.069,0.67,,0.94,1.61,,,4.04,,,60
27/07/1988 00:00,,,13.6,6.4,14,,,,0.013,0.34,,,0.69,,,2.9,,,11
27/07/1988 00:00,9,90,13.6,6.4,14,,3,,,,0.01,0.35,0.35,,,2.89,,,10
13/09/1988 00:00,,,17.2,7.5,28,,,,0.036,0.4,,,1.08,,,42.8,,,21
13/09/1988 00:00,10,110,17.2,7.5,28,,8,,,,0.02,0.68,0.68,,,42.8,,,20
11/10/1988 00:00,,,20.1,7.1,34,,,,0.035,0.21,,,0.56,,,14.1,,,21
11/10/1988 00:00,8,93,20.1,7.1,34,,9,,,,0.01,0.35,0.35,,,14.1,,,20
02/11/1988 00:00,,,24.6,7.3,125,,,,0.016,0.09,,,0.72,,,16.4,,,21
02/11/1988 00:00,8,102,24.6,7.3,125,,11,,,,0.04,0.63,0.63,,,16.4,,,20
06/12/1988 00:00,,,,,,,,,,,,,,,,,,,
15/12/1988 00:00,,,,,,,,,,,,,,,,,,,
10/01/1989 00:00,,,24.4,6.8,16,,,0.022,0.079,,,,1.09,,,17.2,,,91
10/01/1989 00:00,7,87,24.4,6.8,16,,54,,,0.19,0.03,0.9,1.09,,,17.2,,,90
07/02/1989 00:00,,,24.1,7.1,18,,,,0.021,,,,0.44,,,15.2,,,11
07/02/1989 00:00,7,89,24.1,7.1,18,,9,,,0.01,,0.43,0.44,,,15.24,,,10
03/03/1989 00:00,,,26.2,7.3,30,,,,,,,,,,,21.2,,,
03/03/1989 00:00,8,104,26.2,7.3,30,,7,,,,,,,,,21.19,,,
16/03/1989 00:00,,,25,7.3,21,,,0.006,0.018,,,,0.46,,,25.6,,,220
16/03/1989 00:00,7,95,25,7.3,21,,10,,,0.04,0.03,0.42,0.46,,,25.63,,,220
13/11/1989 00:00,,,21.4,7.3,564,,,,0.017,,,,0.51,,,13.1,,,11
13/11/1989 00:00,7,92,21.4,7.3,564,13,4,,,0.24,0.05,0.27,0.51,,,13.1,,,10
28/11/1989 00:00,,,23.6,7.5,320,,,,0.016,,,,0.62,,,40.7,,,
28/11/1989 00:00,7,94,23.6,7.5,320,13,4,,,0.07,0.04,0.55,0.62,,,40.7,,,
15/12/1989 00:00,,,25,7.3,34,,,,,,,,,,,14.5,,,
15/12/1989 00:00,7,95,25,7.3,34,,8,,,,,,,,,14.5,,,
16/01/1990 00:00,,,25.2,7.1,30,,,,0.024,,,,0.5,,,19.3,,,
16/01/1990 00:00,7,88,25.2,7.1,30,6,8,,,0.21,0.11,0.29,0.5,,,19.3,,,
30/05/1991 00:00,,,17.6,7.2,440,,,,0.009,,,,0.29,,,21.3,,,5
30/05/1991 00:00,7,84,17.6,7.2,440,9,3,,,0.02,0.03,0.27,0.29,,,21.3,,,4
13/06/1991 00:00,,,14.4,6.1,10,,,0.042,0.056,,,,1.05,,,,,,2500
13/06/1991 00:00,,,14.4,6.1,10,158,380,,,0.56,0.02,0.49,1.05,,,,5.99,,2500
28/06/1991 00:00,,,14.4,7.1,15,,,0.049,0.057,,,,1.07,,,1.6,,,81
28/06/1991 00:00,8,84,14.4,7.1,15,19,50,,,0.66,0.02,0.41,1.07,,,1.6,8.34,,80
12/07/1991 00:00,,,13.3,6.9,18,,,0.031,0.035,,,,0.81,,,0.7,,,21
12/07/1991 00:00,8,78,13.3,6.9,18,10,18,,,0.5,0.06,0.31,0.81,,,0.7,8.98,,20
26/07/1991 00:00,,,12.5,7,15,,,0.012,0.017,,,,0.58,,,1.1,,,29
26/07/1991 00:00,10,96,12.5,7,15,1,9,,,0.28,0.02,0.3,0.58,,,1.1,10.7,,28
09/08/1991 00:00,,,12,7.5,17,,,0.014,0.026,,,,0.8,,,1,,,3
09/08/1991 00:00,9,92,12,7.5,17,5,12,,,0.42,0.02,0.38,0.8,5,,1,10.27,,2
23/08/1991 00:00,,,12.9,7.6,20,,,0.011,0.021,,,,0.67,,,15.1,,,5
23/08/1991 00:00,10,101,12.9,7.6,20,,8,,,0.39,0.01,0.28,0.67,,,15.1,7.7,,4
04/09/1991 00:00,,,15.8,8.3,21,,,0.006,0.024,,,,0.97,,,54.6,,,13
04/09/1991 00:00,11,122,15.8,8.3,21,9,10,,,0.49,0.01,0.48,0.97,,,54.6,1.07,,12
16/09/1991 00:00,,,15.3,7.8,22,,,0.005,0.011,,,,0.72,,,8,,,
16/09/1991 00:00,9,101,15.3,7.8,22,1,3,,,0.46,0.01,0.26,0.72,,,8,0.43,,
04/10/1991 00:00,,,18,7.7,42,,,0.006,0.012,,,,0.58,,,3.7,,,3
04/10/1991 00:00,8,93,18,7.7,42,1,3,,,0.36,0.03,0.22,0.58,,,3.7,0.86,,2
17/10/1991 00:00,,,21.2,7.7,194,,,0.005,0.007,,,,0.8,,,3.5,,,3
17/10/1991 00:00,,,21.2,7.7,194,6,2,,,0.41,0.05,0.39,0.8,,,3.5,0.43,,2
01/11/1991 00:00,,,21,7.1,725,,,0.003,0.008,,,,0.5,,,1.6,,,3
01/11/1991 00:00,7,88,21,7.1,725,3,1,,,0.25,0.02,0.25,0.5,,,1.6,1.07,,2
13/11/1991 00:00,,,22.5,8,,,,0.005,0.01,,,,0.69,,,11.2,,,3
13/11/1991 00:00,8,104,22.5,8,,5,2,,,0.23,0.05,0.46,0.69,,,11.2,1.28,,2
26/11/1991 00:00,,,23.9,9.2,679,,,0.003,0.011,,,,0.48,,,16.5,,,3
26/11/1991 00:00,8,97,23.9,9.2,679,1,5,,,0.12,0.02,0.36,0.48,,,16.5,1.07,,2
09/12/1991 00:00,,,24.1,7.9,544,,,0.002,0.007,,,,0.35,,,7.2,,,3
09/12/1991 00:00,8,101,24.1,7.9,544,2,2,,,0.05,0.02,0.3,0.35,,,7.2,1.28,,2
23/12/1991 00:00,,,21.9,6.8,17,,,0.009,0.031,,,,0.79,,,3.2,,,23
23/12/1991 00:00,5,68,21.9,6.8,17,10,24,,,0.33,0.07,0.46,0.79,,,3.2,6.84,,22
08/01/1992 00:00,,,24.7,8.8,19,,,0.014,0.035,,,,0.61,,,29.4,,,5
08/01/1992 00:00,7,92,24.7,8.8,19,2,11,,,0.21,0.01,0.4,0.61,,,29.4,1.28,,4
23/01/1992 00:00,,,27.4,8.1,22,,,0.007,0.02,,,,0.54,,,27.5,,,9
23/01/1992 00:00,8,111,27.4,8.1,22,1,5,,,0.18,0.01,0.36,0.54,,,27.5,0.43,,8
01/02/1992 00:00,,,,,,,,,,,,,,,,,,,
07/02/1992 00:00,,,26.1,7.8,25,,,0.002,0.021,,,,0.68,,,,,,9
07/02/1992 00:00,7,90,26.1,7.8,25,5,5,,,0.23,0.03,0.45,0.68,,,,2.14,,8
17/02/1992 00:00,,,22.9,6.3,11,,,0.084,0.108,,,,0.79,,,0.9,,,41
17/02/1992 00:00,,,22.9,6.3,11,8,26,,,0.2,0.06,0.59,0.79,,,0.9,10.7,,40
03/03/1992 00:00,,,23.7,7.1,14,,,0.009,0.019,,,,0.57,,,,,,11
03/03/1992 00:00,6,83,23.7,7.1,14,6,13,,,0.25,0.02,0.32,0.57,,,,10.91,,10
18/03/1992 00:00,,,24.3,6.1,23,,,0.017,0.028,,,,0.67,,,3.5,,,17
18/03/1992 00:00,6,73,24.3,6.1,23,1,10,,,0.25,0.01,0.42,0.67,,,3.5,11.98,,16
02/04/1992 00:00,,,22.6,6.4,14,,,0.008,0.018,,,,0.31,,,4.1,,,11
02/04/1992 00:00,7,84,22.6,6.4,14,3,14,,,0.14,0.01,0.17,0.31,,,4.1,9.2,,10
15/04/1992 00:00,,,21.4,8,15,,,0.007,0.015,,,,0.78,,,3,,,3
15/04/1992 00:00,6,80,21.4,8,15,,9,,,0.27,0.01,0.51,0.78,,,3,10.27,,2
01/05/1992 00:00,,,19.9,7,22,,,0.007,0.008,,,,0.6,,,12.6,,,15
01/05/1992 00:00,8,95,19.9,7,22,4,4,,,0.32,0.01,0.28,0.6,,,12.6,3.64,,14
11/05/1992 00:00,,,19.8,7.7,18,,,0.006,0.015,,,,0.48,,,14.6,,,11
11/05/1992 00:00,9,104,19.8,7.7,18,3,4,,,0.21,0.01,0.27,0.48,,,14.6,0.21,,10
26/05/1992 00:00,,,17.2,7.5,19,,,0.004,0.012,,,,0.63,,,3,,,3
26/05/1992 00:00,8,91,17.2,7.5,19,3,2,,,0.38,0.01,0.25,0.63,,,3,0.21,,2
10/06/1992 00:00,,,14.9,7.9,57,,,0.003,0.011,,,,0.71,,,4.8,,,13
10/06/1992 00:00,9,95,14.9,7.9,57,1,2,,,0.41,0.01,0.3,0.71,,,4.8,0.11,,12
23/06/1992 00:00,,,13.7,8,29,,,0.002,0.009,,,,0.73,,,14.3,,,5
23/06/1992 00:00,9,94,13.7,8,29,,1,,,0.48,0.02,0.25,0.73,,,14.3,0.21,,4
10/07/1992 00:00,,,12.9,7.7,24,,,0.004,0.009,,,,0.57,,,5,,,3
10/07/1992 00:00,9,96,12.9,7.7,24,1,2,,,0.22,0.01,0.35,0.57,,,5,0.56,,2
23/07/1992 00:00,,,12.2,7.6,24,,,0.002,0.006,,,,1.09,,,4.6,,,3
23/07/1992 00:00,10,101,12.2,7.6,24,1,2,,,0.84,0.01,0.25,1.09,,,4.6,1.93,,2
06/08/1992 00:00,,,12.9,7.8,41,,,0.002,0.011,,,,1.32,,,9.6,,,3
06/08/1992 00:00,10,104,12.9,7.8,41,,3,,,0.87,0.03,0.45,1.32,,,9.6,1.5,,2
17/08/1992 00:00,,,13.2,7.9,141,,,0.005,0.011,,,,,,,9.6,,,3
17/08/1992 00:00,11,108,13.2,7.9,141,,3,,,,0.03,0.55,0.55,,,9.6,0.43,,2
02/09/1992 00:00,,,13.9,7.8,92,,,0.002,0.011,,,,1.22,,,12.6,,,3
02/09/1992 00:00,10,102,13.9,7.8,92,,4,,,0.77,0.03,0.45,1.22,,,12.6,0.21,,2
15/09/1992 00:00,,,14.7,7.5,512,,,0.002,0.01,,,,1.16,,,4.6,,,3
15/09/1992 00:00,9,95,14.7,7.5,512,,4,,,0.61,0.04,0.55,1.16,,,4.6,0.21,,2
02/10/1992 00:00,9,95,17.4,7.6,211,,2,,,,0.06,0.65,0.65,,,8.5,0.21,,2
02/10/1992 00:00,,,17.4,7.6,211,,,0.002,0.011,0.56,,,1.21,,,8.5,,,3
06/10/1992 00:00,,,,,,,,,,,,,,,,,,,
12/10/1992 00:00,,,,,,,,,,,,,,,,,,,
16/10/1992 00:00,,,,,,,,,,,,,,,,,,,
19/10/1992 00:00,,,,,,,,,,,,,,,,,,,
26/10/1992 00:00,,,,,,,,,,,,,,,,,,,
02/11/1992 00:00,,,,,,,,,,,,,,,,,,,
10/11/1992 00:00,,,,,,,,,,,,,,,,,,,
11/11/1992 00:00,,,,,,,,,,,,,,,,,,,
16/11/1992 00:00,,,,,,,,,,,,,,,,,,,
23/11/1992 00:00,,,,,,,,,,,,,,,,,,,
30/11/1992 00:00,,,,,,,,,,,,,,,,,,,
03/12/1992 00:00,,,,,,,,,,,,,,,,,,,
07/12/1992 00:00,,,,,,,,,,,,,,,,,,,
14/12/1992 00:00,,,,,,,,,,,,,,,,,,,
21/12/1992 00:00,,,,,,,,,,,,,,,,,,,
30/12/1992 00:00,,,,,,,,,,,,,,,,,,,
05/01/1993 00:00,,,,,,,,,,,,,,,,,,,
11/01/1993 00:00,,,,,,,,,,,,,,,,,,,
20/01/1993 00:00,,,,,,,,,,,,,,,,,,,
01/02/1993 00:00,,,27.7,7.6,29,,,0.014,0.024,,,,0.52,,,8.8,,,9
01/02/1993 00:00,7,87,27.7,7.6,29,4,9,,,0.15,0.01,0.37,0.52,,,8.8,0.21,,8
08/02/1993 00:00,,,,,,,,,,,,,,,,,,,
15/02/1993 00:00,,,,,,,,,,,,,,,,,,,
24/02/1993 00:00,,,,,,,,,,,,,,,,,,,
01/03/1993 00:00,,,,,,,,,,,,,,,,,,,
15/03/1993 00:00,,,,,,,,,,,,,,,,,,,
31/03/1993 00:00,,,,,67,,,,,,,,0.46,,,17.6,,,5
31/03/1993 00:00,8,107,24.9,7.7,67,23,17,0.002,0.033,0.03,0.01,0.43,0.46,,,17.6,0.21,,4
14/04/1993 00:00,,,,,80,,,,,,,,0.41,,,14.6,,,5
14/04/1993 00:00,9,105,22.5,7.3,80,3,6,0.002,0.023,0.1,0.01,0.31,0.41,,,14.6,0.21,,4
28/04/1993 00:00,,,,,137,,,,,,,,0.4,,,10,,,3
28/04/1993 00:00,9,103,21.6,7.7,137,10,4,0.002,0.008,0.12,0.01,0.28,0.4,,,10,0.51,,2
12/05/1993 00:00,,,,,,,,,,,,,,,,,,,
17/05/1993 00:00,,,,,,,,,,,,,,,,,,,
26/05/1993 00:00,,,,,244,,,,,,,,0.25,,,6.1,,,3
26/05/1993 00:00,8,,17.3,7.8,244,1,2,0.002,0.007,0.03,0.01,0.22,0.25,,,6.1,1.07,,2
10/06/1993 00:00,,,,,209,,,,,,,,0.25,,,8.9,,,3
10/06/1993 00:00,8,,15.6,7.3,209,1,2,0.002,0.008,0.09,0.14,0.16,0.25,,,8.9,1.07,,2
24/06/1993 00:00,,,,,443,,,,,,,,0.26,,,7.6,,,3
24/06/1993 00:00,9,91,13.5,7.6,443,1,2,0.002,0.017,0.07,0.06,0.19,0.26,,,7.6,2.99,,2
08/07/1993 00:00,,,,,374,,,,,,,,0.3,,,11.4,,,3
08/07/1993 00:00,,,13.5,7.4,374,,2,0.002,0.005,0.09,0.04,0.21,0.3,,,11.4,4.28,,2
23/07/1993 00:00,,,,,,,,,,,,,,,,,,,
04/08/1993 00:00,,,,,309,,,,,,,,0.35,,,28.6,,,11
04/08/1993 00:00,8,,13.5,7.8,309,,4,0.002,0.017,0.25,0.02,0.1,0.35,,,28.6,1.28,,10
18/08/1993 00:00,,,,,494,,,,,,,,0.56,,,14.4,,,5
18/08/1993 00:00,9,,13.5,7.7,494,,7,0.002,0.011,0.3,0.02,0.26,0.56,,,14.4,0.43,,4
01/09/1993 00:00,,,,,,,,,,,,,,,,,,,
08/09/1993 00:00,,,,,,,,,,,,,,,,,,,
15/09/1993 00:00,,,,,,,,,,,,,,,,,,,
22/09/1993 00:00,,,,,,,,,,,,,,,,,,,
29/09/1993 00:00,,,,,,,,,,,,,,,,,,,
13/10/1993 00:00,,,,,,,,,,,,,,,,,,,
27/10/1993 00:00,,,,,,,,,,,,,,,,,,,
03/11/1993 00:00,,,,,,,,,,,,,,,,7.36,,,
10/11/1993 00:00,,,,,,,,,,,,,,,,,,,
24/11/1993 00:00,,,,,,,,,,,,,,,,,,,
01/12/1993 00:00,,,,,,,,,,,,,,,,,,,
02/12/1993 00:00,,,,,,,,,,,,,,,,32.2,,,
08/12/1993 00:00,,,,,,,,,,,,,,,,,,,
22/12/1993 00:00,,,,,,,,,,,,,,,,,,,
05/01/1994 00:00,,,,,,,,,,,,,,,,,,,
12/01/1994 00:00,,,,,,,,,,,,,,,,,,,
19/01/1994 00:00,,,,,,,,,,,,,,,,,,,
27/01/1994 00:00,,,,,,,,,,,,,,,,2.29,,,
02/02/1994 00:00,,,,,,,,,,,,,,,,,,,
04/02/1994 00:00,,,,,,,,,,,,,,,,,,,
09/02/1994 00:00,,,,,,,,,,,,,,,,,,,
16/02/1994 00:00,,,,,,,,,,,,,,,,,,,
23/02/1994 00:00,,,,,,,,,,,,,,,,,,,
01/03/1994 00:00,,,,,,,,,,,,,,,,,,,
09/03/1994 00:00,,,,,,,,,,,,,,,,,,,
15/03/1994 00:00,,,,,,,,,,,,,,,,,,,
22/03/1994 00:00,,,,,,,,,,,,,,,,,,,
30/03/1994 00:00,,,,,,,,,,,,,,,,,,,
06/04/1994 00:00,,,,,,,,,,,,,,,,,,,
12/04/1994 00:00,,,,,,,,,,,,,,,,,,,
19/04/1994 00:00,,,,,,,,,,,,,,,,,,,
26/04/1994 00:00,,,,,,,,,,,,,,,,,,,
03/05/1994 00:00,,,,,,,,,,,,,,,,,,,
09/05/1994 00:00,,,,,,,,,,,,,,,,,,,
18/05/1994 00:00,,,,,,,,,,,,,,,,,,,
24/05/1994 00:00,,,,,,,,,,,,,,,,,,,
26/05/1994 00:00,,,16.5,7.9,616,,,0.005,0.01,,,,0.35,,,4.2,,,3
26/05/1994 00:00,7,,16.5,7.9,616,2,4,,,0.16,0.02,0.19,0.35,,,4.2,2.35,,2
01/06/1994 00:00,,,,,,,,,,,,,,,,,,,
06/06/1994 00:00,,,,,,,,,,,,,,,,,,,
14/06/1994 00:00,,,,,,,,,,,,,,,,,,,
20/06/1994 00:00,,,,,,,,,,,,,,,,,,,
28/06/1994 00:00,,,,,,,,,,,,,,,,,,,
29/08/1995 00:00,,,15.7,7.62,961.5,,,0.003,0.01,,0.01,,0.265,,,2.25,,,
29/08/1995 00:00,,94,15.7,7.62,963,,,0.003,0.008,0.06,0.01,,0.26,,,2.2,,,2
29/08/1995 00:00,,94,15.7,7.62,963,,,0.002,0.011,0.06,0.01,,0.27,,,2.3,,,2
26/09/1995 00:00,,100,15.8,7.69,57.6,,,0.006,0.019,0.2,0.01,,0.42,,,,,,4
26/09/1995 00:00,,100,15.8,7.69,57.6,,,0.004,0.018,0.18,0.01,,0.39,,,,,,20
10/10/1995 00:00,,75,18.2,7.35,49.3,,,0.069,0.106,0.84,0.09,,1.36,,,2.8,,,16
10/10/1995 00:00,,75,18.2,7.35,49.3,,,0.059,0.108,0.85,0.08,,1.33,,,1.3,,,44
07/11/1995 00:00,,,,,,,,0.02,0.076,0.65,0.01,,0.97,,,8.8,,,8
07/11/1995 00:00,,,,,,,,0.019,0.052,0.64,0.01,,0.91,,,9.2,,,6
21/11/1995 00:00,,,,,,,,0.007,0.023,0.34,0.01,,0.83,,,5.5,,,20
21/11/1995 00:00,,,,,,,,0.021,0.023,0.33,0.01,,0.84,,,5.1,,,32
05/12/1995 00:00,,,,,,,,0.014,0.04,0.45,0.01,,0.79,,,16.7,,,12
05/12/1995 00:00,,,,,,,,0.017,0.04,0.45,0.005,,0.78,,,15.5,,,12
05/12/1995 00:00,,,,,,,,,,,,,,,,,,,
05/12/1995 00:00,,,,,,,,,,,,,,,,,,,
16/01/1996 00:00,,,,,,,,0.014,0.034,0.45,0.005,,0.81,,,17.4,,,2
16/01/1996 00:00,,,,,,,,0.014,0.037,0.43,0.005,,0.8,,,13.6,,,8
16/01/1996 00:00,,,,,,,,,,,,,,,,,,,
13/02/1996 00:00,,,,,,,,0.018,0.031,0.38,0.03,,0.75,,,7.9,,,4
13/02/1996 00:00,,,,,,,,0.015,0.029,0.38,0.01,,0.71,,,8.8,,,2
12/03/1996 00:00,,,,,,,,0.045,0.017,0.2,0.01,,0.46,,,11.6,,,2
12/03/1996 00:00,,,,,,,,0.007,0.019,0.2,0.01,,0.51,,,10.3,,,2
10/04/1996 00:00,,,,,,,,,,,,,,,,,,,
07/05/1996 00:00,,,,,,,,0.008,0.03,0.72,0.03,,1.08,,,,,92,72
07/05/1996 00:00,,80,20.8,7.4,25,,,0.009,0.029,0.72,0.03,,1.08,,,,,92,80
21/05/1996 00:00,,89,20.1,7.11,208,,,0.016,0.035,0.31,0.03,,0.55,,,4.5,,4,2
21/05/1996 00:00,,,,,,,,0.017,0.035,0.32,0.03,,0.56,,,4.1,,42,6
18/06/1996 00:00,,88,14.8,7.29,145.5,,,0.006,0.022,0.24,0.01,,0.4,,,9.4,,2,2
18/06/1996 00:00,,,,,,,,0.008,0.028,0.28,0.01,,0.54,,,8.9,,2,6
16/07/1996 00:00,9,90,12.8,7.77,194,7.5,7.48,,,0.12,0.01,,0.2,,,9.1,,2,4
16/07/1996 00:00,,,,,,,,0.004,0.01,0.12,0.01,,0.17,,,9.6,,2,2
14/08/1996 00:00,,,,,,,,,,,,,,,,,,,
14/08/1996 00:00,,,,,,,,,,,,,,,,,,,
02/09/1996 00:00,,80,12.5,7,31.7,,,0.034,0.115,1.43,0.03,,2,,,,,1200,2400
02/09/1996 00:00,,80,12.5,7,31.7,,,0.037,0.119,1.46,0.04,,1.93,,,,,920,2200
12/09/1996 00:00,,129,14.3,7,24.3,,,0.032,0.079,0.5,0.09,,0.89,,,0.9,,14,74
12/09/1996 00:00,12,129,14.3,7,24.3,,46.7,,,0.495,0.09,,0.91,,,2.3,,20,59
08/10/1996 00:00,,,,,,,,,,,,,,,,,,,
22/10/1996 00:00,,,,,,,,,,,,,,,,,,,
05/11/1996 00:00,,,,,,,,,,,,,,,,,,,
06/11/1996 00:00,,130.1,21.3,7.92,66.4,,,0.005,0.024,0.14,0.01,,0.33,,,,,2,6
06/11/1996 00:00,,,,,,,,0.004,0.024,0.14,0.01,,0.38,,,,,4,6
14/11/1996 00:00,,,,,,,,,,,,,,,,,,,
14/11/1996 00:00,,,,,,,,,,,,,,,,,,,
14/11/1996 00:00,,,,,,,,,,,,,,,,,,,
28/11/1996 00:00,,,,,,,,,,,,,,,,,,,
11/12/1996 00:00,,,,,,,,,,,,,,,,,,,
11/12/1996 00:00,,,,,,,,,,,,,,,,,,,
19/12/1996 00:00,,,,,,,,,,,,,,,,,,,
14/01/1997 00:00,,,,,,,,,,,,,,,,,,,
14/01/1997 00:00,,,,,,,,,,,,,,,,,,,
14/01/1997 00:00,,,,,,,,,,,,,,,,,,,
30/01/1997 00:00,,,,,,,,,,,,,,,,,,,
31/01/1997 00:00,,,,,,,,0.017,0.088,0.01,0.06,,0.83,,,,,16,4
31/01/1997 00:00,,84.3,25.2,7.61,42.8,,,0.016,0.093,0.01,0.06,,0.83,,,,,16,6
12/02/1997 00:00,,,,,,,,,,,,,,,,,,,
12/02/1997 00:00,,,,,,,,,,,,,,,,,,,
12/02/1997 00:00,,,,,,,,,,,,,,,,,,,
13/03/1997 00:00,,,,,,,,,,,,,,,,,,,
25/03/1997 00:00,,,,,,,,,,,,,,,,,,,
14/04/1997 00:00,,,,,,,,,,,,,,,,,,,
14/04/1997 00:00,,,,,,,,,,,,,,,,,,,
14/04/1997 00:00,,,,,,,,,,,,,,,,,,,
23/04/1997 00:00,,,,,,,,,,,,,,,,,,,
14/05/1997 00:00,,,,,,,,,,,,,,,,,,,
14/05/1997 00:00,,,,,,,,,,,,,,,,,,,
29/05/1997 00:00,,,,,,,,,,,,,,,,,,,
19/06/1997 00:00,,,,,,,,,,,,,,,,,,,
19/06/1997 00:00,,,,,,,,,,,,,,,,,,,
25/06/1997 00:00,,,,,,,,,,,,,,,,,,,
09/07/1997 00:00,,,,,,,,,,,,,,,,,,,
25/07/1997 00:00,,,,,,,,,,,,,,,,,,,
25/07/1997 00:00,,,,,,,,,,,,,,,,,,,
12/08/1997 00:00,,,,,,,,,,,,,,,,,,,
12/08/1997 00:00,,,,,,,,,,,,,,,,,,,
26/08/1997 00:00,,,,,,,,,,,,,,,,,,,
11/09/1997 00:00,,,,,,,,,,,,,,,,,,,
11/09/1997 00:00,,,,,,,,,,,,,,,,,,,
25/09/1997 00:00,,,,,,,,,,,,,,,,,,,
08/10/1997 00:00,,106.5,18.5,8.09,314,,,0.002,0.012,0.18,0.01,,0.63,,,,,2,8
08/10/1997 00:00,,,,,,,,0.002,0.009,0.15,0.01,,0.58,,,,,2,2
17/10/1997 00:00,,,,,,,,,,,,,,,,,,,
17/10/1997 00:00,,,,,,,,,,,,,,,,,,,
