Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NOx_mg/L,NH_mg/L,Total Kjedahl Nitrogen,TN_mg/L,TOC_mg/L,DOC,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
18/02/1982 00:00,,110,29.2,8.2,,,2,0.004,0.014,,, ,,, ,2.96,6.203208556,,
25/02/1982 00:00,,,,,,,,,,,, ,,, ,,,,
04/03/1982 00:00,,,,,,,,,,,, ,,, ,,,,
11/03/1982 00:00,,86.8,23.2,7.2,,,4,0.003,0.01,,, ,,, ,4.68,7.272727273,,
16/03/1982 00:00,,,,,,,,,,,, ,,, ,,,,
18/03/1982 00:00,,,,,,,,,,,, ,,, ,,,,
25/03/1982 00:00,,79.8,22.5,6.8,,,3,0.006,0.014,,, ,,, ,4.26,7.700534759,,
01/04/1982 00:00,,73,19.5,6.4,,,7,0.005,0.013,,, ,,, ,4.07,7.914438503,,
07/04/1982 00:00,,,,,,,,,,,, ,,, ,,,,
15/04/1982 00:00,,,,,,,,,,,, ,,, ,,,,
22/04/1982 00:00,,73.8,18.6,6.7,,,4,0.004,0.011,,, ,,, ,3.85,8.128342246,,
29/04/1982 00:00,,,,,,,,,,,, ,,, ,,,,
06/05/1982 00:00,,,,,,,,,,,, ,,, ,,,,
11/05/1982 00:00,,,,,,,,,,,, ,,, ,,,,
20/05/1982 00:00,,,,,,,,,,,, ,,, ,,,,
27/05/1982 00:00,,,,,,,,,,,, ,,, ,,,,
03/06/1982 00:00,,,,,,,,,,,, ,,, ,,,,
11/06/1982 00:00,,,,,,,,,,,, ,,, ,,,,
17/06/1982 00:00,,,,,,,,,,,, ,,, ,,,,
24/06/1982 00:00,,91,11.1,7.5,,,1.3,0.005,0.012,0.02,0.02,0.1,0.12,, ,1.78,6.203208556,,
01/07/1982 00:00,,106,11.6,7.5,,,1,0.004,0.012,,, ,,, ,2.51,5.77540107,,
08/07/1982 00:00,,95,10,7,,,0.5,0.003,0.006,0.03,0.01,0.06,0.09,, ,0.59,5.347593583,,
15/07/1982 00:00,,,,,,,,,,,, ,,, ,,,,
22/07/1982 00:00,,93,9.5,7.5,,,7,0.003,0.007,0.02,0.008,0.5,0.52,, ,1.85,4.919786096,,
29/07/1982 00:00,,98,11,7.6,,,1,0.01,0.011,0.03,0.002,0.6,0.63,, ,1.66,4.705882353,,
05/08/1982 00:00,,97,10.8,7.6,,,0.8,0.004,0.008,0.02,0.004, ,0.02,, ,1.7,4.278074866,,
12/08/1982 00:00,,111,13.5,7.7,,,4.5,0.004,0.014,,, ,,, ,11.8,3.85026738,,
19/08/1982 00:00,,98.8,13.3,7.6,,,1.2,0.006,0.009,0.02,0.02,0.4,0.42,, ,2.39,3.20855615,,
26/08/1982 00:00,,90,14.2,7.7,,,1.5,0.003,0.006,,, ,,, ,1.51,3.20855615,,
02/09/1982 00:00,,91,16,7.6,,,1,0.002,0.01,0.03,0.09,0.72,0.75,, ,2.2,2.994652406,,
09/09/1982 00:00,,101,16,7.3,,,1.5,0.004,0.009,,, ,,, ,2.25,2.994652406,,
16/09/1982 00:00,,,,,,,,,,,, ,,, ,,,,
23/09/1982 00:00,,,,,,,,,,,, ,,, ,,,,
27/09/1982 00:00,,,,,,,,,,,, ,,, ,,,,
07/10/1982 00:00,,103,16.7,7.4,,,1.4,0.007,0.026,,, ,,, ,3.51,4.278074866,,
14/10/1982 00:00,,112.9,19.9,7.7,,,,0.007,0.014,0.01,0.018,0.24,0.25,, ,3.21,4.064171123,,
20/10/1982 00:00,,115,20.2,7.9,,,,0.004,0.011,,, ,,, ,1.97,4.064171123,,
27/10/1982 00:00,,116,22.2,8.6,,,1.3,0.004,0.008,0.02,0.002, ,0.02,, ,1.7,3.85026738,,
04/11/1982 00:00,,,,,,,,,,,, ,,, ,,,,
11/11/1982 00:00,,96,22.1,8.6,,,1.5,0.005,0.014,0.03,0.008,0.42,0.45,, ,0.92,2.352941176,,
18/11/1982 00:00,,115.6,24.1,8.6,,,2,0.011,0.02,,, ,,, ,4.16,2.780748663,,
24/11/1982 00:00,,106.6,25,8.2,,,2.5,0.005,0.01,0.01,0.004, ,0.01,, ,0.97,2.780748663,,
01/12/1982 00:00,,87,24.6,7.8,,,1.5,0.005,0.011,,, ,,, ,1.79,3.20855615,,
09/12/1982 00:00,,,,7.8,,,1.7,0.007,0.035,0.01,0.024,0.77,0.78,, ,2.21,2.994652406,,
16/12/1982 00:00,,116,26.5,8.5,,,1.5,0.005,0.014,,, ,,, ,2.69,3.85026738,,
22/12/1982 00:00,,77,24,7.4,,,1.2,0.004,0.01,0.02,0.016,0.66,0.68,, ,0.77,3.422459893,,
29/12/1982 00:00,,,,,,,,,,,, ,,, ,,,,
06/01/1983 00:00,,101,25.5,8.5,,,0.8,0.006,0.009,,, ,,, ,1.12,3.85026738,,
13/01/1983 00:00,,,,,,,,,,,, ,,, ,,,,
20/01/1983 00:00,,,,,,,,,,,, ,,, ,,,,
23/01/1983 00:00,,67,22.4,7.6,,,5.3,0.005,0.024,0.01,0.01,0.55,0.56,, ,7.58,5.13368984,,
25/01/1983 00:00,,71,15.6,7.4,,,0.6,0.011,0.017,0.14,0.2,0.48,0.62,, ,1.11,9.197860963,,
27/01/1983 00:00,,,,,,,,,,,, ,,, ,,,,
01/02/1983 00:00,,,,,,,,,,,, ,,, ,,,,
03/02/1983 00:00,,,,,,,,,,,, ,,, ,,,,
10/02/1983 00:00,,,,,,,,,,,, ,,, ,,,,
17/02/1983 00:00,,119,28,9.3,,,2,,,0.02,0.01,0.38,0.4,, ,1.14,5.989304813,,
25/02/1983 00:00,,,,,,,,,,,, ,,, ,,,,
02/03/1983 00:00,,,,,,,,,,,, ,,, ,,,,
09/03/1983 00:00,,122,27.7,9.3,,,1.4,,,0.89,0.02, ,0.89,, ,1.1,6.844919786,,
16/03/1983 00:00,,87,23.7,8.6,,,1.5,,,,, ,,, ,0.92,6.844919786,,
17/03/1983 00:00,,102,24.5,8.2,20,,1.4,,,,, ,,, ,2.3,,,
21/03/1983 00:00,,75,23,7.1,,,13,,,0.04,0.01,0.8,0.84,, ,7.13,7.700534759,,
23/03/1983 00:00,,72,21.1,6.8,,,200,,,0.84,0.07,1.19,2.03,, ,6.47,8.128342246,,
24/03/1983 00:00,,,,,,,,,,1.22,0.02,0.97,2.19,, ,,,,
25/03/1983 00:00,,,,,,,,,,1.09,0.03,0.9,1.99,, ,,,,
28/03/1983 00:00,,,22.9,6.6,,,,0.1,0.3,0.95,1.03,2.26,3.21,, ,,,,
28/03/1983 00:00,,84.6,23.5,6.9,,,45,0.04,0.12,0.85,1.03,2.02,2.87,, ,13.74,8.983957219,,
06/04/1983 00:00,,63,19.4,6.9,,,18,,,,, ,,, ,22.57,8.556149733,,
13/04/1983 00:00,,55,18.9,6.9,,,5,,,1.4,0.08,0.9,2.3,, ,5.43,8.770053476,,
20/04/1983 00:00,,,,,,,,,,,, ,,, ,,,,
27/04/1983 00:00,,74.9,17.5,7,,,3.3,,,0.39,0.02,0.68,1.07,, ,2.25,,,
04/05/1983 00:00,,,,,,,,,,,, ,,, ,,,,
11/05/1983 00:00,,,,,,,,,,,, ,,, ,,,,
18/05/1983 00:00,,81,16.4,6.7,,,3.6,0.005,0.011,,, ,,, ,2.53,7.272727273,,
25/05/1983 00:00,,71,15.7,6.7,,,4.6,0.005,0.014,0.12,0.01,0.52,0.64,, ,2.28,7.272727273,,
31/05/1983 00:00,,86.7,14.2,6.9,,,4.8,,,0.16,0.01,0.59,0.75,, ,1.54,,,
07/06/1983 00:00,,91.6,14.2,7,,,4,,,,0.01,0.86,0.86,, ,2.29,,,
14/06/1983 00:00,,,,,,,,,,,, ,,, ,,,,
20/06/1983 00:00,,,,,,,,,,,, ,,, ,,,,
28/06/1983 00:00,,,,,,,,,,,, ,,, ,,,,
05/07/1983 00:00,,90,11.9,7.2,,,11,0.024,0.037,0.43,0.02,0.6,1.03,, ,3.93,7.058823529,,
12/07/1983 00:00,,,,,,,,,,,, ,,, ,,,,
19/07/1983 00:00,,,,,,,,,,,, ,,, ,,,,
26/07/1983 00:00,,116,11.7,7.9,,,4.2,0.011,0.016,0.4,0.018,0.76,1.16,, ,4.16,1.28342246,,
02/08/1983 00:00,,,,,,,,,,,, ,,, ,,,,
09/08/1983 00:00,,125,13.8,7.3,,,3,0.007,0.027,0.3,0.046,1.05,1.35,, ,4.27,1.069518717,,
16/08/1983 00:00,,,,,,,,,,,, ,,, ,,,,
23/08/1983 00:00,,102,13.5,7.3,,,1.5,0.004,0.008,0.26,0.014,0.2,0.46,, ,2.04,1.28342246,,
30/08/1983 00:00,,,,,,,,,,,, ,,, ,,,,
06/09/1983 00:00,,,,,,,,,,,, ,,, ,,,,
13/09/1983 00:00,,82,15,7,,,1.6,,0.013,0.19,0.026,0.5,0.69,, ,3.71,1.92513369,,
19/09/1983 00:00,,,,,,,,,,,, ,,, ,,,,
27/09/1983 00:00,,125,19.9,8.8,,,2.5,0.004,0.012,0.04,0.02,0.7,0.74,, ,3.34,2.352941176,,
04/10/1983 00:00,,96.9,19.2,8.2,,,1.8,0.004,0.011,0.04,0.03,0.65,0.69,, ,3.4,2.56684492,,
11/10/1983 00:00,,86,18.5,7.2,,,2.7,0.002,0.007,0.02,0.06,2.4,2.42,, ,2.25,2.139037433,,
18/10/1983 00:00,,,,,,,,,,,, ,,, ,,,,
24/10/1983 00:00,,,,,,,,,,,, ,,, ,,,,
25/10/1983 00:00,,,,,,,,,,,, ,,, ,,,,
31/10/1983 00:00,,,,,,,,,,,, ,,, ,,,,
02/11/1983 00:00,,,,,,,,,,,, ,,, ,,,,
08/11/1983 00:00,,109,24,7.9,450,,6.3,0.011,0.022,0.57,0.05,2.35,2.92,, ,7.03,2.139037433,,
14/11/1983 00:00,,112,26,8.2,42.3,,1.9,0.007,0.022,0.4,0.41,2.3,2.7,, ,5.16,2.139037433,,
22/11/1983 00:00,,110,23.6,7.7,37,,2.9,0.015,0.031,0.21,0.03,1.1,1.31,, ,3.57,2.780748663,,
29/11/1983 00:00,,77,21.5,7,44,,3.6,0.009,0.024,0.24,0.12,1.75,1.99,, ,12.04,5.13368984,,
29/11/1983 00:00,,,21.5,,49,,,0.009,0.031,0.25,0.04,1.3,1.55,, ,10.84,5.13368984,,
05/12/1983 00:00,,93,23.6,6.9,30,,4,0.007,0.016,,, ,,, ,4.3,5.989304813,,
09/12/1983 00:00,,71,21.8,6.9,32,,5.3,0.01,0.026,0.26,0.064,1.25,1.51,, ,7.11,5.77540107,,
13/12/1983 00:00,,93,23,6.9,22,,32,0.013,0.046,0.28,0.01,2.7,2.98,, ,10.66,6.417112299,,
19/12/1983 00:00,,92,25,7.8,29,,3.9,0.008,0.023,0.17,0.034,1.6,1.77,, ,4.14,5.77540107,,
28/12/1983 00:00,,77,23.2,6.8,28,,3.1,,0.029,,, ,,, ,4.76,4.49197861,,
03/01/1984 00:00,,88,25.3,7.7,31.2,,1.7,0.008,0.016,0.02,0.03,0.75,0.77,6, ,4.21,4.49197861,,
10/01/1984 00:00,,,,,,,,,,,, ,,, ,,,,
11/01/1984 00:00,,,,,,,,,,,, ,,, ,9.58,,,
16/01/1984 00:00,,62,23.4,6.5,20.2,,14.5,,,,, ,,, ,,,,
17/01/1984 00:00,,58,21.2,6.3,19.6,,8,0.005,0.013,0.04,0.03,0.45,0.49,6, ,4.13,7.486631016,,
24/01/1984 00:00,,,,,,,,,,,, ,,, ,,,,
31/01/1984 00:00,,73,23,7.4,21,,2.2,0.005,0.015,0.01,0.09,0.55,0.56,5, ,4.69,6.417112299,,
07/02/1984 00:00,,83,26,7.4,26.8,,1.8,0.004,0.012,0.01,0.02,0.45,0.46,5, ,2.68,5.347593583,,
14/02/1984 00:00,,80,26.2,7.3,26.4,,1.7,0.005,0.015,0.04,0.05,0.5,0.54,5.5, ,2.48,5.13368984,,
18/02/1984 00:00,,70.9,24.5,6.9,26.5,,182,0.006,0.096,0.01,0.02,0.55,0.56,, ,3.34,,,
18/02/1984 00:00,,74.7,24.6,7,28,,3,0.003,0.01,0.01,0.01,0.7,0.71,, ,3,5.347593583,,
18/02/1984 00:00,,,24.8,7.1,25.3,,2.7,0.003,0.009,0.03,0.012,0.8,0.83,, ,3.4,,,
19/02/1984 00:00,,46.1,24.1,6.7,27.4,,8.6,0.007,0.027,0.01,0.044,0.7,0.71,, ,14.56,,,
19/02/1984 00:00,,,22.4,6.8,24.2,,23,0.007,0.05,0.02,0.086,0.55,0.57,, ,12.57,,,
19/02/1984 00:00,,,23,6.8,25.8,,17,0.007,0.037,0.03,0.06,0.75,0.78,, ,12.25,,,
19/02/1984 00:00,,,23.5,7,28.9,,9.5,0.013,0.033,0.03,0.076,1.05,1.08,, ,11.94,6.417112299,,
19/02/1984 00:00,,,24.2,6.8,27.2,,5.5,0.006,0.02,0.02,0.052,0.6,0.62,, ,8.65,,,
19/02/1984 00:00,,,22,6.6,23.6,,24,0.008,0.068,0.02,0.138,0.6,0.62,, ,12.97,,,
19/02/1984 00:00,,,22.5,6.5,8.57,,280,0.005,0.2,0.04,0.1,0.85,0.89,, ,8.5,4.919786096,,
19/02/1984 00:00,,,22.5,6.4,9.34,,415,0.006,0.25,0.04,0.11,0.9,0.94,, ,10.19,,,
19/02/1984 00:00,,,22.5,6.6,12,,475,0.006,0.32,0.05,0.16,0.85,0.9,, ,15.64,4.49197861,,
19/02/1984 00:00,,,23.2,6.8,24.5,,340,0.008,0.26,0.09,0.33,1.4,1.49,, ,19.71,,,
19/02/1984 00:00,,,23.5,6.7,33.2,,284,0.008,0.3,0.1,0.336,0.95,1.05,, ,30.49,6.417112299,,
19/02/1984 00:00,,,23.8,6.8,37.3,,188,0.009,0.18,0.1,0.268,1.1,1.2,, ,36.68,,,
19/02/1984 00:00,,,23.3,6.9,33.6,,94,0.012,0.11,0.07,0.192,0.95,1.02,, ,24.51,5.989304813,,
19/02/1984 00:00,,,22.5,6.8,25.7,,45,0.008,0.091,0.04,0.126,0.8,0.84,, ,23.72,,,
20/02/1984 00:00,,,22.3,6.8,11.3,,236,0.008,0.14,0.06,0.09,0.85,0.91,, ,7.9,5.13368984,,
20/02/1984 00:00,,,23.2,6.7,11.8,,160,0.007,0.12,0.08,0.05,0.45,0.53,, ,5.61,5.561497326,,
21/02/1984 00:00,,,,,,,,,,,, ,,, ,,,,
22/02/1984 00:00,,,22.5,6.8,13.4,,45,0.042,0.088,0.14,0.05,0.6,0.74,, ,3.36,5.989304813,,
22/02/1984 00:00,,,23,6.3,13.1,,32,0.011,0.056,0.16,0.16,0.35,0.51,, ,3.34,6.203208556,,
22/02/1984 00:00,,,22.7,6.5,13.3,,55,0.012,0.058,0.16,0.09,0.7,0.86,, ,3.68,5.989304813,,
23/02/1984 00:00,,,22,6.3,13.9,,27,0.011,0.04,0.16,0.02,1.25,1.41,, ,3.36,6.631016043,,
24/02/1984 00:00,,,,6.6,11.4,,40,0.029,0.074,0.1,0.04,0.5,0.6,, ,,5.77540107,,
28/02/1984 00:00,,86,22.4,6.7,11.7,,10,0.007,0.019,0.09,0.04,0.25,0.34,6.5, ,3.39,6.417112299,,
05/03/1984 00:00,,109,24.6,6.7,13.5,8,4.9,0.006,0.018,0.15,0.09,0.7,0.85,4.5, ,7.23,6.844919786,,
09/03/1984 00:00,,92,21.5,6.7,13.8,,4.2,0.01,0.02,0.12,0.01,0.4,0.52,, ,,7.058823529,,
13/03/1984 00:00,,87,24,6.9,14.4,,5.1,0.04,0.055,0.11,0.01,0.65,0.76,, ,3.84,6.844919786,,
14/03/1984 00:00,,110,24.2,7,13.7,,2.9,0.009,0.022,0.09,0.02,0.6,0.69,, ,,6.631016043,,
20/03/1984 00:00,,98,22.2,6.8,15.2,,15.6,0.009,0.037,0.07,0.02,0.55,0.62,7.5, ,8.35,5.989304813,,
25/03/1984 00:00,,,,,39.6,,75,0.016,0.09,0.3,0.09,0.65,0.95,, ,,8.556149733,,
27/03/1984 00:00,,89,20.9,6.5,11.4,,46,0.015,0.04,0.07,0.02,0.5,0.57,6, ,3.81,5.77540107,,
30/03/1984 00:00,,85,20.4,6.4,14.6,,14.6,0.01,0.038,0.09,0.03,0.5,0.59,, ,2.95,5.989304813,,
03/04/1984 00:00,,115,22.7,6.7,15,,10,0.012,0.026,0.09,0.02,0.7,0.79,, ,7.23,5.77540107,,
05/04/1984 00:00,,94,20.2,6.7,11.8,,7.9,0.007,0.025,0.08,0.03,0.45,0.53,7, ,10.9,5.561497326,,
06/04/1984 00:00,,104,20.8,6.8,11.7,,6.5,,,,, ,,, ,7.23,,,
09/04/1984 00:00,,,,,12.7,,,0.006,0.018,,, ,,, ,5.9,5.989304813,,
09/04/1984 00:00,,,19.2,7,12.3,,10.8,0.005,0.021,0.1,, ,0.1,, ,4.72,5.989304813,,
09/04/1984 00:00,,,19.5,6.5,12.3,,5.2,0.005,0.023,,, ,,, ,5.43,6.203208556,,
09/04/1984 00:00,,,19.4,6.6,12.7,,5,0.005,0.018,,, ,,, ,5.64,5.77540107,,
09/04/1984 00:00,,,19.3,6.5,12.3,,5.2,0.011,0.019,0.12,, ,0.12,, ,4.8,5.989304813,,
09/04/1984 00:00,,,,,12.4,,5.4,,,,, ,,, ,4.52,,,
10/04/1984 00:00,,,18.9,6.5,12.5,,4.6,0.008,0.019,0.11,, ,0.11,, ,4.12,6.417112299,,
10/04/1984 00:00,,,19.2,6.2,,,4.9,0.005,0.016,0.12,, ,0.12,, ,4.28,6.417112299,,
10/04/1984 00:00,,,,6.9,,,,0.005,0.016,0.13,, ,0.13,, ,4.34,6.631016043,,
11/04/1984 00:00,,105,20.5,6.9,15.5,,6,0.006,0.021,0.17,0.062,0.75,0.92,7, ,5.43,6.631016043,,
12/04/1984 00:00,,96,19.8,6.9,17.3,,8.4,0.008,0.025,0.26,0.046,0.3,0.56,5, ,5.2,6.417112299,,
13/04/1984 00:00,,85,19,6.6,12,,11.3,0.007,0.022,0.12,0.034,0.3,0.42,, ,4.51,5.347593583,,
17/04/1984 00:00,,93,19.8,6.6,10.4,,8.7,,0.012,0.07,0.02,0.35,0.42,4, ,2.48,,,
20/04/1984 00:00,,,17.8,6.6,14.96,,38,,0.04,,, ,,, ,3.33,,,
20/04/1984 00:00,,,18.2,6.5,18.1,,31,,0.037,,, ,,, ,3.57,,,
20/04/1984 00:00,,,18.4,6.3,17.1,,21,,0.04,,, ,,, ,3.57,,,
20/04/1984 00:00,,,19.3,6.4,10.8,,16.7,,0.026,,, ,,, ,2.41,,,
20/04/1984 00:00,,,18.9,6.5,10.26,,10.8,,0.024,,, ,,, ,2.89,,,
20/04/1984 00:00,,,19,6.5,10.28,,15.7,,0.021,,, ,,, ,3.8,,,
21/04/1984 00:00,,,17.8,6.5,15.4,,28,,0.038,,, ,,, ,3.35,,,
21/04/1984 00:00,,,18.1,6.7,11.1,,17.9,,0.021,,, ,,, ,2.77,,,
21/04/1984 00:00,,,18.1,6.3,9.6,,12.8,,0.019,,, ,,, ,2.66,,,
21/04/1984 00:00,,,18.2,6.3,9.7,,12.5,,0.036,,, ,,, ,2.95,,,
21/04/1984 00:00,,,18.2,6.2,10.4,,14.5,,0.024,,, ,,, ,3.6,,,
21/04/1984 00:00,,,18,6.5,10.9,,16.8,,0.024,,, ,,, ,4.25,,,
21/04/1984 00:00,,,18,6.4,11.1,,17.1,,0.023,,, ,,, ,4.16,,,
21/04/1984 00:00,,,17.8,6.2,11.71,,19,,0.028,,, ,,, ,4.01,,,
21/04/1984 00:00,,,17.6,6.4,12.15,,25,,0.028,,, ,,, ,3.13,,,
21/04/1984 00:00,,,17.5,6.6,12.14,,31,,0.033,,, ,,, ,4.45,,,
21/04/1984 00:00,,,17.6,6.4,13.47,,38,,0.035,,, ,,, ,2.89,,,
21/04/1984 00:00,,,17.7,6.4,17,,30,,0.042,,, ,,, ,3.74,,,
22/04/1984 00:00,,,18.1,6.8,24,,52,,0.082,,, ,,, ,3.61,,,
22/04/1984 00:00,,,18.3,6.9,23.1,,60,,0.09,,, ,,, ,4.5,,,
22/04/1984 00:00,,,18.1,6.8,25,,50,,0.09,,, ,,, ,3.8,,,
22/04/1984 00:00,,,17.7,6.7,26.1,,56,,0.08,,, ,,, ,4.28,,,
22/04/1984 00:00,,,17.4,6.7,25.5,,52,,0.075,,, ,,, ,4.72,,,
23/04/1984 00:00,,,17.4,6.5,19.9,,30,,0.063,,, ,,, ,3.36,,,
24/04/1984 00:00,,96,17.9,6.8,17.3,,23,,0.049,,, ,,, ,2,,,
27/04/1984 00:00,,74,16.3,6.8,15.3,,14,,0.04,,, ,,, ,1.56,,,
01/05/1984 00:00,,89,16.9,6.5,15,,11,,0.029,,, ,,, ,2.48,,,
08/05/1984 00:00,,87,14.8,7.1,12.7,,7.6,,0.024,,, ,,, ,4.52,,,
15/05/1984 00:00,,93,15.1,6.7,14,,4.4,,0.018,,, ,,, ,4.28,,,
22/05/1984 00:00,,91,15,6.6,14,,3.5,,0.02,,, ,,, ,4.28,,,
29/05/1984 00:00,,91,14.4,6.6,17,,2.9,,0.015,,, ,,, ,,,,
05/06/1984 00:00,,91,13.4,6.8,18.7,,2.6,,0.012,,, ,,, ,4.07,,,
12/06/1984 00:00,,86,12.8,6.9,19.2,,3.2,,0.01,,, ,,, ,4.8,,,
