Date_Time,DO_mg/L,DOsat,Temp _DegC,pH,Cond_uS/cm,TSS_mg/L,Turbidity_ntu,FP_mg/L,TP_mg/L,NH_mg/L,NOx_mg/L,TKN_mg/L,TN_mg/L,TOC_mg/L,DOC_mg/L,Chla_mg/m3,SiO2_mg/L,ENT_cfu/100mL,FC_cfu/100mL
03/07/1991,,,11.9,6.7,16,,,,0.012,0.19,,,1.24,, ,1.8,,,110
03/07/1991,9,90,11.9,6.7,16,4,10,0.008,0.02,0.19,0.65,,,, ,1.8,7.700534759,,110
09/07/1991,,,11.9,6.8,20,,,,0.022,0.08,,,0.81,, ,3.8,,,170
09/07/1991,9,94,11.9,6.8,20,12,23,0.007,0.038,0.08,0.6,,,, ,3.8,7.058823529,,170
18/07/1991,,,10.7,6.8,13,,,,0.023,0.05,,,0.63,, ,0.6,,,200
18/07/1991,10,97,10.7,6.8,13,6,19,0.011,0.018,0.05,0.36,,,, ,0.6,5.77540107,,200
22/07/1991,,,10.5,6.9,10,,,,0.012,0.02,,,0.71,, ,0.9,,,29
22/07/1991,10,99,10.5,6.9,10,6,17,0.013,0.008,0.02,0.45,,,, ,0.9,6.631016043,,28
02/08/1991,,,10.6,6.9,9,,,,0.016,0.08,,,0.93,, ,0.7,,,130
02/08/1991,10,99,10.6,6.9,9,10,21,0.012,0.018,0.08,0.56,,,, ,0.7,6.844919786,,132
06/08/1991,,,11.5,7,9,,,,0.029,0.02,,,0.87,, ,0.2,,,65
06/08/1991,10,101,11.5,7,9,1,15,0.01,0.019,0.02,0.6,,,, ,0.2,5.989304813,,64
15/08/1991,,,11.8,6.9,19,,,,0.023,0.01,,,1.39,, ,1.8,,,43
15/08/1991,9,90,11.8,6.9,19,2,15,0.014,0.094,0.01,1.1,,,, ,1.8,6.631016043,,42
20/08/1991,,,12.4,6.9,17,,,,0.05,0.17,,,1.28,, ,6.4,,,31
20/08/1991,9,95,12.4,6.9,17,1,11,0.01,0.035,0.17,0.99,,,, ,6.4,6.203208556,,30
28/08/1991,,,13.1,7.1,14,,,,0.025,0.01,,,1.08,, ,9.9,,,51
28/08/1991,10,102,13.1,7.1,14,12,14,0.014,0.024,0.01,0.85,,,, ,9.9,5.989304813,,50
03/09/1991,,,13.2,7.2,22,,,,0.023,0.02,,,1.7,, ,7.8,,,71
03/09/1991,9,94,13.2,7.2,22,11,8,0.013,0.026,0.02,1.22,,,, ,7.8,5.77540107,,70
11/09/1991,,,15,7.4,18,,,,0.019,0.01,,,0.93,, ,11.9,,,99
11/09/1991,10,104,15,7.4,18,1,5,0.006,0.051,0.01,0.64,,,, ,11.9,4.064171123,,98
19/09/1991,,,15.6,7.9,27,,,,0.033,0.05,,,1.63,, ,11.1,,,9
19/09/1991,,,15.6,7.9,27,2,4,0.009,0.07,0.05,1.13,,,, ,11.1,2.994652406,,8
25/09/1991,,,17,9.5,37,,,,0.026,0.02,,,2.35,, ,62.4,,,83
25/09/1991,15,161,17,9.5,37,3,5,0.021,0.024,0.02,1.47,,,, ,62.4,1.711229947,,82
30/09/1991,,,17.9,9.5,37,,,,0.037,0.01,,,1.77,, ,21.9,,,25
30/09/1991,13,150,17.9,9.5,37,3,3,0.011,0.036,0.01,1.16,,,, ,21.9,1.497326203,,24
09/10/1991,,,21.6,8.5,39,,,,0.028,0.02,,,1.52,, ,22.2,,,15
09/10/1991,11,137,21.6,8.5,39,2,3,0.005,0.017,0.02,1.07,,,, ,22.2,2.139037433,,14
14/10/1991,,,21.6,8.8,43,,,,0.029,0.12,,,1.99,, ,50.7,,,9
14/10/1991,,,21.6,8.8,43,4,7,0.01,0.031,0.12,1.21,,,, ,50.7,0.64171123,,8
24/10/1991,,,19.9,7.8,46,,,,0.024,0.17,,,2.07,, ,53.1,,,13
24/10/1991,9,111,19.9,7.8,46,2,3,0.012,0.025,0.17,1.25,,,, ,53.1,0.213903743,,12
30/10/1991,,,20.5,9.7,48,,,,0.025,0.21,,,2.12,, ,101.6,,,17
30/10/1991,17,200,20.5,9.7,48,1,6,0.018,0.02,0.21,1.17,,,, ,101.6,0.427807487,,16
07/11/1991,,,21.5,7.4,44,,,,0.034,0.05,,,1.93,, ,35.3,,,79
07/11/1991,,,21.5,7.4,44,1,4,0.031,0.023,0.05,1.18,,,, ,35.3,2.139037433,,78
12/11/1991,,,20.2,8,15,,,,0.031,0.02,,,0.6,, ,9.5,,,57
12/11/1991,8,95,20.2,8,15,1,5,0.006,0.036,0.02,0.29,,,, ,9.5,6.417112299,,56
20/11/1991,,,20.9,7.8,10,,,,0.026,0.01,,,0.97,, ,12.4,,,100
20/11/1991,,,20.9,7.8,10,1,8,0.011,0.035,0.01,0.62,,,, ,12.4,3.422459893,,100
29/11/1991,,,22,9.3,,,,,0.023,0.02,,,0.92,, ,16.9,,,7
29/11/1991,9,108,22,9.3,,2,3,0.006,0.017,0.02,0.39,,,, ,16.9,1.28342246,,6
03/12/1991,,,22.5,8.4,14,,,,0.021,0.01,,,0.95,, ,21.1,,,59
03/12/1991,10,120,22.5,8.4,14,2,3,0.007,0.015,0.01,0.52,,,, ,21.1,0.64171123,,58
12/12/1991,,,22.3,9,22,,,,0.023,0.04,,,1.53,, ,14,,,160
12/12/1991,9,107,22.3,9,22,7,4,0.007,0.021,0.04,0.9,,,, ,14,,,156
18/12/1991,,,21.4,8,12,,,,0.01,0.02,,,0.49,, ,5,,,77
18/12/1991,8,94,21.4,8,12,8,12,0.003,0.019,0.02,0.16,,,, ,5,3.85026738,,76
02/01/1992,,,24.2,7.1,12,,,,0.023,0.04,,,0.5,, ,11.6,,,100
02/01/1992,8,98,24.2,7.1,12,3,4,0.003,0.019,0.04,0.18,,,, ,11.6,4.278074866,,100
10/01/1992,,,22.9,7,14,,,,0.014,0.01,,,0.61,, ,3.7,,,320
10/01/1992,7,88,22.9,7,14,1,8,0.005,0.021,0.01,0.38,,,, ,3.7,4.278074866,,320
13/01/1992,,,22.9,8.3,12,,,,0.014,0.01,,,0.31,, ,,,,180
13/01/1992,7,94,22.9,8.3,12,2,8,0.004,0.014,0.01,0.09,,,, ,,4.278074866,,180
21/01/1992,,,26,6.6,,,,,0.014,0.01,,,0.52,, ,8,,,140
21/01/1992,7,91,26,6.6,,27,25,0.006,0.011,0.01,0.2,,,, ,8,4.919786096,,140
29/01/1992,,,25.5,7.2,12,,,,0.019,0.01,,,0.38,, ,9.6,,,160
29/01/1992,7,88,25.5,7.2,12,8,9,0.002,0.012,0.01,0.12,,,, ,9.6,3.20855615,,160
06/02/1992,,,25,7.1,14,,,,0.015,0.03,,,0.47,, ,6.4,,,470
06/02/1992,6,79,25,7.1,14,7,4,0.002,0.012,0.03,0.17,,,, ,6.4,3.636363636,,470
14/02/1992,,,22.2,5.2,7,,,,0.016,0.01,,,0.53,, ,1.7,,,
14/02/1992,8,95,22.2,5.2,7,,22,0.004,0.011,0.01,0.14,,,, ,1.7,5.561497326,,
18/02/1992,,,21.3,6.7,8,,,,0.015,0.01,,,0.51,, ,0.5,,,43
18/02/1992,,,21.3,6.7,8,4,12,0.001,0.013,0.01,0.23,,,, ,0.5,5.561497326,,42
24/02/1992,,,21.3,6.8,7,,,,0.013,0.01,,,0.53,, ,1.1,,,680
24/02/1992,,,21.3,6.8,7,20,13,0.005,0.013,0.01,0.24,,,, ,1.1,4.919786096,,680
04/03/1992,,,21.8,,8,,,,0.01,0.01,,,0.52,, ,1.1,,,51
04/03/1992,8,96,21.8,,8,17,15,0.026,0.011,0.01,0.26,,,, ,1.1,5.13368984,,50
12/03/1992,,,23.4,,12,,,,0.014,0.01,,,0.7,, ,3.2,,,85
12/03/1992,7,95,23.4,,12,8,5,0.004,0.01,0.01,0.4,,,, ,3.2,5.77540107,,84
20/03/1992,,,22.5,7.1,12,,,,0.039,0.07,,,0.7,, ,5.1,,,190
20/03/1992,,,22.5,7.1,12,14,14,0.005,0.015,0.07,0.39,,,, ,5.1,5.347593583,,190
23/03/1992,,,22.3,7,13,,,,0.01,0.01,,,0.52,, ,6,,,120
23/03/1992,7,92,22.3,7,13,5,5,0.004,0.014,0.01,0.27,,,, ,6,5.13368984,,120
31/03/1992,,,22.5,6.5,15,,,,0.021,0.01,,,0.79,, ,6.4,,,120
31/03/1992,7,90,22.5,6.5,15,11,11,0.006,0.024,0.01,0.47,,,, ,6.4,6.203208556,,120
08/04/1992,,,21.4,7.2,15,,,,0.027,0.01,,,0.97,, ,3.9,,,83
08/04/1992,7,87,21.4,7.2,15,12,9,0.003,0.029,0.01,0.62,,,, ,3.9,5.989304813,,82
16/04/1992,,,20.4,6.5,21,,,,0.021,0.02,,,1.26,, ,4.1,,,37
16/04/1992,,76,20.4,6.5,21,,6,0.006,0.014,0.02,0.99,,,, ,4.1,6.417112299,,36
24/04/1992,,,19.2,7.2,27,,,,0.019,0.04,,,1.91,, ,5,,,81
24/04/1992,,7.2,19.2,7.2,27,13,4,0.002,0.018,0.04,1.64,,,, ,5,7.272727273,,80
27/04/1992,,,18.4,7.7,30,,,,0.021,0.02,,,1.37,, ,4.1,,,61
27/04/1992,7,87,18.4,7.7,30,6,3,0.003,0.018,0.02,1.05,,,, ,4.1,7.272727273,,60
05/05/1992,,,17.2,7.6,20,,,,0.025,0.01,,,0.46,, ,1.9,,,75
05/05/1992,8,90,17.2,7.6,20,9,11,0.007,0.02,0.01,0.24,,,, ,1.9,1.711229947,,74
13/05/1992,,,17.1,,22,,,,0.045,0.01,,,0.34,, ,1.6,,,200
13/05/1992,8,95,17.1,,22,2,2,0.002,0.03,0.01,0.12,,,, ,1.6,3.422459893,,200
20/05/1992,,,15.8,7,20,,,,0.027,0.01,,,0.46,, ,1.8,,,110
20/05/1992,9,99,15.8,7,20,1,5,0.003,0.028,0.01,0.27,,,, ,1.8,4.705882353,,110
27/05/1992,,,13.8,8.1,24,,,,0.02,0.01,,,1.44,, ,2.1,,,170
27/05/1992,9,90,13.8,8.1,24,1,4,0.002,0.028,0.01,1.14,,,, ,2.1,5.77540107,,170
01/06/1992,,,13.5,7.3,27,,,,0.02,0.02,,,1.12,, ,1.2,,,31
01/06/1992,9,93,13.5,7.3,27,4,3,0.002,0.024,0.02,0.87,,,, ,1.2,5.561497326,,30
09/06/1992,,,11.2,7.4,28,,,,0.056,0.01,,,1.2,, ,1.7,,,79
09/06/1992,10,96,11.2,7.4,28,3,3,0.002,0.024,0.01,1,,,, ,1.7,3.85026738,,78
17/06/1992,,,10.6,8.2,19,,,,0.016,0.03,,,0.67,, ,2.1,,,87
17/06/1992,10,94,10.6,8.2,19,1,7,0.003,0.011,0.03,0.52,,,, ,2.1,5.347593583,,86
25/06/1992,,,10.5,8,22,,,,0.012,0.03,,,1.42,, ,2.3,,,63
25/06/1992,10,94,10.5,8,22,1,4,0.003,0.011,0.03,1.22,,,, ,2.3,5.561497326,,62
30/06/1992,,,11.1,8,30,,,,0.027,0.01,,,0.71,, ,1.2,,,600
30/06/1992,10,96,11.1,8,30,,25,0.004,0.011,0.01,0.33,,,, ,1.2,6.631016043,,600
07/07/1992,,,10,7.7,27,,,,0.019,0.04,,,0.7,, ,3.2,,,110
07/07/1992,10,100,10,7.7,27,,6,,0.009,0.04,0.45,,,, ,3.2,,,110
17/07/1992,,,10,7.4,21,,,,0.013,0.01,,,0.79,, ,3.2,,,43
17/07/1992,10,98,10,7.4,21,6,10,0.002,0.018,0.01,0.59,,,, ,3.2,4.919786096,,42
20/07/1992,,,10,7.6,20,,,,0.011,0.01,,,0.7,, ,3.6,,,77
20/07/1992,10,95,10,7.6,20,1,8,0.003,0.016,0.01,0.45,,,, ,3.6,4.919786096,,76
28/07/1992,,,9.4,7.2,30,,,,0.016,0.02,,,2.67,, ,3.4,,,5
28/07/1992,11,100,9.4,7.2,30,,3,0.004,0.021,0.02,2.32,,,, ,3.4,5.77540107,,4
05/08/1992,,,12,7.5,31,,,,0.009,0.01,,,2.1,, ,5.5,,,27
05/08/1992,11,112,12,7.5,31,,2,0.003,0.014,0.01,1.8,,,, ,5.5,5.561497326,,26
10/08/1992,,,11.7,7.4,30,,,,0.094,0.01,,,1.7,, ,4.8,,,19
10/08/1992,11,109,11.7,7.4,30,,2,0.003,0.032,0.01,1.4,,,, ,4.8,4.278074866,,18
21/08/1992,,,12.4,7.4,47,,,,0.036,0.02,,,5.5,, ,5.4,,,15
21/08/1992,10,98,12.4,7.4,47,,4,0.005,0.023,0.02,5.1,,,, ,5.4,5.13368984,,14
25/08/1992,,,11.9,7.6,50,,,,0.038,0.01,,,5.05,, ,3.7,,,13
25/08/1992,11,104,11.9,7.6,50,,2,0.002,0.039,0.01,4.35,,,, ,3.7,5.77540107,,12
01/09/1992,,,12.3,7.5,54,,,,0.03,0.01,,,2.9,, ,6.1,,,100
01/09/1992,12,118,12.3,7.5,54,,4,0.002,0.024,0.01,2.5,,,, ,6.1,3.85026738,,100
01/09/1992,,,12.3,7.48,54.4,,,,0.022,,,,,, ,,,,
09/09/1992,12,117,13.7,7.7,23,,3,0.002,0.016,0.05,,,,, ,5.2,2.780748663,,56
09/09/1992,,,13.7,7.7,23,,,,0.022,0.05,,,0.65,, ,5.2,,,57
17/09/1992,,,14.5,8,29,,,,0.02,0.05,,,2.2,, ,11.8,,,49
17/09/1992,10,106,14.5,8,29,,4,,0.013,0.05,1.75,,,, ,11.8,2.994652406,,48
24/09/1992,,,17.2,8.5,31,,,,0.013,0.04,,,2.3,, ,7.7,,,9
24/09/1992,10,112,17.2,8.5,31,,3,,0.015,0.04,1.8,,,, ,7.7,2.994652406,,8
28/09/1992,11,119,16.4,8.6,30,,3,0.002,0.033,0.01,,,,, ,12.9,3.636363636,,20
28/09/1992,,,16.4,8.6,30,,,,0.026,0.01,,,2.1,, ,12.9,,,21
09/10/1992,12,136,18.3,9.1,38,,4,0.002,0.021,0.01,,,,, ,18.5,1.497326203,,4
09/10/1992,,,18.3,9.1,38,,,,0.028,0.01,,,3.5,, ,18.5,,,5
