Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonium_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL,Conductivity_microSpercm
9/09/2006 0:00,0.291970382,14.6,,9.4,0.4,4.5,6.12,0.213,,0.074,,,,,2900,6800,2900,650
9/09/2006 0:00,,,,,0.44,4.5,5.64,0.222,,0.077,,,,,2400,6300,2400,
15/09/2006 0:00,0.403429831,18.7,,9.5,0.05,8.6,9.4,0.075,,0.036,,,,1.8,96,56,96,875
15/09/2006 0:00,,,,,0.05,8.4,9.3,0.073,,0.037,,,,0.8,120,82,120,
27/10/2006 0:00,0.451802601,21.5,,9.2,0.06,2.5,3.63,0.058,,0.025,,,,7.7,68,180,68,971
27/10/2006 0:00,,,,,0.06,2.6,3.57,0.057,,0.025,,,,7.8,100,170,100,
20/11/2006 0:00,0.455853255,21.5,,8.7,0.02,6.6,7,0.04,,0.019,,,,3.1,150,84,150,979
20/11/2006 0:00,,,,,0.02,6.8,7.1,0.039,,0.019,,,,2.4,160,71,160,
20/11/2006 0:00,,,,,,,,,,,,,,,,,,
20/11/2006 0:00,,,,,,,,,,,,,,,,,,
18/12/2006 0:00,0.430585243,22.8,,9.2,0.03,4.6,5.6,0.049,,0.029,,,,1.4,110,100,110,929
18/12/2006 0:00,,,,,0.03,4.8,5.5,0.049,,0.029,,,,2.3,140,140,140,
18/12/2006 0:00,,,,,,,,,,,,,,,,,,
23/01/2007 0:00,0.423027811,27.1,,12,0.01,2.3,3.17,0.052,,0.024,,,,17.7,66,32,66,914
23/01/2007 0:00,,,,,0.01,2.3,3.14,0.05,,0.022,,,,15.7,82,38,82,
23/01/2007 0:00,,,,,,,,,,,,,,,,,,
23/01/2007 0:00,,,,,,,,,,,,,,,,,,
23/01/2007 0:00,,,,,,,,,,,,,,,,,,
14/02/2007 0:00,0.160502892,23.3,,7.2,0.3,2,3.03,0.216,,0.056,,,,,2000,3200,2000,375
14/02/2007 0:00,,,,,0.29,2,3.13,0.208,,0.056,,,,,1900,4000,1900,
22/02/2007 0:00,0.416486833,26.3,,7.6,0.02,2.3,3.24,0.087,,0.024,,,,21.5,400,240,400,901
22/02/2007 0:00,,,,,0.02,2.3,3.11,0.089,,0.024,,,,21.4,330,210,330,
22/02/2007 0:00,,,,,,,,,,,,,,,,,,
30/03/2007 0:00,0.348576863,21.7,,7.8,0.05,2.2,3.16,0.071,,0.024,,,,3.6,110,64,110,765
30/03/2007 0:00,,,,,0.04,2.2,3.12,0.077,,0.025,,,,5.9,110,78,110,
30/03/2007 0:00,,,,,,,,,,,,,,,,,,
23/04/2007 0:00,0.383408906,20.8,,6.9,0.05,1.94,2.68,0.114,,0.046,,,,4.2,4400,20000,4400,835
23/04/2007 0:00,,,,,0.05,1.95,2.65,0.114,,0.046,,,,2.5,7200,13000,7200,
23/04/2007 0:00,,,,,,,,,,,,,,,,,,
23/05/2007 0:00,,17.1,,8.2,0.06,1.9,2.6,0.155,,0.026,,,,12.7,110,330,110,
23/05/2007 0:00,,,,,0.06,2,2.55,0.14,,0.026,,,,9,140,280,140,
23/05/2007 0:00,,,,,,,,,,,,,,,,,,
8/06/2007 0:00,0.143814568,14.1,,8.8,0.45,1.58,2.65,0.19,,0.101,,,,,15000,8800,15000,339
8/06/2007 0:00,,,,,0.45,1.59,2.68,0.205,,0.101,,,,,13000,8400,13000,
22/06/2007 0:00,0.288551638,13.2,,10.5,0.13,3,4.43,0.285,,0.168,,,,1.9,1100,3600,1100,643
22/06/2007 0:00,,,,,0.13,3,4.42,0.289,,0.17,,,,2,970,4100,970,
22/06/2007 0:00,,,,,,,,,,,,,,,,,,
24/07/2007 0:00,0.585353172,12,,11,0.03,3.1,3.52,0.071,,0.028,,,,1.7,18,150,18,1232
24/07/2007 0:00,,,,,0.03,2.9,3.49,0.071,,0.027,,,,1.5,86,140,86,
24/07/2007 0:00,,,,,,,,,,,,,,,,,,
15/08/2007 0:00,0.536423606,14.6,,12,0.02,2.4,3.23,0.043,,0.019,,,,11.5,22,29,22,1137
15/08/2007 0:00,,,,,0.02,2.2,3.19,0.043,,0.019,,,,11.8,23,34,23,
15/08/2007 0:00,,,,,,,,,,,,,,,,,,
26/09/2007 0:00,,,,,,,,,,,,,,,,,,
26/09/2007 0:00,,,,,,,,,,,,,,,,,,
26/09/2007 0:00,,,,,,,,,,,,,,,,,,
19/11/2007 0:00,,,,,,,,,,,,,,,,,,
19/11/2007 0:00,,,,,,,,,,,,,,,,,,
25/11/2007 0:00,,,,,,,,,,,,,,,,,,
25/11/2007 0:00,,,,,,,,,,,,,,,,,,
19/12/2007 0:00,,,,,,,,,,,,,,,,,,
19/12/2007 0:00,,,,,,,,,,,,,,,,,,
24/01/2008 0:00,,,,,,,,,,,,,,,,,,
24/01/2008 0:00,,,,,,,,,,,,,,,,,,
5/02/2008 0:00,,,,,,,,,,,,,,,,,,
5/02/2008 0:00,,,,,,,,,,,,,,,,,,
11/02/2008 0:00,,,,,,,,,,,,,,,,,,
11/02/2008 0:00,,,,,,,,,,,,,,,,,,
12/03/2008 0:00,0.382909444,22.9,,7,0.08,2.4,3.44,0.191,,0.064,,,,3,610,1800,610,834
12/03/2008 0:00,,,,,0.08,2.4,3.36,0.2,,0.064,,,,3.3,440,1600,440,
17/04/2008 0:00,0.33916962,18.5,,7.9,0.13,2.2,3.03,0.115,,0.027,,,,1.6,150,190,150,746
17/04/2008 0:00,,,,,0.13,2.2,2.99,0.099,,0.027,,,,2.3,140,250,140,
5/05/2008 0:00,0.50212902,14.9,,10,0.04,3.6,4.04,0.066,,0.022,,,,2.4,66,130,66,1070
5/05/2008 0:00,,,,,0.04,3.4,3.98,0.069,,0.024,,,,3.8,55,120,55,
10/06/2008 0:00,0.382909444,15.4,,8.3,0.1,2.6,3.52,0.174,,0.069,,,,2.6,280,1600,280,834
10/06/2008 0:00,,,,,0.1,2.6,3.53,0.179,,0.068,,,,3.3,310,1900,310,
26/07/2016 0:00,,,44,,0.07,,2.64,0.135,,,,,,,,520,,
28/07/2016 0:00,,13.6,35,10,,,2.75,0.162,,,,,,,,200,,
29/07/2016 0:00,,,27,,,,4.18,0.182,,,,,,,,260,,
15/08/2016 0:00,0.518485704,12.1,19,9.4,0.04,2.5,3.09,0.086,,,,,,4,64,93,64,1102
6/09/2016 0:00,0.342138081,14.6,35,8,0.09,2.6,3.42,0.185,,,,,,3.5,240,570,240,752
28/09/2016 0:00,0.584319565,17.1,11,8.2,0.14,2.6,3.62,0.064,,,,,,14.6,23,26,23,1230
13/10/2016 0:00,0.611759335,18.6,22,8.1,0.05,1.63,2.44,0.07,,,,,,13.9,70,54,70,1283
10/11/2016 0:00,0.528217315,21.3,15,7.8,0.07,0.42,1.67,0.09,,,,,,51,50,490,50,1121
30/11/2016 0:00,0.483270158,24.6,11,6.5,0.13,6.05,6.33,0.088,,,,,,10.3,50,50,50,1033
22/12/2016 0:00,0.314515446,23.6,18,6.9,0.02,1.92,2.43,0.11,,,,,,16.9,300,200,300,696
13/01/2017 0:00,0.336203254,26.6,20,6.4,0.08,1.15,1.92,0.076,,,,,,18.1,130,250,130,740
3/02/2017 0:00,0.442194076,25,20,5.8,0.06,1.49,2.33,0.075,,,,,,32.9,41,210,41,952
24/02/2017 0:00,0.302245891,24.9,20,6.3,0.04,1.64,2.31,0.088,,,,,,7,160,180,160,671
12/03/2017 0:00,0.375423865,21.2,40,6.7,0.07,2.12,3.12,0.127,,,,,,3.4,210,230,210,819
11/07/2018 0:00,0.377917731,10.3,,9.6,0.04,3.96,4.91,0.091,,0.052,,,,2,,180,74,824
31/07/2018 0:00,0.374925252,11.5,,10,0.03,4.92,5.45,0.051,,0.027,,,,4.3,,52,46,818
25/08/2018 0:00,0.425042069,13.2,,9.8,0.03,4.72,4.89,0.047,,0.024,,,,5.7,,55,59,918
7/09/2018 0:00,0.410456355,16,,9,0.03,2.48,3.44,0.059,,0.033,,,,3.9,,550,420,889
4/10/2018 0:00,0.353536323,17.5,,7.9,0.08,5.62,6.16,0.111,,0.064,,,,2.5,,210,360,775
23/10/2018 0:00,0.338180598,20.5,,8.1,0.28,4.4,5.74,0.163,,0.089,,,,1.5,,690,250,744
14/11/2018 0:00,0.302735913,22.1,,6.7,0.08,0.52,1.2,0.114,,0.041,,,,8.7,,400,62,672
7/12/2018 0:00,0.430081079,22.5,,6.6,0.41,3.16,4.39,0.116,,0.053,,,,7.1,,200,240,928
28/12/2018 0:00,0.409451967,26.1,,7.1,0.01,2.11,3.43,0.146,,0.045,,,,33.9,,420,290,887
