Date,Conductivity_microSpercm,TN_mgperL,TP_mgperL,TSS_mgperL,Ammonium_mgperL,NOx_mgperL,Chlorophyll_mgperm3,Temp_degC,Sal_gperL,DO_mgperL,FRP_mgperL
15/03/2016,1061,3.2,0.08,10,0.19,2.04,4,25.81,0.497536381,NaN,NaN
18/04/2016,1032,3,0.04,6,0.03,2.34,9,20.37,0.482761272,NaN,NaN
27/05/2016,1030.2,1.6,0.01,6,0.02,1,11,12.96,0.481845387,NaN,NaN
22/06/2016,725.2,3.7,0.36,25,0.23,1.8,2,13.39,0.328895278,NaN,NaN
28/06/2016,926.5,3.4,0.23,22,0.08,1.97,1,10.84,0.429324922,NaN,NaN
25/07/2016,968.6,4.4,0.23,26,0.1,2.6,4,13.08,0.450587974,NaN,NaN
29/08/2016,959.8,3,0.28,18,0.06,1.49,4,11.34,0.44613661,NaN,NaN
15/09/2016,983.8,2.4,0.16,22,0.01,1.38,1,17.56,0.458285045,NaN,NaN
11/10/2016,1178,2.1,0.1,19,0.01,1.12,4,18.7,0.557498233,NaN,NaN
15/11/2016,1116,0.7,0.1,5,0.06,0.74,4,21.9,0.525654951,NaN,NaN
22/12/2016,805,1.4,0.04,16,0.03,0.89,10,24.7,0.368448172,NaN,NaN
16/01/2017,817,1.3,0.03,15,0.02,0.69,4,26.9,0.374426692,NaN,NaN
17/02/2017,853,2.3,0.04,12,0.04,1.4,9,26.3,0.392408137,NaN,NaN
7/03/2017,1543,2.6,0.15,32,0.08,0.99,12,22.4,0.74774945,NaN,NaN
28/03/2017,744,2.7,0.3,41,0.07,1.13,1,23.5,0.338180598,NaN,NaN
24/04/2017,997,3.4,0.1,22,0.09,2.25,1,20.6,0.464977825,NaN,NaN
30/05/2017,982,3.2,0.07,22,0.08,2.17,1,15.04,0.457373001,NaN,NaN
8/06/2017,538,2.7,0.32,159,0.18,0.91,1,12.45,0.237682172,NaN,NaN
15/06/2017,1044,3.1,0.15,46,0.05,1.69,2,14.49,0.488870747,NaN,NaN
10/07/2017,1125,4.5,0.03,17,0.61,2.91,1,11.9,0.53026793,NaN,NaN
14/08/2017,1018,2.8,0.04,10,0.1,1.76,9,14,0.475641435,NaN,NaN
14/09/2017,982,3.7,0.03,8,0.04,2.68,6,16.8,0.457373001,NaN,NaN
15/12/2017,849,0.7,0.06,19,0.03,0.07,14,25.9,0.390406854,NaN,NaN
28/03/2018,632,1,0.2,18,0.07,0.5,2,21.1,0.283185939,NaN,NaN
25/06/2018,742,3.2,0.01,13,0.07,2.4,1,10.1,0.337191809,NaN,NaN
3/09/2018,882,1.9,0.03,8,0.03,1.28,,13.7,0.406941869,NaN,NaN
10/09/2018,844,1.8,0.04,19,0.05,1.18,2,16.6,0.387906415,NaN,NaN
8/10/2018,401,2.3,0.03,29,0.14,1.58,3,17.1,0.172644241,NaN,NaN
19/11/2018,975,2.8,0.09,12,0.02,1.66,0.5,21.8,0.453827563,NaN,NaN
5/02/2019,615,1.2,0.15,7,20,0.55,2,27.6,0.274909659,NaN,NaN
15/03/2019,245,2.3,0.25,48,0.2,0.96,2,21.8,0.10101515,NaN,NaN
13/05/2019,916,4.4,0.06,14,0.05,3.27,1,16.1,0.424034843,NaN,NaN
8/07/2019,341,1.6,0.05,22,0.06,0.97,1,14,0.144737765,NaN,NaN
25/11/2019,885,1.8,0.03,14,0.04,1.2,10,24.1,0.408447778,NaN,NaN
29/01/2020,565,0.9,0.05,9,0.01,0.26,0.01,28.8,0.250685924,NaN,NaN
