Site,X,Y
SC479.csv,329676.314,6275322.775
SC482.csv,329367.638,6275020.515
SC489.csv,338756.463,6283146.122
SC490.csv,311320.236,6301886.529
SC491.csv,283783.119,6272718.794
SC492.csv,320803.642,6295798.107
SC493.csv,324649.924,6289382.093
SC498.csv,283380.888,6261655.885
SC499.csv,279681.495,6255941.618
SC500.csv,276983.587,6251888.060
SC514.csv,306561.587,6291141.946
SC515.csv,304911.685,6288043.228
SC516.csv,303073.143,6291808.683
SC517.csv,316915.592,6300355.462
SC518.csv,319897.619,6297945.007
SC519.csv,332373.016,6292111.767
SC521.csv,335708.645,6296742.614
SC522.csv,325790.639,6279632.051
SC523.csv,327825.813,6287864.444
SC524.csv,327254.892,6283945.952
SC526.csv,336847.141,6282177.085
SC527.csv,329742.612,6275996.443
SC528.csv,334031.278,6281466.347
SC529.csv,334579.480,6277901.963
SC531.csv,333046.795,6279012.625
SC533.csv,334323.558,6280474.735
SC534.csv,343499.707,6282351.027
SC535.csv,341031.906,6277081.041
SC537.csv,342103.894,6275447.127
SC538.csv,342446.432,6281190.463
SC540.csv,342107.102,6277937.963
SC541.csv,342988.218,6277675.981
SC542.csv,283983.936,6235400.688
SC543.csv,284747.029,6236925.683
SC544.csv,284573.286,6209257.748
SC545.csv,280872.769,6210650.219
SC546.csv,280960.190,6211798.990
SC547.csv,283171.704,6212558.149
SC548.csv,288309.517,6214065.816
SC549.csv,289595.492,6213910.790
SC550.csv,291133.406,6215566.340
SC551.csv,292674.671,6222567.904
SC555.csv,281275.910,6246266.129
SC558.csv,282674.814,6237321.317
SC9.csv,281243.172,6247169.697
Still.csv,325833.898,6279135.931
Stonequarry.csv,281714.037,6212833.280
Webbs.csv,312291.147,6303389.359
