FVC file = HN_Cal_2014.fvc, Simulation Execution: 14/02/2020 17:01:03
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.32194685700000E+06, 0.62962541400000E+07,  0.0000000E+00,  0.2623687E+03,  0.5247333E+03,        3306,        3310,          29,          29
, 0.32206718900000E+06, 0.62963063800000E+07,  0.0000000E+00,  0.3935510E+03,  0.5247333E+03,        3307,        3311,          29,          29
, 0.32218752100000E+06, 0.62963586200000E+07,  0.0000000E+00,  0.5247333E+03,  0.5247333E+03,,,          29,          29
, 0.31320322600000E+06, 0.63031613700000E+07,  0.0000000E+00,  0.0000000E+00,  0.3538237E+03,        3900,        3904,          30,          30
, 0.31330649100000E+06, 0.63031880400000E+07,  0.0000000E+00,  0.1066534E+03,  0.3538237E+03,        3901,        3905,          30,          30
, 0.31339220900000E+06, 0.63032101800000E+07,  0.0000000E+00,  0.1951845E+03,  0.3538237E+03,        3902,        3906,          30,          30
, 0.31347792900000E+06, 0.63032323000000E+07,  0.0000000E+00,  0.2837125E+03,  0.3538237E+03,        3903,        3907,          30,          30
, 0.31354658300000E+06, 0.63032465200000E+07,  0.0000000E+00,  0.3538237E+03,  0.3538237E+03,,,          30,          30
, 0.30597089800000E+06, 0.63002190300000E+07,  0.0000000E+00,  0.0000000E+00,  0.2683850E+03,        4760,        4764,          31,          31
, 0.30596283500000E+06, 0.63002856400000E+07,  0.0000000E+00,  0.6709623E+02,  0.2683850E+03,        4761,        4765,          31,          31
, 0.30595477100000E+06, 0.63003522500000E+07,  0.0000000E+00,  0.1341926E+03,  0.2683850E+03,        4762,        4766,          31,          31
, 0.30594670800000E+06, 0.63004188600000E+07,  0.0000000E+00,  0.2012888E+03,  0.2683850E+03,        4763,        4767,          31,          31
, 0.30593864500000E+06, 0.63004854700000E+07,  0.0000000E+00,  0.2683850E+03,  0.2683850E+03,,,          31,          31
, 0.30346180600000E+06, 0.62919732900000E+07,  0.0000000E+00,  0.0000000E+00,  0.2310240E+03,        5976,        5980,          32,          32
, 0.30341308100000E+06, 0.62920043000000E+07,  0.0000000E+00,  0.5775592E+02,  0.2310240E+03,        5975,        5979,          32,          32
, 0.30336435600000E+06, 0.62920353100000E+07,  0.0000000E+00,  0.1155118E+03,  0.2310240E+03,        5974,        5978,          32,          32
, 0.30331563100000E+06, 0.62920663200000E+07,  0.0000000E+00,  0.1732677E+03,  0.2310240E+03,        5973,        5977,          32,          32
, 0.30326696300000E+06, 0.62920974200000E+07,  0.0000000E+00,  0.2310240E+03,  0.2310240E+03,,,          32,          32
, 0.29999448500000E+06, 0.62835000400000E+07,  0.0000000E+00,  0.0000000E+00,  0.1633649E+03,        6892,        6895,          33,          33
, 0.29996103000000E+06, 0.62835429500000E+07,  0.0000000E+00,  0.5441052E+02,  0.1633649E+03,        6893,        6896,          33,          33
, 0.29992795400000E+06, 0.62835862500000E+07,  0.0000000E+00,  0.1088982E+03,  0.1633649E+03,        6894,        6897,          33,          33
, 0.29989473000000E+06, 0.62836294100000E+07,  0.0000000E+00,  0.1633649E+03,  0.1633649E+03,,,          33,          33
, 0.28557440000000E+06, 0.62641016000000E+07,  0.1316699E+02,  0.0000000E+00,  0.1166898E+03,        9120,        9125,          34,          34
, 0.28553743300000E+06, 0.62641137000000E+07,  0.1303410E+02,  0.3889690E+02,  0.1166898E+03,        9122,        9126,          34,          34
, 0.28550046700000E+06, 0.62641258000000E+07,  0.1345081E+02,  0.7779286E+02,  0.1166898E+03,        9121,        9127,          34,          34
, 0.28546350000000E+06, 0.62641379000000E+07,  0.0000000E+00,  0.1166898E+03,  0.1166898E+03,,,          34,          34
, 0.28074053000000E+06, 0.62507100400000E+07,  0.2461878E+02,  0.0000000E+00,  0.3003599E+02,        9773,        9775,          35,          35
, 0.28074661500000E+06, 0.62506963100000E+07,  0.2460357E+02,  0.1501799E+02,  0.3003599E+02,        9774,        9776,          35,          35
, 0.28075270000000E+06, 0.62506825800000E+07,  0.0000000E+00,  0.3003599E+02,  0.3003599E+02,,,          35,          35
, 0.27999598000000E+06, 0.62399812100000E+07,  0.4320120E+02,  0.0000000E+00,  0.3190014E+02,       10074,       10075,          36,          36
, 0.27996492400000E+06, 0.62399739200000E+07,  0.0000000E+00,  0.3190014E+02,  0.3190014E+02,,,          36,          36
, 0.28303172000000E+06, 0.62344695300000E+07,  0.4469374E+02,  0.0000000E+00,  0.3913838E+02,       10132,       10133,          37,          37
, 0.28299574300000E+06, 0.62344849400000E+07,  0.0000000E+00,  0.3913838E+02,  0.3913838E+02,,,          37,          37
, 0.28363608000000E+06, 0.62330798200000E+07,  0.4655560E+02,  0.0000000E+00,  0.3117379E+02,       10142,       10143,          38,          38
, 0.28361078500000E+06, 0.62330616000000E+07,  0.0000000E+00,  0.3117379E+02,  0.3117379E+02,,,          38,          38
, 0.28565126000000E+06, 0.62326132700000E+07,  0.4694950E+02,  0.0000000E+00,  0.4414968E+02,       10161,       10162,          39,          39
, 0.28568972000000E+06, 0.62325915900000E+07,  0.0000000E+00,  0.4414968E+02,  0.4414968E+02,,,          39,          39
, 0.28572677000000E+06, 0.62311502600000E+07,  0.4925840E+02,  0.0000000E+00,  0.3637014E+02,       10188,       10189,          40,          40
, 0.28569287200000E+06, 0.62311634400000E+07,  0.0000000E+00,  0.3637014E+02,  0.3637014E+02,,,          40,          40
, 0.28799162000000E+06, 0.62302010600000E+07,  0.5276119E+02,  0.0000000E+00,  0.3742752E+02,       10221,       10222,          41,          41
, 0.28797477000000E+06, 0.62301676400000E+07,  0.0000000E+00,  0.3742752E+02,  0.3742752E+02,,,          41,          41
, 0.29187778000000E+06, 0.62224828800000E+07,  0.5914980E+02,  0.0000000E+00,  0.5012593E+02,       10316,       10317,          42,          42
, 0.29190636000000E+06, 0.62224417000000E+07,  0.0000000E+00,  0.5012593E+02,  0.5012593E+02,,,          42,          42
, 0.28908589500000E+06, 0.62142178600000E+07,  0.6120062E+02,  0.0000000E+00,  0.3113572E+02,       10439,       10441,          43,          43
, 0.28908879900000E+06, 0.62142488600000E+07,  0.0000000E+00,  0.3113572E+02,  0.3113572E+02,,,          43,          43
, 0.28167919000000E+06, 0.62127668300000E+07,  0.8199998E+02,  0.0000000E+00,  0.4499153E+02,       10559,       10560,          44,          44
, 0.28164250000000E+06, 0.62127928700000E+07,  0.0000000E+00,  0.4499153E+02,  0.4499153E+02,,,          44,          44
, 0.27965140000000E+06, 0.62510349000000E+07,  0.1700000E+02,  0.0000000E+00,  0.8406724E+02,        9679,        9685,          45,          45
, 0.27960530000000E+06, 0.62509646000000E+07,  0.0000000E+00,  0.8406724E+02,  0.8406724E+02,,,          45,          45
, 0.28116382000000E+06, 0.62429275300000E+07,  0.2465341E+02,  0.0000000E+00,  0.2856156E+02,       10009,       10011,          46,          46
, 0.28116769500000E+06, 0.62429412800000E+07,  0.2479855E+02,  0.1428559E+02,  0.2856156E+02,       10010,       10014,          46,          46
, 0.28117157000000E+06, 0.62429550200000E+07,  0.0000000E+00,  0.2856156E+02,  0.2856156E+02,,,          46,          46
, 0.28989708500000E+06, 0.62139941900000E+07,  0.6000000E+02,  0.0000000E+00,  0.3710658E+02,       10394,       10395,          47,          47
, 0.28988276000000E+06, 0.62140284200000E+07,  0.0000000E+00,  0.3710658E+02,  0.3710658E+02,,,          47,          47
, 0.28038589000000E+06, 0.62505684400000E+07,  0.2266463E+02,  0.0000000E+00,  0.4175976E+02,        9762,        9764,          48,          48
, 0.28037379500000E+06, 0.62505514200000E+07,  0.2271088E+02,  0.2087988E+02,  0.4175976E+02,        9761,        9763,          48,          48
, 0.28036170000000E+06, 0.62505344000000E+07,  0.0000000E+00,  0.4175976E+02,  0.4175976E+02,,,          48,          48
, 0.28001036500000E+06, 0.62506353000000E+07,  0.2091588E+02,  0.0000000E+00,  0.3907872E+02,        9746,        9748,          49,          49
, 0.28000816400000E+06, 0.62506158800000E+07,  0.2043250E+02,  0.1954433E+02,  0.3907872E+02,        9745,        9747,          49,          49
, 0.28000596300000E+06, 0.62505964700000E+07,  0.0000000E+00,  0.3907872E+02,  0.3907872E+02,,,          49,          49
, 0.27966509000000E+06, 0.62506378300000E+07,  0.1915852E+02,  0.0000000E+00,  0.4202417E+02,        9728,        9730,          50,          50
, 0.27967607000000E+06, 0.62506199200000E+07,  0.1878588E+02,  0.2100782E+02,  0.4202417E+02,        9727,        9729,          50,          50
, 0.27968705000000E+06, 0.62506020000000E+07,  0.0000000E+00,  0.4202417E+02,  0.4202417E+02,,,          50,          50
, 0.28038589000000E+06, 0.62505684400000E+07,  0.2326116E+02,  0.0000000E+00,  0.3811164E+02,        9764,        9765,          51,          51
, 0.28039445000000E+06, 0.62505514200000E+07,  0.2286714E+02,  0.1905135E+02,  0.3811164E+02,        9763,        9766,          51,          51
, 0.28040301000000E+06, 0.62505343900000E+07,  0.0000000E+00,  0.3811164E+02,  0.3811164E+02,,,          51,          51
, 0.27985292100000E+06, 0.62507410200000E+07,  0.2022686E+02,  0.0000000E+00,  0.4101562E+02,        9738,        9740,          52,          52
, 0.27985258100000E+06, 0.62507205200000E+07,  0.1984165E+02,  0.2050282E+02,  0.4101562E+02,        9737,        9739,          52,          52
, 0.27985224200000E+06, 0.62507000100000E+07,  0.0000000E+00,  0.4101562E+02,  0.4101562E+02,,,          52,          52
, 0.33661228100000E+06, 0.62843645700000E+07,  0.0000000E+00,  0.0000000E+00,  0.1412736E+04,         479,         503,          53,          53
, 0.33686228700000E+06, 0.62845302300000E+07,  0.0000000E+00,  0.2999104E+03,  0.1412736E+04,         477,         502,          53,          53
, 0.33706581600000E+06, 0.62846200400000E+07,  0.0000000E+00,  0.5223736E+03,  0.1412736E+04,         476,         501,          53,          53
, 0.33726939000000E+06, 0.62847098700000E+07,  0.0000000E+00,  0.7448861E+03,  0.1412736E+04,         475,         500,          53,          53
, 0.33747300900000E+06, 0.62847997200000E+07,  0.0000000E+00,  0.9674478E+03,  0.1412736E+04,         474,         499,          53,          53
, 0.33767667300000E+06, 0.62848896100000E+07,  0.0000000E+00,  0.1190067E+04,  0.1412736E+04,         473,         498,          53,          53
, 0.33788038300000E+06, 0.62849795200000E+07,  0.0000000E+00,  0.1412736E+04,  0.1412736E+04,,,          53,          53
, 0.33688700000000E+06, 0.62876020000000E+07,  0.0000000E+00,  0.0000000E+00,  0.1064343E+04,         736,         751,          54,          54
, 0.33709820000000E+06, 0.62875754000000E+07,  0.0000000E+00,  0.2128685E+03,  0.1064343E+04,         735,         750,          54,          54
, 0.33730940000000E+06, 0.62875488000000E+07,  0.0000000E+00,  0.4257370E+03,  0.1064343E+04,         734,         749,          54,          54
, 0.33752060000000E+06, 0.62875222000000E+07,  0.0000000E+00,  0.6386055E+03,  0.1064343E+04,         733,         748,          54,          54
, 0.33773180000000E+06, 0.62874956000000E+07,  0.0000000E+00,  0.8514740E+03,  0.1064343E+04,         732,         747,          54,          54
, 0.33794300000000E+06, 0.62874690000000E+07,  0.0000000E+00,  0.1064343E+04,  0.1064343E+04,,,          54,          54
, 0.33569600000000E+06, 0.62873394000000E+07,  0.0000000E+00,  0.0000000E+00,  0.4025847E+03,         722,         740,          55,          55
, 0.33584740100000E+06, 0.62873319000000E+07,  0.0000000E+00,  0.1515867E+03,  0.4025847E+03,         720,         738,          55,          55
, 0.33591941400000E+06, 0.62873801100000E+07,  0.0000000E+00,  0.2382473E+03,  0.4025847E+03,         719,         737,          55,          55
, 0.33598617900000E+06, 0.62874294400000E+07,  0.0000000E+00,  0.3212595E+03,  0.4025847E+03,         721,         739,          55,          55
, 0.33604975800000E+06, 0.62874801500000E+07,  0.0000000E+00,  0.4025847E+03,  0.4025847E+03,,,          55,          55
, 0.33484492000000E+06, 0.62871040000000E+07,  0.0000000E+00,  0.0000000E+00,  0.4162397E+03,        1266,        1292,          56,          56
, 0.33490678500000E+06, 0.62869056000000E+07,  0.0000000E+00,  0.2078217E+03,  0.4162397E+03,        1267,        1293,          56,          56
, 0.33497000000000E+06, 0.62867070000000E+07,  0.0000000E+00,  0.4162397E+03,  0.4162397E+03,,,          56,          56
, 0.33438250000000E+06, 0.62872061000000E+07,  0.0000000E+00,  0.0000000E+00,  0.1027644E+04,         858,         878,          57,          57
, 0.33431799200000E+06, 0.62873647600000E+07,  0.0000000E+00,  0.1712725E+03,  0.1027644E+04,         859,         879,          57,          57
, 0.33425348500000E+06, 0.62875234200000E+07,  0.0000000E+00,  0.3425447E+03,  0.1027644E+04,         860,         880,          57,          57
, 0.33418897700000E+06, 0.62876820800000E+07,  0.0000000E+00,  0.5138172E+03,  0.1027644E+04,         862,         881,          57,          57
, 0.33412446900000E+06, 0.62878407400000E+07,  0.0000000E+00,  0.6850897E+03,  0.1027644E+04,         882,         883,          57,          57
, 0.33405996200000E+06, 0.62879994100000E+07,  0.0000000E+00,  0.8563712E+03,  0.1027644E+04,         884,         902,          57,          57
, 0.33399545400000E+06, 0.62881580700000E+07,  0.0000000E+00,  0.1027644E+04,  0.1027644E+04,,,          57,          57
, 0.33308260700000E+06, 0.62869985700000E+07,  0.0000000E+00,  0.0000000E+00,  0.3421266E+03,         997,        1035,          58,          58
