ID,X,Y,Z
153,341936.4347,6284116.658,-9.5
154,343579.3079,6280997.251,-15.70357418
155,343856.3057,6281084.637,-5.207620144
156,343170.2392,6280939.303,-13.13171196
157,342796.3804,6280881.259,-12.38332558
158,342519.8957,6280861.346,-13.52784348
159,342214.8796,6281024.668,-5.374447823
160,342332.1118,6280780.373,-12.90841579
161,341530.0082,6285669.528,-8.272130013
162,341556.4927,6285298.562,-12.16272926
163,341582.9762,6284927.595,-12
164,341609.4611,6284556.631,-12
165,341635.9436,6284185.672,-10
166,343589.6178,6280606.297,-15.28561878
167,343169.048,6280531.245,-15.25209618
168,343389.6003,6280491.867,-15.55492973
169,342800.4177,6280457.085,-12.23297882
170,342978.2923,6280411.207,-16.04747391
171,342063.8198,6280757.505,-8.73239994
172,342170.5203,6280625.167,-13.76712322
173,341175.7165,6285750.64,-9.092915535
174,341216.2603,6285363.364,-11.62877178
175,341256.804,6284976.081,-12
176,341297.3482,6284588.791,-12
177,341337.8933,6284201.495,-13
178,343653.6603,6280245.496,-14.9995842
179,343917.5696,6280231.661,-14.20402145
180,343409.2194,6280212.83,-15.32844925
181,343175.5597,6280181.198,-18.89410782
182,342966.8621,6280148.667,-19.06168365
183,342772.4217,6280114.731,-15.40576172
184,342617.889,6280053.11,-5.04456234
185,341922.6632,6280600.129,-8.791205406
186,342019.0593,6280490.248,-12.99499416
187,340818.7696,6285802.569,-7.477876186
188,340874.9883,6285394.625,-11.12378693
189,340931.2084,6284986.681,-12
190,340987.4272,6284578.737,-9.798062325
191,341043.6473,6284170.792,-14.26745033
192,343646.3355,6279904.713,-10.00018978
193,343884.5724,6279885.311,-10.48993301
194,343392.4634,6279902.025,-10.0007534
195,344194.8135,6280030.628,-11.13913918
196,344099.5405,6279738.733,-4.999800682
197,343150.9382,6279898.833,-17.99357224
198,342936.963,6279892.027,-19.9999733
199,342738.2488,6279882.582,-16.43992424
200,342549.7994,6279864.159,-5.010445118
201,341795.7723,6280509.803,-10.64055824
202,341872.848,6280394.269,-11.92373276
203,340454.2711,6285809.884,-6.283404827
204,340549.8879,6285397.709,-11.01557064
205,340646.917,6284988.324,-10.14650059
206,340753.9673,6284635.947,-10.39007759
207,340644.0975,6284511.912,-10.69576359
208,340804.551,6284163.268,-15.00318909
209,343638.9607,6279564.163,-10.00018978
210,343851.6943,6279540.214,-9.376921654
211,343375.5519,6279591.913,-10.00018978
212,344004.9589,6279448.953,-5.896766663
213,343126.1047,6279617.408,-15.1115818
214,344419.4153,6279729.312,-4.999800205
215,344270.2468,6279501.862,-4.999800205
216,344121.4187,6279274.929,-4.999800205
217,342906.9041,6279636.114,-19.9999733
218,342704.0232,6279650.7,-14.74602032
219,342540.4443,6279692.223,-5.619780064
220,341674.0423,6280393.155,-11.12843132
221,341717.8668,6280306.602,-8.823677063
222,340138.7565,6285673.195,-6.082697868
223,340286.1784,6285287.853,-10.87214947
224,340014.7632,6285917.626,-3.648812532
225,340440.0062,6284907.105,-10.25130367
226,340459.1195,6284389.383,-8.794724464
227,340628.5878,6284093.332,-20.71754837
228,340265.6002,6284756.951,-9.935997009
229,343623.571,6279187.517,-11.21515179
230,343355.0164,6279225.756,-15.83945084
231,343102.3879,6279261.14,-17.30485535
232,342882.6349,6279288.774,-18.54349709
233,344546.6371,6279501.869,-7.014239311
234,344373.5523,6279291.087,-5.49774313
235,344200.4675,6279080.306,-4.999800205
236,342679.9065,6279311.585,-16.17897797
237,342516.8463,6279254.993,-14.99959087
238,339888.0654,6285420.566,-8.672734261
239,340071.0831,6285085.626,-11.28847408
240,339755.5123,6285660.106,-3.911285639
241,339914.1293,6286043.124,-2.942081928
242,339656.6527,6285822.072,-3.671040058
243,340296.3393,6284340.44,-8.035569191
244,340224.6782,6284136.249,-8.687232971
245,340480.0007,6283893.237,-21.05928802
246,340102.1159,6284589.857,-9.007092476
247,339875.4445,6284861.81,-11.2960577
248,343604.1002,6278771.673,-13.75718689
249,343335.3998,6278800.107,-14.9995842
250,343083.7322,6278826.242,-14.9995842
251,342867.4114,6278845.89,-14.9995842
252,342669.4831,6278861.341,-10.97856236
253,344631.5134,6279296.401,-8.803204536
254,344472.6243,6279099.755,-7.454545975
255,344313.7557,6278903.133,-6.105661869
256,342511.513,6278952.327,-4.999838352
257,339665.3457,6285142.107,-9.68949604
258,339509.816,6285375.875,-6.580884457
259,339411.3544,6285546.834,-5.008916855
260,339842.0192,6286206.626,-2.779222488
261,339554.673,6286016.118,-3.479609251
262,339313.7315,6285708.301,-2.08284688
263,339967.94,6284365.61,-7.206339836
264,340069.5003,6283886.614,-8.454090118
265,340313.8791,6283636.365,-15.90971088
266,339821.941,6284113.295,-6.051237106
267,340447.9092,6283359.451,-10.80047989
268,339708.8508,6284603.308,-9.972109795
269,339474.6742,6284854.334,-12.16158199
270,343575.2032,6278366.926,-14.99198341
271,343283.1046,6278420.799,-14.9995842
272,343009.625,6278470.552,-14.9995842
273,342776.7274,6278510.132,-14.99958324
274,342565.5592,6278544.019,-5.011955738
275,344697.603,6279070.081,-10.65082073
276,344595.9628,6278928.035,-9.855617523
277,344495.4278,6278787.532,-9.068888664
278,339569.9334,6284361.518,-8.135195732
279,339882.2144,6283639.58,-9.043273926
280,340109.8459,6283378.927,-15.49999714
281,339651.9015,6283887.265,-6.151144981
282,340255.929,6283184.99,-11.25379753
283,339419.9888,6284147.78,-7.243864059
284,340090.2822,6282980.64,-11.02714157
285,339322.0116,6284604.976,-11.69803047
286,339114.9799,6284751.271,-3.866051912
287,343378.1609,6277996.056,-10.00018692
288,343594.111,6277887.223,-5.076514244
289,343041.5267,6278082.599,-14.9995842
290,342729.6072,6278162.437,-14.9995842
291,342467.7711,6278227.665,-14.9995842
292,342231.0676,6278284.934,-14.9995842
293,342051.3145,6278377.493,-11.02183914
294,344760.4631,6278862.228,-12.37706184
295,344712.3904,6278785.488,-12.04034805
296,344664.2953,6278708.715,-11.7043972
297,339189.4595,6284405.341,-11.89999962
298,339682.6769,6283403.185,-9.860927582
299,339890.6592,6283134.673,-14.99999809
300,339472.4402,6283669.421,-6.470260143
301,339263.5177,6283939.657,-7.192486763
302,339053.2717,6284208.848,-10
303,339647.9777,6282928.625,-15.80070305
304,338986.3463,6284602.864,-7.570962906
305,338943.8041,6284867.548,-2.515544891
306,338854.884,6284754.657,-4.492865086
307,343061.4132,6277640.402,-13.75287628
308,343406.0636,6277562.386,-9.82523632
309,342713.9399,6277752.306,-13.11991787
310,342392.0216,6277855.617,-14.9995842
311,342124.4174,6277940.099,-14.9995842
312,341885.5277,6278014.444,-14.9995842
313,341725.5508,6278138.167,-12.24362373
314,341575.8501,6278277.609,-7.810941219
315,344826.7848,6278711.804,-13.90999126
316,344776.041,6278685.88,-13.32527924
317,344751.4665,6278619.674,-13.26647377
318,338856.9833,6284455.866,-7.712759018
319,339447.5487,6283199.931,-10.5187521
320,339260.5224,6283463.208,-7.567813873
321,339086.4944,6283747.027,-7.585250854
322,338896.273,6284023.989,-10
323,338723.9206,6284288.262,-8.208827972
324,339394.893,6282735.55,-13.78415871
325,339544.687,6282451.583,-1.052982211
326,339188.1354,6283000.387,-10.20286846
327,338739.3295,6284707.326,-4.027671337
328,342771.6203,6277292.435,-9.944979668
329,343149.3435,6277222.026,-9.908975601
330,342469.8149,6277435.956,-12.39575291
331,342178.6374,6277569.126,-14.9995842
332,341852.8116,6277735.774,-14.9995842
333,341954.4003,6277620.69,-14.9995842
334,341649.4809,6277831.424,-11.68257809
335,341480.468,6277939.703,-10.00018978
336,341322.782,6278066.63,-9.995238304
337,341383.5864,6278414.033,-7.745699883
338,341097.2805,6278235.652,-10.00018978
339,339014.2547,6283263.595,-8.885837555
340,338889.9403,6283571.022,-7.931478024
341,338786.7907,6283834.907,-9.999998093
342,338588.3828,6284110.955,-9.007572174
343,338636.9851,6283776.209,-8.510402679
344,339131.9743,6282534.537,-10.79279518
345,339012.798,6282801.467,-9.79754734
346,338744.0725,6283093.373,-10.11790752
347,338768.7157,6282752.273,-10
348,342600.1351,6277049.909,-13.11436844
349,342329.2135,6277161.986,-14.9995842
350,342055.3942,6277275.258,-14.9995842
351,341763.6375,6277397.187,-14.9995842
352,341850.793,6277285.867,-14.9995842
353,341611.4867,6277496.37,-14.87949562
354,341397.5778,6277640.514,-4.999831676
355,341462.8057,6277522.243,-11.92682648
356,338677.935,6283421.452,-10
357,338447.9053,6283996.936,-10.53216267
358,338440.2891,6283687.762,-8.844566345
359,338433.9784,6283354.623,-9.407331467
360,338830.5865,6282373.218,-9.858177185
361,338428.9878,6283029.222,-10.64511776
362,338424.211,6282705.152,-10
363,338487.9883,6282303.653,-10
364,342606.2061,6276904.182,-14.71613979
365,342236.4412,6276958.784,-14.9995842
366,342414.351,6276895.4,-14.9995842
367,341974.7831,6277003.88,-14.97686863
368,341666.0633,6277041.2,-10.00018978
369,341773.293,6276974.967,-10.00018978
370,341506.1742,6277101.945,-10.00018978
371,341372.3142,6277208.708,-13.50773811
372,341238.4457,6277315.477,-13.18089294
373,341104.5682,6277422.253,-9.982283592
374,338313.3613,6283988.293,-8.739538193
375,338253.0241,6283708.477,-8.512296677
376,338198.4398,6283409.667,-9.56056881
377,338125.7351,6283119.503,-11.00802612
378,338088.158,6282807.892,-10.15831661
379,337961.6458,6282441.481,-10
380,338198.1647,6282250.87,-10
381,342666.642,6276728.211,-8.542847633
382,342441.1997,6276721.044,-14.9995842
383,342215.5392,6276713.872,-14.9995842
384,341989.748,6276706.697,-10.00018978
385,341276.904,6276920.939,-10.00018978
386,341152.1681,6277016.373,-10.00018978
387,341027.619,6277111.665,-10.00018978
388,340903.2246,6277206.838,-10.00018978
389,340680.7638,6277197.74,-6.293409824
390,338214.0557,6284048.156,-6.806533337
391,338077.8055,6283870.696,-7.382073879
392,338132.6797,6283742.757,-7.953255177
393,338039.4608,6283535.259,-9.269696236
394,337926.6451,6283293.545,-10.75320339
395,337788.8606,6283094.479,-12.57054234
396,337883.6297,6282902.95,-11.07213974
397,337739.6213,6282645.983,-10
398,337556.2661,6282357.579,-9.043013573
399,342740.9361,6276546.308,-10.51001072
400,342942.0873,6276563.047,-4.999800205
401,342518.1358,6276530.984,-14.9995842
402,342293.5845,6276511.628,-14.9995842
403,342073.9046,6276493.878,-10.00019646
404,341088.8323,6276780.376,-10.00018978
405,340992.9228,6276842.557,-10.00018978
406,340897.035,6276904.724,-10.00018978
407,340801.1672,6276966.878,-10.00018978
408,340639.1622,6276978.771,-7.4085989
409,340350.9489,6277086.129,-9.701258659
410,340400.4123,6276935.751,-6.268381119
411,338122.4224,6284197.46,-4.922203064
412,337968.4602,6284048.626,-5.90318203
413,337931.1978,6283685.534,-7.876908779
414,337814.4727,6283899.772,-6.585861206
415,337794.6618,6283496.481,-10.37746811
416,337651.2272,6283324.984,-12.83653927
417,337592.4879,6282842.352,-10
418,337456.7698,6283087.481,-10
419,337422.4241,6282571.989,-9.204405785
420,337448.3346,6282170.251,-8.581464767
421,337305.8251,6282386.528,-8.794896126
422,342760.8183,6276337.637,-11.1185627
423,342534.3816,6276355.483,-14.59656811
424,342305.9023,6276363.217,-14.9995842
425,342081.8661,6276373.311,-10.40572834
426,341001.102,6276626.358,-10.00018978
427,340913.7407,6276656.757,-10.00018978
428,340826.0607,6276687.267,-10.00005913
429,340738.2315,6276717.828,-7.349548817
430,338010.0008,6284402.406,-2.011881351
431,337845.0051,6284271.35,-3.435606956
432,337680.0234,6284140.297,-6
433,337660.4642,6283750.904,-9.885613441
434,337515.0563,6284009.248,-9.705758095
435,337506.437,6283602.028,-12.18771553
436,337315.5752,6283388.476,-15.89988708
437,337282.3697,6282839.23,-8.000000954
438,337156.5929,6282655.614,-8.910876274
439,337319.9291,6281996.043,-8.049715996
440,337422.3943,6281834.13,-3.001357079
441,337172.1561,6282202.15,-8.311437607
442,337017.3045,6282458.009,-8.536819458
443,342722.1328,6276126.551,-5.525667667
444,342501.8733,6276180.97,-13.33610153
445,342271.9834,6276219.189,-14.9995842
446,342052.9202,6276261.471,-10.50668907
447,340991.2446,6276508.794,-10.00018978
448,340889.7799,6276499.766,-10.00018978
449,340788.1575,6276490.723,-10.00018978
450,340686.4534,6276481.672,-10.00018978
451,337916.07,6284612.657,-1.658082128
452,337741.1669,6284497.976,-2.479583025
453,337566.3195,6284383.314,-6
454,337391.5305,6284268.672,-10
455,337350.1053,6283878.2,-11.99999809
456,337216.8031,6284154.056,-11.99999809
457,337152.8636,6283690.215,-16.1646843
458,337146.3598,6281810.137,-7.292536259
459,337269.4546,6281669.509,-5.068294048
460,336992.3903,6282016.146,-7.656691074
461,337497.4721,6281675.638,-3.11241889
462,337371.6004,6281552.263,-4.646719456
463,336831.2276,6282270.774,-7.980038166
464,342605.7715,6275915.965,-9.999669075
465,342790.1205,6275816.539,-7.29047823
466,342410.8417,6276008.877,-13.01215267
467,342206.8367,6276082.769,-14.99931145
468,342005.6796,6276159.105,-10.1582222
469,341001.847,6276404.499,-10.00018978
470,340892.7961,6276369.775,-10.00018978
471,340783.6995,6276335.036,-10.00018978
472,340674.5721,6276300.282,-5.001812935
473,337825.2613,6284829.117,-1.624258995
474,337634.648,6284731.96,-1.764484048
475,337444.0847,6284634.827,-6
476,337253.5757,6284537.728,-10
477,337063.1217,6284440.654,-12.1648922
478,337014.0625,6283988.704,-17.47302628
479,336848.6937,6284300.112,-16.93836212
480,336937.2697,6281598.601,-7.578167915
481,337085.4791,6281478.589,-2.236513853
482,336775.8804,6281818.15,-7.559721947
483,337227.9018,6281414.41,-2.674001217
484,336606.9689,6282086.138,-7.396955013
485,337634.9606,6281505.045,-3.902100325
486,337502.5105,6281402.538,-4.604981899
487,337363.0924,6281297.406,-2.73803401
488,342487.5306,6275724.442,-4.999800205
489,342669.3333,6275663.333,-4.999800205
490,342317.3875,6275852.277,-11.06538677
491,342133.2569,6275959.086,-12.08790302
492,341959.7619,6276067.546,-10.18800354
493,341036.7523,6276305.288,-10.00018978
494,340944.7762,6276253.857,-10.00018978
495,340852.7001,6276202.37,-10.00018978
496,340760.5689,6276150.847,-10.00018978
497,340604.8716,6276081.223,-7.095110416
498,337697.7079,6285033.214,-1.497382998
499,337449.9006,6284939.039,-2.014513016
500,337202.298,6284844.939,-12
501,337080.05,6284736.867,-12
502,336855.7438,6284709.075,-11.9491539
503,336586.4251,6284576.961,-10.66881847
504,336702.0423,6281375.196,-7.944452763
505,336816.086,6281077.201,0.184133932
506,336551.6573,6281593.239,-7.86687088
507,336396.4424,6281857.11,-7.173425198
508,337768.6673,6281353.309,-4.009008408
509,337960.5644,6281413.482,-3.401749849
510,337639.7868,6281267.838,-4.623960972
511,337510.8302,6281182.317,-3.945263863
512,337434.4902,6280976.368,0.25
513,342383.0466,6275581.198,-4.999801159
514,342432.3051,6275412.492,-7.222413063
515,342235.9407,6275731.095,-10.0001936
516,342108.21,6275857.257,-10.00034237
517,341913.1773,6275979.733,-10.00018978
518,341996.0966,6275794.402,-10.00018978
519,341106.2406,6276229.635,-10.00018978
520,341039.9216,6276164.947,-10.00018978
521,340973.5321,6276100.194,-10.00018978
522,340907.1025,6276035.397,-9.155679703
523,340766.0781,6275976.187,-8.368494987
524,340410.4547,6275975.758,-6.554662228
525,340570.9465,6275902.12,-7.547835827
526,337549.6347,6285220.737,-1.309682012
527,337241.5567,6285135.952,-9
528,336933.2085,6285050.999,-12
529,336624.6236,6284965.883,-10.9360733
530,336296.7637,6284851.697,-4.419271946
531,336457.0417,6281173.215,-8.096396446
532,336575.316,6280915.497,-7.056167126
533,336346.7819,6281352.723,-8.265541077
534,336237.49,6281571.015,-8.174118996
535,337857.1494,6281187.569,-4.223071575
536,338007.1122,6281242.886,0.249999598
537,337759.5,6281160,-4.751990795
538,338222.083,6281449.684,0.25
539,338217.9415,6281278.952,0.25
540,337703.537,6281095.733,-4.660960674
541,337649.1273,6280969.988,0.249992907
542,337497.6046,6280730.428,0.25
543,337692.5685,6280809.925,0.25
544,342161.3583,6275430.898,-10.00018978
545,342194.4689,6275256.611,-10.00018978
546,342070.4528,6275606.493,-10.00018978
547,342433.7711,6275236.669,-7.222408772
548,342231.1657,6275103.024,-10.00018978
549,341842.0773,6275912.34,-10.00018978
550,341858.7072,6275723.432,-10.00018978
551,341868.3073,6275524.398,-10.00018978
552,341240.0427,6276137.016,-10.00018978
553,341181.5965,6276058.628,-10.00018978
554,341123.1583,6275980.25,-8.468146324
555,341064.7274,6275901.883,-5.035086632
556,340248.5618,6275877.445,-5.052373409
557,340411.3302,6275813.061,-6.62190485
558,337397.2513,6285404.47,-0.703949153
559,337062.5831,6285346.815,-11
560,336727.5136,6285288.863,-12
561,336392.0881,6285230.616,-8
562,336042.1898,6285152.667,-2.969947338
563,335810.4183,6285096.74,-9.899999619
564,336191.3589,6281055.557,-8.391471863
565,336295.3412,6280795.198,-6.457252979
566,336127.5094,6281202.633,-8.366024017
567,336069.6589,6281381.439,-8.593850136
568,338406.6781,6281375.503,0.25
569,338390.1921,6281229.137,0.25
570,337659.8344,6280612.821,0.25
571,337782.5422,6280700.298,0.25000006
572,341892.9314,6275333.766,-10.00018978
573,341914.159,6275152.744,-10.00017548
574,341994.3349,6275008.725,-9.987847328
575,342517.0856,6275080.368,-10.00018978
576,342343.3017,6274978.416,-10.00018978
577,342145.5394,6274903.855,-8.493379593
578,341756.4831,6275878.065,-10.00018978
579,341719.6516,6275695.698,-10.00018978
580,341678.4554,6275508.326,-10.00018978
581,341645.6296,6275322.667,-9.06891346
582,341401.8826,6276018.445,-10.00018978
583,341327.9795,6275904.553,-10.00018978
584,341254.161,6275790.792,-7.737808228
585,341180.4158,6275677.143,-4.999800682
586,340153.873,6275751.546,-9.225205421
587,340299.4967,6275714.247,-6.418070793
588,337239.9305,6285568.202,-4.723923206
589,336907.115,6285538.469,-12.34706497
590,336574.0804,6285508.502,-12
591,336240.8383,6285478.304,-5.454250813
592,335898.9422,6285436.855,-2.589766026
593,335657.5166,6285291.572,-1
594,335549.1127,6284993.559,-1
595,335935.9951,6281039.05,-8.670012474
596,336020.6314,6280747.914,-8.056260109
597,335894.456,6281187.999,-8.600824356
598,335860.8869,6281366.944,-8.372127533
599,338583.953,6281192.439,0.5
600,338561.3636,6281099.578,0.5
601,337821.847,6280553.171,0.5
602,337882.7648,6280613.765,0.5
603,341654.947,6275135.795,-8.471328735
604,341772.9709,6274982.87,-5.78508997
605,341958.2157,6274878.129,-5.475087166
606,342612.957,6274912.823,-6.457151413
607,342453.2068,6274837.477,-10.00018978
608,342279.4335,6274776.45,-7.040235043
609,342112.0492,6274745.612,-4.999800682
610,341679.9868,6275866.781,-10.00018978
611,341608.3415,6275700.159,-10.00018978
612,341532.5261,6275527.568,-10.00018978
613,341460.4633,6275356.947,-6.718576908
614,341564.4877,6275919.261,-10.00018978
615,341482.0611,6275770.168,-10.00018978
616,341399.6404,6275621.085,-9.977479935
617,341317.2246,6275472.011,-6.785932064
618,340097.5778,6275571.427,-4.999826908
619,340236.944,6275576.939,-4.999800205
620,337109.2819,6285748.673,-11.3684597
621,336790.5459,6285743.293,-12
622,336471.7328,6285737.841,-10
623,336152.8475,6285732.318,-6
624,335830.6963,6285722.478,-2.21846199
625,335535.4441,6285525.351,-1
626,335340.36,6285151.19,-1
627,335371.0835,6284675.876,-1
628,335159.2997,6284770.756,-1
629,335673.9496,6281032.898,-9.191363335
630,335762.9599,6280780.309,-6.909080982
631,335638.1542,6281190.134,-8.884625435
632,335610.3937,6281375.493,-8.522442818
633,337951.3646,6280492.621,0.5
634,337982.2673,6280533.837,0.5
635,342673.3065,6274723.603,-8.331845284
636,342516.1007,6274663.958,-9.561787605
637,342354.2943,6274604.894,-6.966158867
638,342194.9415,6274558.079,-4.999803066
639,340043.9094,6275450.259,-4.999795914
640,340199.1595,6275462.64,-4.999800205
641,337138.5417,6286025.035,-12.001297
642,336818.5555,6286028.948,-12
643,336498.5702,6286032.86,-8
644,336178.5836,6286036.77,-6
645,335858.5961,6286040.683,-4.5
646,335357,6285654.667,-1
647,334929.6667,6284790,-1
648,335213.9755,6284346.353,-0.5
649,335038.6333,6284388.867,-0.5
650,335385.2426,6281031.639,-9.847833633
651,335364.423,6280905.49,-0.991355777
652,335342.1248,6281189.412,-9.103163719
653,335305.8346,6281371.976,-8.750692368
654,342833.6211,6274531.622,-4.999800205
655,342702.7197,6274481.061,-5.000041008
656,342571.8794,6274430.523,-4.997471809
657,342441.097,6274380.008,-4.866179943
658,340065.3065,6275259.258,-4.999800205
659,340215.0068,6275288.2,-4.999800205
660,337302.5498,6286343.736,-12
661,336974.1826,6286348.468,-12
662,336645.8143,6286353.202,-5.38223505
663,336317.4467,6286357.932,-6
664,335989.0801,6286362.667,-6.054365158
665,335138.3522,6284085.657,-0.5
666,334996.9243,6284127.242,-0.5
667,335108.7563,6281011.863,-10.46461964
668,335168.8404,6280862.612,0.198124006
669,335042.2851,6281170.52,-9.776650429
670,335177.9239,6280706.489,0.277705103
671,334980.841,6281350.183,-10.67356586
672,343024.9799,6274272.24,-3
673,342923.5852,6274248.183,-3
674,342828.6667,6274262.057,-3.14904809
675,342769.7186,6274205.75,-3.000003815
676,337460.9717,6286627.806,-12
677,337137.7247,6286635.804,-12
678,336814.4775,6286643.801,-5.438095093
679,336491.2305,6286651.8,-6
680,336167.9863,6286659.8,-6.476880074
681,335985.4826,6286773.071,-4.811062813
682,335044.5327,6283854.484,-0.5
683,334916.9445,6283896.035,-0.5
684,334744.5877,6283962.303,-0.5
