Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL
11/06/2007 00:00,,14.1,,8.4,0.02,0.29,0.66,0.022,,0.01,,,,,,280
11/06/2007 00:00,,,,,0.02,0.31,0.71,0.025,,0.012,,,,,,310
26/07/2007 00:00,,11.2,,12,0.01,0.6,1.17,0.254,,0.184,,,,29.2,,30
26/07/2007 00:00,,,,,0.01,0.6,1.17,0.042,,0.014,,,,30.2,,21
10/08/2007 00:00,,14,,14,0.01,0.52,1.27,0.052,,0.01,,,,71.4,,0.5
10/08/2007 00:00,,,,,0.01,0.51,1.27,0.056,,0.012,,,,80.1,,11
03/09/2007 00:00,,,,,,,,,,,,,,,,
03/09/2007 00:00,,,,,,,,,,,,,,,,
03/10/2007 00:00,,,,,,,,,,,,,,,,
03/10/2007 00:00,,,,,,,,,,,,,,,,
02/11/2007 00:00,,,,,,,,,,,,,,,,
02/11/2007 00:00,,,,,,,,,,,,,,,,
08/12/2007 00:00,,24.4,,6.9,0.01,0.26,0.62,0.038,,0.017,,,,4.6,,82
08/12/2007 00:00,,,,,0.01,0.26,0.61,0.035,,0.017,,,,3.7,,68
07/01/2008 00:00,,,,,,,,,,,,,,,,
07/01/2008 00:00,,,,,,,,,,,,,,,,
06/02/2008 00:00,,,,,,,,,,,,,,,,
06/02/2008 00:00,,,,,,,,,,,,,,,,
24/02/2008 00:00,,,,,,,,,,,,,,,,
24/02/2008 00:00,,,,,,,,,,,,,,,,
07/03/2008 00:00,,24.9,,9.8,0.01,0.03,0.58,0.042,,0.014,,,,13.5,,36
07/03/2008 00:00,,,,,0.01,0.03,0.58,0.041,,0.013,,,,16.4,,36
31/03/2008 00:00,,22.8,,8.4,0.02,0.18,0.65,0.027,,0.009,,,,8.5,,65
31/03/2008 00:00,,,,,0.02,0.17,0.65,0.027,,0.01,,,,10.2,,74
30/04/2008 00:00,,18.5,,10.2,0.01,0.39,0.8,0.018,,0.007,,,,5,,9
30/04/2008 00:00,,,,,0.01,0.38,0.8,0.02,,0.007,,,,4.7,,15
30/05/2008 00:00,,16,,10.5,0.02,0.3,0.69,0.017,,0.006,,,,6.2,,6
30/05/2008 00:00,,,,,0.02,0.29,0.68,0.016,,0.005,,,,6.3,,11
06/06/2008 00:00,,15.3,,8.4,0.1,0.52,0.92,0.058,,0.03,,,,,,2700
06/06/2008 00:00,,,,,0.1,0.52,0.95,0.058,,0.03,,,,,,2300
23/06/2008 00:00,,14.9,,10,0.02,0.52,0.85,0.02,,0.007,,,,7.7,,16
23/06/2008 00:00,,,,,0.02,0.52,0.83,0.02,,0.008,,,,6.7,,4
09/07/2008 00:00,,12.8,,10.6,0.02,0.58,0.91,0.017,,0.005,,,,6.3,,17
09/07/2008 00:00,,,,,0.02,0.59,0.9,0.018,,0.005,,,,6.9,,8
30/07/2008 00:00,,11.5,,11.1,0.01,0.82,1.09,0.019,,0.005,,,,11.4,,15
30/07/2008 00:00,,,,,0.01,0.82,1.08,0.018,,0.005,,,,10.2,,11
13/08/2008 00:00,,12.8,,11.5,0.01,0.92,1.25,0.02,,0.005,,,,9.4,,14
13/08/2008 00:00,,,,,0.01,0.93,1.26,0.02,,0.005,,,,8.4,,20
02/09/2008 00:00,,15.6,,12.1,0.01,0.57,0.94,0.016,,0.005,,,,7.8,,6
02/09/2008 00:00,,,,,0.01,0.56,0.93,0.016,,0.005,,,,7.7,,9
23/09/2008 00:00,,18.8,,9.1,0.03,0.13,0.53,0.018,,0.006,,,,7.7,,23
23/09/2008 00:00,,,,,0.03,0.13,0.51,0.019,,0.006,,,,3.4,,20
17/10/2008 00:00,,21.3,,8.7,0.01,0.26,0.62,0.02,,0.007,,,,5.1,,23
17/10/2008 00:00,,,,,0.01,0.25,0.67,0.023,,0.008,,,,5.2,,23
06/11/2008 00:00,,22.8,,10,0.02,0.19,0.54,0.019,,0.008,,,,2.3,,42
06/11/2008 00:00,,,,,0.02,0.19,0.54,0.018,,0.008,,,,2.5,,27
27/11/2008 00:00,,22.8,4,9.8,0.02,0.13,0.47,0.018,,0.007,,,,4.3,,25
27/11/2008 00:00,,,,,0.02,0.12,0.45,0.015,,0.007,,,,3,,29
18/12/2008 00:00,,25.3,3,9.9,0.01,0.09,0.45,0.024,,0.008,,,,8.5,,25
18/12/2008 00:00,,,,,0.01,0.08,0.46,0.023,,0.008,,,,8.7,,30
08/01/2009 00:00,,25.7,5,7.7,0.01,0.02,0.41,0.024,,0.013,,,,8,,49
08/01/2009 00:00,,,,,0.01,0.02,0.44,0.023,,0.013,,,,6.8,,50
29/01/2009 00:00,,28.8,1,8.2,0.01,0.02,0.39,0.016,,0.013,,,,1.7,,81
29/01/2009 00:00,,,,,0.01,0.02,0.4,0.016,,0.012,,,,1.7,,80
19/02/2009 00:00,,25,1,8.5,0.01,0.2,0.55,0.029,,0.014,,,,7.3,,180
19/02/2009 00:00,,,,,0.01,0.19,0.53,0.027,,0.013,,,,8.3,,160
12/03/2009 00:00,,24.8,1,9.5,0.01,0.02,0.32,0.018,,0.012,,,,2,,57
12/03/2009 00:00,,,,,0.02,0.03,0.33,0.017,,0.012,,,,2.1,,38
31/03/2009 00:00,,22.6,1,8.3,0.02,0.02,0.34,0.02,,0.014,,,,1.8,,17
31/03/2009 00:00,,,,,0.02,0.02,0.37,0.019,,0.014,,,,2.2,,21
22/04/2009 00:00,,20.2,1,9.8,0.01,0.08,0.35,0.017,,0.01,,,,2,,61
22/04/2009 00:00,,,,,0.01,0.07,0.36,0.018,,0.01,,,,1.9,,60
13/05/2009 00:00,,18.1,1,10.7,0.01,0.03,0.3,0.012,,0.006,,,,1.5,,55
13/05/2009 00:00,,,,,0.01,0.04,0.3,0.011,,0.006,,,,1.5,,51
03/06/2009 00:00,,,,,,,,,,,,,,,,
03/06/2009 00:00,,,,,,,,,,,,,,,,
24/06/2009 00:00,,13.8,1,11,0.01,0.45,0.7,0.014,,0.006,,,,4,,22
24/06/2009 00:00,,,,,0.01,0.45,0.7,0.013,,0.008,,,,5.2,,10
16/07/2009 00:00,,12.6,1,11.2,0.01,0.3,0.59,0.011,,0.005,,,,4.6,,23
16/07/2009 00:00,,,,,0.01,0.3,0.57,0.012,,0.005,,,,3.5,,30
05/08/2009 00:00,,12.7,1,11,0.01,0.28,0.55,0.012,,0.004,,,,6.7,,24
05/08/2009 00:00,,,,,0.01,0.29,0.56,0.012,,0.004,,,,6.5,,31
26/08/2009 00:00,,16.5,1,11.2,0.01,0.17,0.48,0.014,,0.005,,,,3.1,,52
26/08/2009 00:00,,,,,0.01,0.17,0.48,0.013,,0.006,,,,3.3,,41
16/09/2009 00:00,,18.8,1,10.6,0.01,0.15,0.51,0.014,,0.005,,,,2.3,,18
16/09/2009 00:00,,,,,0.01,0.16,0.49,0.013,,0.005,,,,2.7,,22
08/10/2009 00:00,,17.5,1,9.4,0.01,0.07,0.42,0.015,,0.009,,,,3.3,,27
08/10/2009 00:00,,,,,0.01,0.07,0.44,0.018,,0.009,,,,3.2,,37
28/10/2009 00:00,,20.5,1,9.8,0.01,0.04,0.33,0.015,,0.008,,,,2.3,,40
28/10/2009 00:00,,,,,0.01,0.04,0.33,0.015,,0.009,,,,2.4,,51
18/11/2009 00:00,,25.8,1,10.6,0.01,0.03,0.34,0.015,,0.011,,,,1.7,,93
18/11/2009 00:00,,,,,0.01,0.03,0.34,0.015,,0.011,,,,1.4,,67
09/12/2009 00:00,,26.7,1,8.6,0.01,0.01,0.35,0.017,,0.014,,,,1.8,,14
09/12/2009 00:00,,,,,0.01,0.01,0.36,0.018,,0.014,,,,1.4,,17
23/12/2009 00:00,,28.4,1,9.6,0.01,0.01,0.35,0.018,,0.014,,,,1.8,,200
23/12/2009 00:00,,,,,0.01,0.01,0.4,0.019,,0.014,,,,1.8,,190
20/01/2010 00:00,,27,1,7.7,0.01,0.01,0.28,0.02,,0.012,,,,1.3,,17
20/01/2010 00:00,,,,,0.01,0.01,0.28,0.02,,0.012,,,,1.5,,
09/02/2010 00:00,,22.8,5,7.2,0.05,0.22,0.61,0.026,,0.012,,,,1.6,,240
09/02/2010 00:00,,,,,0.04,0.19,0.57,0.026,,0.012,,,,1.3,,
02/03/2010 00:00,,23.2,1,5.1,0.01,0.01,0.43,0.03,,0.01,,,,8.2,,98
02/03/2010 00:00,,,,,0.01,0.02,0.4,0.03,,0.011,,,,9.8,,
23/03/2010 00:00,,25.6,1,9.3,0.02,0.04,0.38,0.018,,0.008,,,,4,,82
23/03/2010 00:00,,,,,0.02,0.04,0.4,0.018,,0.008,,,,3.4,,
13/04/2010 00:00,,22.9,1,7.7,0.05,0.13,0.57,0.023,,0.007,,,,7.6,,11
13/04/2010 00:00,,,,,0.05,0.13,0.56,0.023,,0.007,,,,8,,
06/05/2010 00:00,,19.6,1,8.4,0.02,0.08,0.41,0.016,,0.007,,,,3.8,,9
06/05/2010 00:00,,,,,0.02,0.08,0.41,0.016,,0.008,,,,3.6,,
27/05/2010 00:00,,15.6,1,9.2,0.005,0.04,0.34,0.016,,0.007,,,,6.8,,17
27/05/2010 00:00,,,,,0.01,0.04,0.34,0.016,,0.006,,,,6.5,,
18/06/2010 00:00,,13.6,1,12.2,0.01,0.15,0.38,0.013,,0.005,,,,5.5,,10
18/06/2010 00:00,,,,,0.01,0.14,0.38,0.013,,0.005,,,,5.6,,
07/07/2010 00:00,,11.4,1,11.1,0.01,0.21,0.45,0.013,,0.005,,,,6,,7
07/07/2010 00:00,,,,,0.01,0.21,0.47,0.013,,0.006,,,,5.8,,
27/07/2010 00:00,,13.4,1,11.1,0.01,0.12,0.35,0.013,,0.005,,,,3.8,,13
27/07/2010 00:00,,,,,0.01,0.12,0.34,0.013,,0.005,,,,3.5,,
19/08/2010 00:00,,15.7,2,12.7,0.01,0.13,0.36,0.014,,0.005,,,,6.7,,4
19/08/2010 00:00,,,,,0.005,0.13,0.37,0.014,,0.004,,,,6.5,,
08/09/2010 00:00,,16.7,1,10.3,0.01,0.11,0.33,0.012,,0.004,,,,4,,14
08/09/2010 00:00,,,,,0.01,0.11,0.32,0.012,,0.004,,,,5,,20
29/09/2010 00:00,,19.6,1,10.6,0.005,0.02,0.27,0.015,,0.005,,,,4,,5
29/09/2010 00:00,,,,,0.005,0.02,0.27,0.015,,0.005,,,,4,,20
19/10/2010 00:00,,19.4,1,10.2,0.01,0.04,0.28,0.015,,0.007,,,,5.2,,11
19/10/2010 00:00,,,,,0.005,0.04,0.29,0.014,,0.006,,,,4.5,,8
09/11/2010 00:00,,21.2,1,10.2,0.005,0.02,0.28,0.016,,0.007,,,,4.6,,24
09/11/2010 00:00,,,,,0.01,0.02,0.29,0.017,,0.007,,,,4.2,,30
29/11/2010 00:00,,24.4,,8.1,0.01,0.02,0.28,0.015,,0.011,,,,2.4,,60
29/11/2010 00:00,,,,,0.01,0.01,0.28,0.013,,0.009,,,,2,,77
21/12/2010 00:00,,22.8,,8.6,0.02,0.16,0.57,0.037,,0.021,,,,5.2,,15
21/12/2010 00:00,,,,,0.02,0.16,0.56,0.034,,0.021,,,,4,,28
10/01/2011 00:00,,25.8,,6.3,0.02,0.07,0.38,0.022,,0.012,,,,2.9,,130
10/01/2011 00:00,,,,,0.02,0.07,0.39,0.022,,0.013,,,,2.9,,110
31/01/2011 00:00,,28.8,,7.4,0.02,0.02,0.29,0.019,,0.009,,,,5.6,,140
31/01/2011 00:00,,,,,0.03,0.02,0.35,0.033,,0.024,,,,5.4,,100
21/02/2011 00:00,,26.9,,8,0.01,0.01,0.3,0.023,,0.008,,,,8.1,,120
21/02/2011 00:00,,,,,0.02,0.01,0.29,0.022,,0.007,,,,9.9,,100
14/03/2011 00:00,,25.1,,7,0.02,0.07,0.38,0.025,,0.008,,,,10,,72
14/03/2011 00:00,,,,,0.02,0.07,0.38,0.026,,0.008,,,,9.9,,67
04/04/2011 00:00,,22,,7.2,0.02,0.43,0.87,0.03,,0.014,,,,9.5,,88
04/04/2011 00:00,,,,,0.02,0.44,0.83,0.028,,0.014,,,,5.3,,54
29/04/2011 00:00,,18.8,,8.6,0.02,0.32,0.67,0.02,,0.011,,,,4.9,,17
29/04/2011 00:00,,,,,0.02,0.32,0.69,0.02,,0.011,,,,6,,16
16/05/2011 00:00,,14,,9.6,0.01,0.18,0.41,0.014,,0.006,,,,2.6,,7
16/05/2011 00:00,,,,,0.01,0.18,0.39,0.015,,0.006,,,,2.6,,9
09/06/2011 00:00,,12.5,,11.1,0.01,0.22,0.42,0.012,,0.004,,,,4.7,,20
09/06/2011 00:00,,,,,0.01,0.22,0.42,0.011,,0.004,,,,4.4,,14
28/06/2011 00:00,,12.7,,11.6,0.01,0.18,0.36,0.012,,0.004,,,,5.1,,5
28/06/2011 00:00,,,,,0.01,0.18,0.36,0.012,,0.004,,,,4.7,,5
19/07/2011 00:00,,11.9,,11.9,0.005,0.13,0.34,0.017,,0.005,,,,9.2,,4
19/07/2011 00:00,,,,,0.005,0.13,0.32,0.013,,0.005,,,,6.6,,4
09/08/2011 00:00,,13.3,,10.1,0.01,0.19,0.49,0.023,,0.009,,,,9.9,,15
09/08/2011 00:00,,,,,0.01,0.19,0.5,0.023,,0.008,,,,10.1,,13
30/08/2011 00:00,,16.4,,10.4,0.01,0.12,0.37,0.018,,0.005,,,,10.7,,13
30/08/2011 00:00,,,,,0.01,0.12,0.37,0.018,,0.005,,,,10.5,,9
20/09/2011 00:00,,21,,9.8,0.03,0.01,0.29,0.02,,0.005,,,,5.4,,31
20/09/2011 00:00,,,,,0.03,0.01,0.29,0.019,,0.005,,,,5.6,,23
11/10/2011 00:00,,19.4,,9.3,0.01,0.12,0.36,0.019,,0.005,,,,9.1,,32
11/10/2011 00:00,,,,,0.01,0.12,0.38,0.02,,0.005,,,,8.8,,35
01/11/2011 00:00,,22.4,,8.7,0.01,0.05,0.36,0.018,,0.005,,,,6.3,,26
01/11/2011 00:00,,,,,0.01,0.05,0.35,0.017,,0.005,3.7,,3.3,8.6,,32
22/11/2011 00:00,,24.4,,7.4,0.02,0.01,0.3,0.017,,0.007,,,,4.6,,41
22/11/2011 00:00,,,,,0.02,0.01,0.27,0.017,,0.007,,,,4.5,,43
22/11/2011 00:00,,,,,,,,,,,3.5,,3.4,,,
13/12/2011 00:00,,21.3,,7.1,0.03,0.21,0.57,0.031,,0.011,,,,4.6,,120
13/12/2011 00:00,,,,,0.03,0.21,0.58,0.03,,0.011,,,,5.3,,130
13/12/2011 00:00,,,,,,,,,,,5.2,,5,,,
03/01/2012 00:00,,27.9,,8.5,0.02,0.01,0.31,0.017,,0.007,,,,4.9,,59
03/01/2012 00:00,,,,,0.01,0.01,0.31,0.016,,0.007,,,,3.7,,46
03/01/2012 00:00,,,,,,,,,,,5.1,,4.7,,,
23/01/2012 00:00,,24.6,,7.1,0.02,0.01,0.32,0.023,,0.008,,,,9.1,,59
23/01/2012 00:00,,,,,0.02,0.01,0.32,0.022,,0.008,,,,10,,58
23/01/2012 00:00,,,,,,,,,,,4.6,,4.3,,,
14/02/2012 00:00,,21.9,,8.6,0.03,0.22,0.69,0.055,,0.02,,,,6.1,,150
14/02/2012 00:00,,,,,0.03,0.22,0.65,0.053,,0.019,,,,5.5,,210
14/02/2012 00:00,,,,,,,,,,,7.5,,7.2,,,
06/03/2012 00:00,,21.1,,9.4,0.04,0.11,0.51,0.046,,0.014,,,,2.7,,120
06/03/2012 00:00,,,,,0.04,0.11,0.52,0.044,,0.014,,,,4.2,,80
06/03/2012 00:00,,,,,,,,,,,25.5,,23.7,,,
27/03/2012 00:00,,21.4,,7.8,0.01,0.14,0.57,0.031,,0.01,,,,9.6,,18
27/03/2012 00:00,,,,,0.01,0.14,0.56,0.03,,0.009,,,,9.7,,18
27/03/2012 00:00,,,,,,,,,,,7.8,,7,,,
17/04/2012 00:00,,20.5,,8.8,0.01,0.07,0.51,0.029,,0.007,,,,21.6,,16
17/04/2012 00:00,,,,,0.01,0.07,0.5,0.031,,0.007,,,,22.9,,13
17/04/2012 00:00,,,,,,,,,,,5.8,,4.7,,,
11/05/2012 00:00,,18.5,,9.3,0.02,0.18,0.59,0.026,,0.009,,,,3.9,,49
11/05/2012 00:00,,,,,0.02,0.18,0.59,0.03,,0.01,,,,4.2,,31
01/06/2012 00:00,,14.9,,10.1,0.03,0.18,0.65,0.027,,0.009,,,,14.3,,23
01/06/2012 00:00,,,,,0.03,0.18,0.66,0.027,,0.009,,,,14.6,,34
20/06/2012 00:00,,12.2,,10.5,0.03,0.27,0.55,0.031,,0.011,,,,4.5,,110
20/06/2012 00:00,,,,,0.03,0.26,0.55,0.032,,0.011,,,,4.2,,92
13/07/2012 00:00,,12.7,,10.3,0.01,0.24,0.56,0.025,,0.008,,,,12.5,,10
13/07/2012 00:00,,,,,0.01,0.24,0.59,0.028,,0.008,,,,14.8,,28
31/07/2012 00:00,,13.1,,10.9,0.01,0.21,0.58,0.02,,0.006,,,,4.6,,9
31/07/2012 00:00,,,,,0.01,0.21,0.58,0.02,,0.006,,,,4.7,,9
21/08/2012 00:00,,14.7,,11.5,0.005,0.1,0.49,0.023,,0.006,,,,14,,7
21/08/2012 00:00,,,,,0.005,0.1,0.46,0.021,,0.006,,,,14.1,,11
11/09/2012 00:00,,17.4,,11.8,0.005,0.1,0.42,0.024,,0.005,,,,19.3,,16
11/09/2012 00:00,,,,,0.005,0.1,0.43,0.025,,0.004,,,,20.4,,19
02/10/2012 00:00,,21.9,,9.6,0.01,0.01,0.35,0.026,,0.005,,,,15.3,,240
02/10/2012 00:00,,,,,0.01,0.005,0.35,0.026,,0.005,,,,15.4,,290
23/10/2012 00:00,,20.8,,8.5,0.03,0.05,0.42,0.024,,0.007,,,,11.5,,130
23/10/2012 00:00,,,,,0.03,0.05,0.41,0.024,,0.007,,,,11.2,,130
13/11/2012 00:00,,25,,8.1,0.03,0.07,0.42,0.071,,0.009,,,,8,,160
13/11/2012 00:00,,,,,0.03,0.05,0.38,0.025,,0.007,,,,7.7,,150
04/12/2012 00:00,,26.1,,7.7,0.04,0.04,0.41,0.023,,0.009,,,,9.3,,81
04/12/2012 00:00,,,,,0.04,0.03,0.39,0.022,,0.008,,,,12.4,,63
19/12/2012 00:00,,25.6,,7.4,0.03,0.01,0.37,0.027,,0.01,,,,8.9,,210
19/12/2012 00:00,,,,,0.03,0.01,0.38,0.028,,0.01,,,,6.4,,380
15/01/2013 00:00,,26.3,,6.9,0.03,0.01,0.37,0.032,,0.014,,,,13.8,,350
15/01/2013 00:00,,,,,0.03,0.01,0.38,0.032,,0.013,,,,14.1,,140
08/02/2013 00:00,,25.1,,7.8,0.02,0.57,1.26,0.046,,0.015,,,,26.9,,27
08/02/2013 00:00,,,,,0.02,0.57,1.22,0.044,,0.015,,,,27.6,,29
01/03/2013 00:00,,20.4,,8.6,0.01,0.21,0.83,0.058,,0.015,,,,3.2,,470
01/03/2013 00:00,,,,,0.01,0.21,0.82,0.05,,0.015,,,,3.1,,370
20/03/2013 00:00,,23.2,,7.8,0.01,0.17,0.56,0.021,,0.007,,,,6.6,,26
20/03/2013 00:00,,,,,0.01,0.17,0.55,0.022,,0.006,,,,5.9,,29
09/04/2013 00:00,,22.6,,8.2,0.02,0.09,0.47,0.032,,0.007,,,,8.9,,54
09/04/2013 00:00,,,,,0.02,0.09,0.47,0.026,,0.007,,,,8.8,,58
30/04/2013 00:00,,21.7,,8.7,0.01,0.19,0.47,0.021,,0.006,,,,7.2,,42
30/04/2013 00:00,,,,,0.01,0.19,0.49,0.02,,0.006,,,,6.9,,37
21/05/2013 00:00,,16.8,,9.8,0.02,0.25,0.53,0.022,,0.005,,,,5.1,,29
21/05/2013 00:00,,,,,0.02,0.24,0.53,0.02,,0.005,,,,5.3,,17
13/06/2013 00:00,,15.1,,10.2,0.01,0.38,0.62,0.019,,0.005,,,,7,,40
13/06/2013 00:00,,,,,0.01,0.37,0.6,0.017,,0.005,,,,8.8,,51
10/07/2013 00:00,,13.4,,11,0.01,0.24,0.55,0.016,,0.007,,,,2.7,,16
10/07/2013 00:00,,,,,0.01,0.24,0.56,0.017,,0.007,,,,2.1,,12
23/07/2013 00:00,,12.6,,10.8,0.005,0.23,0.52,0.013,,0.006,,,,3.5,,25
23/07/2013 00:00,,,,,0.005,0.23,0.53,0.014,,0.005,,,,3.6,,24
14/08/2013 00:00,,15.6,,10.9,0.01,0.19,0.57,0.021,,0.006,,,,9.8,,25
14/08/2013 00:00,,,,,0.01,0.19,0.55,0.019,,0.007,,,,7.4,,21
