Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3, BGA _ugL,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL
02/01/2018 05:00:00,0.24,27.64,,7.52,,,,,,,,,,8.57,0,,
02/01/2018 05:30:00,0.24,27.6,,7.49,,,,,,,,,,9.73,0,,
02/01/2018 06:00:00,0.24,27.54,,7.49,,,,,,,,,,10.24,0,,
02/01/2018 06:30:00,0.24,27.56,,7.48,,,,,,,,,,8.02,0,,
02/01/2018 07:00:00,0.24,27.56,,7.48,,,,,,,,,,7.7,0,,
02/01/2018 07:30:00,0.24,27.62,,7.44,,,,,,,,,,8.25,0,,
02/01/2018 08:00:00,0.24,27.7,,7.51,,,,,,,,,,6.37,0,,
02/01/2018 08:30:00,0.24,27.78,,7.49,,,,,,,,,,8.5,0,,
02/01/2018 09:00:00,0.24,27.87,,7.53,,,,,,,,,,8.11,0,,
02/01/2018 09:30:00,0.25,27.98,,7.53,,,,,,,,,,7.62,0,,
02/01/2018 10:00:00,0.25,28.09,,7.55,,,,,,,,,,6.79,0,,
02/01/2018 10:30:00,0.25,28.18,,7.58,,,,,,,,,,6.56,0,,
02/01/2018 11:00:00,0.26,28.28,,7.59,,,,,,,,,,8.01,0,,
02/01/2018 11:30:00,0.26,28.36,,7.65,,,,,,,,,,6.45,0,,
02/01/2018 12:00:00,0.27,28.38,,7.64,,,,,,,,,,8.82,0,,
02/01/2018 12:30:00,0.27,28.43,,7.68,,,,,,,,,,6.57,0,,
02/01/2018 13:00:00,0.28,28.5,,7.75,,,,,,,,,,9.41,0,,
02/01/2018 13:30:00,0.28,28.63,,7.81,,,,,,,,,,5.89,0,,
02/01/2018 14:00:00,0.27,28.59,,7.99,,,,,,,,,,7.46,0,,
02/01/2018 14:30:00,0.27,28.58,,8,,,,,,,,,,7.72,0,,
02/01/2018 15:00:00,0.27,28.77,,8.03,,,,,,,,,,7.07,0,,
02/01/2018 15:30:00,0.26,28.78,,8.1,,,,,,,,,,7.59,0,,
02/01/2018 16:00:00,0.26,28.59,,7.95,,,,,,,,,,8.42,0,,
02/01/2018 16:30:00,0.25,28.43,,7.88,,,,,,,,,,10.12,0,,
02/01/2018 17:00:00,0.25,28.3,,7.86,,,,,,,,,,9.96,0,,
02/01/2018 17:30:00,0.25,28.23,,7.87,,,,,,,,,,10.46,0,,
02/01/2018 18:00:00,0.25,28.17,,7.89,,,,,,,,,,8.93,0,,
02/01/2018 18:30:00,0.24,28.16,,7.92,,,,,,,,,,9.22,0,,
02/01/2018 19:00:00,0.24,28.14,,7.9,,,,,,,,,,9.06,0,,
02/01/2018 19:30:00,0.24,28.08,,7.86,,,,,,,,,,10.26,0,,
02/01/2018 20:00:00,0.24,28.02,,7.8,,,,,,,,,,9.41,0,,
02/01/2018 20:30:00,0.24,27.96,,7.77,,,,,,,,,,6.86,0,,
02/01/2018 21:00:00,0.24,28.01,,7.75,,,,,,,,,,9.21,0,,
02/01/2018 21:30:00,0.24,28.01,,7.74,,,,,,,,,,7.71,0,,
02/01/2018 22:00:00,0.24,28.06,,7.72,,,,,,,,,,8.36,0,,
02/01/2018 22:30:00,0.25,28.02,,7.69,,,,,,,,,,9.65,0,,
02/01/2018 23:00:00,0.25,28.01,,7.63,,,,,,,,,,9.39,0,,
02/01/2018 23:30:00,0.25,28.03,,7.59,,,,,,,,,,8.75,0,,
03/01/2018 00:00:00,0.25,27.97,,7.57,,,,,,,,,,8.51,0,,
03/01/2018 00:30:00,0.26,28.03,,7.55,,,,,,,,,,9.86,0,,
03/01/2018 01:00:00,0.26,28.06,,7.53,,,,,,,,,,9.39,0,,
03/01/2018 01:30:00,0.26,28.02,,7.52,,,,,,,,,,7.09,0,,
03/01/2018 02:00:00,0.26,28.01,,7.5,,,,,,,,,,8.47,0,,
03/01/2018 02:30:00,0.26,27.97,,7.47,,,,,,,,,,7.62,0,,
03/01/2018 03:00:00,0.25,27.87,,7.45,,,,,,,,,,9.04,0,,
03/01/2018 03:30:00,0.25,27.81,,7.42,,,,,,,,,,9.29,0,,
03/01/2018 04:00:00,0.25,27.8,,7.38,,,,,,,,,,6.95,0,,
03/01/2018 04:30:00,0.25,27.77,,7.38,,,,,,,,,,7.44,0,,
03/01/2018 05:00:00,0.24,27.74,,7.36,,,,,,,,,,8.72,0,,
03/01/2018 05:30:00,0.24,27.71,,7.36,,,,,,,,,,8.9,0,,
03/01/2018 06:00:00,0.24,27.66,,7.34,,,,,,,,,,9.33,0,,
03/01/2018 06:30:00,0.24,27.66,,7.35,,,,,,,,,,8.67,0,,
03/01/2018 07:00:00,0.24,27.66,,7.36,,,,,,,,,,8.17,0,,
03/01/2018 07:30:00,0.24,27.65,,7.42,,,,,,,,,,6.95,0,,
03/01/2018 08:00:00,0.24,27.64,,7.43,,,,,,,,,,7.43,0,,
03/01/2018 08:30:00,0.24,27.69,,7.34,,,,,,,,,,12.48,0,,
03/01/2018 09:00:00,0.24,27.71,,7.38,,,,,,,,,,7.37,0,,
03/01/2018 09:30:00,0.24,27.74,,7.38,,,,,,,,,,7.81,0,,
03/01/2018 10:00:00,0.25,27.77,,7.42,,,,,,,,,,7.35,0,,
03/01/2018 10:30:00,0.25,27.82,,7.4,,,,,,,,,,8.35,0,,
03/01/2018 11:00:00,0.25,27.93,,7.43,,,,,,,,,,8.05,0,,
03/01/2018 11:30:00,0.25,27.98,,7.44,,,,,,,,,,7.47,0,,
03/01/2018 12:00:00,0.26,28.03,,7.46,,,,,,,,,,7.31,0,,
03/01/2018 12:30:00,0.27,28.11,,7.5,,,,,,,,,,6.67,0,,
03/01/2018 13:00:00,0.27,28.13,,7.48,,,,,,,,,,7.18,0,,
03/01/2018 13:30:00,0.28,28.16,,7.52,,,,,,,,,,6.89,0,,
03/01/2018 14:00:00,0.28,28.17,,7.58,,,,,,,,,,6.93,0,,
03/01/2018 14:30:00,0.28,28.2,,7.7,,,,,,,,,,6.19,0,,
03/01/2018 15:00:00,0.28,28.16,,7.7,,,,,,,,,,7.39,0,,
03/01/2018 15:30:00,0.27,28.15,,7.78,,,,,,,,,,9.28,0,,
03/01/2018 16:00:00,0.27,28.1,,7.79,,,,,,,,,,7.72,0,,
03/01/2018 16:30:00,0.26,28.04,,7.73,,,,,,,,,,9.63,0,,
03/01/2018 17:00:00,0.26,27.95,,7.65,,,,,,,,,,8.01,0,,
03/01/2018 17:30:00,0.25,27.88,,7.6,,,,,,,,,,9.1,0,,
03/01/2018 18:00:00,0.25,27.79,,7.65,,,,,,,,,,9.48,0,,
03/01/2018 18:30:00,0.25,27.74,,7.63,,,,,,,,,,10.38,0,,
03/01/2018 19:00:00,0.25,27.65,,7.66,,,,,,,,,,9.91,0,,
03/01/2018 19:30:00,0.24,27.62,,7.65,,,,,,,,,,9.56,0,,
03/01/2018 20:00:00,0.24,27.57,,7.6,,,,,,,,,,10.59,0,,
03/01/2018 20:30:00,0.24,27.55,,7.58,,,,,,,,,,10.57,0,,
03/01/2018 21:00:00,0.24,27.5,,7.56,,,,,,,,,,8.55,0,,
03/01/2018 21:30:00,0.24,27.49,,7.54,,,,,,,,,,11.49,0,,
03/01/2018 22:00:00,0.24,27.48,,7.5,,,,,,,,,,10.52,0,,
03/01/2018 22:30:00,0.24,27.48,,7.49,,,,,,,,,,9.27,0,,
03/01/2018 23:00:00,0.24,27.5,,7.46,,,,,,,,,,8.84,0,,
03/01/2018 23:30:00,0.25,27.48,,7.44,,,,,,,,,,9.51,0,,
04/01/2018 00:00:00,0.25,27.49,,7.4,,,,,,,,,,10.15,0,,
04/01/2018 00:30:00,0.25,27.51,,7.36,,,,,,,,,,9.57,0,,
04/01/2018 01:00:00,0.25,27.55,,7.33,,,,,,,,,,7.8,0,,
04/01/2018 01:30:00,0.25,27.57,,7.3,,,,,,,,,,9.98,0,,
04/01/2018 02:00:00,0.26,27.56,,7.29,,,,,,,,,,8,0,,
04/01/2018 02:30:00,0.26,27.57,,7.26,,,,,,,,,,7.71,0,,
04/01/2018 03:00:00,0.26,27.5,,7.26,,,,,,,,,,11.54,0,,
04/01/2018 03:30:00,0.25,27.44,,7.25,,,,,,,,,,7.76,0,,
04/01/2018 04:00:00,0.25,27.33,,7.25,,,,,,,,,,9.63,0,,
04/01/2018 04:30:00,0.25,27.27,,7.24,,,,,,,,,,7.86,0,,
04/01/2018 05:00:00,0.25,27.26,,7.22,,,,,,,,,,7.87,0,,
04/01/2018 05:30:00,0.25,27.22,,7.23,,,,,,,,,,9.54,0,,
04/01/2018 06:00:00,0.24,27.21,,7.22,,,,,,,,,,8.97,0,,
04/01/2018 06:30:00,0.24,27.19,,7.22,,,,,,,,,,7.86,0,,
04/01/2018 07:00:00,0.24,27.14,,7.21,,,,,,,,,,7.49,0,,
04/01/2018 07:30:00,0.24,27.12,,7.22,,,,,,,,,,8.02,0,,
04/01/2018 08:00:00,0.24,27.11,,7.24,,,,,,,,,,8.2,0,,
04/01/2018 08:30:00,0.24,27.14,,7.28,,,,,,,,,,8.6,0,,
04/01/2018 09:00:00,0.24,27.13,,7.27,,,,,,,,,,8.08,0,,
04/01/2018 09:30:00,0.24,27.15,,7.21,,,,,,,,,,7.69,0,,
04/01/2018 10:00:00,0.24,27.22,,7.21,,,,,,,,,,7.09,0,,
04/01/2018 10:30:00,0.24,27.28,,7.31,,,,,,,,,,6.8,0,,
04/01/2018 11:00:00,0.24,27.35,,7.34,,,,,,,,,,7.9,0,,
04/01/2018 11:30:00,0.25,27.47,,7.36,,,,,,,,,,6.95,0,,
04/01/2018 12:00:00,0.25,27.54,,7.34,,,,,,,,,,10.28,0,,
04/01/2018 12:30:00,0.25,27.63,,7.36,,,,,,,,,,7.8,0,,
04/01/2018 13:00:00,0.26,27.69,,7.38,,,,,,,,,,7.81,0,,
04/01/2018 13:30:00,0.26,27.75,,7.41,,,,,,,,,,8.3,0,,
04/01/2018 14:00:00,0.27,27.78,,7.42,,,,,,,,,,9.67,0,,
04/01/2018 14:30:00,0.27,27.79,,7.44,,,,,,,,,,7.35,0,,
04/01/2018 15:00:00,0.27,27.84,,7.48,,,,,,,,,,6.77,0,,
04/01/2018 15:30:00,0.27,27.92,,7.69,,,,,,,,,,6.47,0,,
04/01/2018 16:00:00,0.27,27.98,,7.73,,,,,,,,,,7.59,0,,
04/01/2018 16:30:00,0.26,28,,7.83,,,,,,,,,,7.8,0,,
04/01/2018 17:00:00,0.26,27.96,,7.88,,,,,,,,,,7.91,0,,
04/01/2018 17:30:00,0.25,27.87,,7.76,,,,,,,,,,8.68,0,,
04/01/2018 18:00:00,0.25,27.78,,7.79,,,,,,,,,,23.02,0,,
04/01/2018 18:30:00,0.25,27.65,,7.75,,,,,,,,,,8.9,0,,
04/01/2018 19:00:00,0.25,27.57,,7.79,,,,,,,,,,10.3,0,,
04/01/2018 19:30:00,0.25,27.5,,7.76,,,,,,,,,,10.19,0,,
04/01/2018 20:00:00,0.24,27.45,,7.78,,,,,,,,,,9,0,,
04/01/2018 20:30:00,0.24,27.41,,7.76,,,,,,,,,,11.42,0,,
04/01/2018 21:00:00,0.24,27.32,,7.72,,,,,,,,,,11.65,0,,
04/01/2018 21:30:00,0.24,27.29,,7.69,,,,,,,,,,11.34,0,,
04/01/2018 22:00:00,0.24,27.25,,7.67,,,,,,,,,,10.4,0,,
04/01/2018 22:30:00,0.24,27.17,,7.65,,,,,,,,,,9.79,0,,
04/01/2018 23:00:00,0.24,27.2,,7.63,,,,,,,,,,8.68,0,,
04/01/2018 23:30:00,0.24,27.2,,7.62,,,,,,,,,,9.4,0,,
05/01/2018 00:00:00,0.24,27.21,,7.59,,,,,,,,,,12.69,0,,
05/01/2018 00:30:00,0.24,27.17,,7.56,,,,,,,,,,10.06,0,,
05/01/2018 01:00:00,0.25,27.14,,7.51,,,,,,,,,,9.22,0,,
05/01/2018 01:30:00,0.25,27.15,,7.48,,,,,,,,,,9.24,0,,
05/01/2018 02:00:00,0.25,27.12,,7.45,,,,,,,,,,14.85,0,,
05/01/2018 02:30:00,0.25,27.11,,7.42,,,,,,,,,,8.71,0,,
05/01/2018 03:00:00,0.25,27.16,,7.39,,,,,,,,,,8.92,0,,
05/01/2018 03:30:00,0.25,27.15,,7.37,,,,,,,,,,9.55,0,,
05/01/2018 04:00:00,0.25,27.04,,7.36,,,,,,,,,,7.82,0,,
05/01/2018 04:30:00,0.25,26.94,,7.36,,,,,,,,,,9.87,0,,
05/01/2018 05:00:00,0.25,26.89,,7.35,,,,,,,,,,10.18,0,,
05/01/2018 05:30:00,0.25,26.85,,7.34,,,,,,,,,,8.58,0,,
05/01/2018 06:00:00,0.24,26.83,,7.36,,,,,,,,,,9.33,0,,
05/01/2018 06:30:00,0.24,26.82,,7.37,,,,,,,,,,8.31,0,,
05/01/2018 07:00:00,0.24,26.87,,7.39,,,,,,,,,,8.51,0,,
05/01/2018 07:30:00,0.24,26.9,,7.44,,,,,,,,,,7.12,0,,
05/01/2018 08:00:00,0.24,27.01,,7.5,,,,,,,,,,10.95,0,,
05/01/2018 08:30:00,0.24,27.12,,7.6,,,,,,,,,,7.6,0,,
05/01/2018 09:00:00,0.24,27.21,,7.7,,,,,,,,,,7.11,0,,
05/01/2018 09:30:00,0.24,27.38,,7.83,,,,,,,,,,6.8,0,,
05/01/2018 10:00:00,0.24,27.37,,7.7,,,,,,,,,,6.42,0,,
05/01/2018 10:30:00,0.24,27.49,,7.88,,,,,,,,,,7.17,0,,
05/01/2018 11:00:00,0.24,27.45,,7.71,,,,,,,,,,6.09,0,,
05/01/2018 11:30:00,0.24,27.54,,7.84,,,,,,,,,,7.15,0,,
05/01/2018 12:00:00,0.24,27.56,,7.8,,,,,,,,,,9.16,0,,
05/01/2018 12:30:00,0.25,27.63,,7.82,,,,,,,,,,7.72,0,,
05/01/2018 13:00:00,0.25,27.77,,7.8,,,,,,,,,,7.53,0,,
05/01/2018 13:30:00,0.25,27.81,,7.79,,,,,,,,,,8.18,0,,
05/01/2018 14:00:00,0.26,27.91,,7.85,,,,,,,,,,8.49,0,,
05/01/2018 14:30:00,0.26,28.08,,7.94,,,,,,,,,,7.92,0,,
05/01/2018 15:00:00,0.26,28.08,,7.88,,,,,,,,,,12.7,0,,
05/01/2018 15:30:00,0.27,28.17,,7.91,,,,,,,,,,7.51,0,,
05/01/2018 16:00:00,0.27,28.22,,7.96,,,,,,,,,,7.26,0,,
05/01/2018 16:30:00,0.27,28.39,,8.19,,,,,,,,,,6.17,0,,
05/01/2018 17:00:00,0.26,28.26,,8.17,,,,,,,,,,8.9,0,,
05/01/2018 17:30:00,0.26,28.24,,8.24,,,,,,,,,,8.55,0,,
05/01/2018 18:00:00,0.25,28.18,,8.23,,,,,,,,,,9.02,0,,
05/01/2018 18:30:00,0.25,27.86,,8.11,,,,,,,,,,15.42,0,,
05/01/2018 19:00:00,0.25,27.76,,8.08,,,,,,,,,,10.94,0,,
05/01/2018 19:30:00,0.25,27.66,,8.06,,,,,,,,,,13.05,0,,
05/01/2018 20:00:00,0.25,27.63,,8.09,,,,,,,,,,11.36,0,,
05/01/2018 20:30:00,0.24,27.57,,8.07,,,,,,,,,,8.56,0,,
05/01/2018 21:00:00,0.24,27.54,,8.1,,,,,,,,,,8.42,0,,
05/01/2018 21:30:00,0.24,27.52,,8.1,,,,,,,,,,11.42,0,,
05/01/2018 22:00:00,0.24,27.5,,8.07,,,,,,,,,,10.9,0,,
05/01/2018 22:30:00,0.24,27.44,,8.04,,,,,,,,,,8.68,0,,
05/01/2018 23:00:00,0.24,27.43,,8.03,,,,,,,,,,11.26,0,,
05/01/2018 23:30:00,0.24,27.44,,7.99,,,,,,,,,,9.24,0,,
06/01/2018 00:00:00,0.24,27.4,,7.95,,,,,,,,,,8.78,0,,
06/01/2018 00:30:00,0.24,27.38,,7.93,,,,,,,,,,10.71,0,,
06/01/2018 01:00:00,0.24,27.37,,7.89,,,,,,,,,,10.14,0,,
06/01/2018 01:30:00,0.24,27.28,,7.83,,,,,,,,,,8.92,0,,
06/01/2018 02:00:00,0.24,27.29,,7.78,,,,,,,,,,9.71,0,,
06/01/2018 02:30:00,0.25,27.29,,7.74,,,,,,,,,,11.49,0,,
06/01/2018 03:00:00,0.25,27.25,,7.7,,,,,,,,,,9.67,0,,
06/01/2018 03:30:00,0.25,27.27,,7.69,,,,,,,,,,9.18,0,,
06/01/2018 04:00:00,0.25,27.26,,7.67,,,,,,,,,,8.01,0,,
06/01/2018 04:30:00,0.25,27.24,,7.66,,,,,,,,,,8.36,0,,
06/01/2018 05:00:00,0.25,27.16,,7.63,,,,,,,,,,8.88,0,,
06/01/2018 05:30:00,0.25,27.12,,7.62,,,,,,,,,,9.36,0,,
06/01/2018 06:00:00,0.25,27.04,,7.64,,,,,,,,,,9.49,0,,
06/01/2018 06:30:00,0.24,27.03,,7.63,,,,,,,,,,7.93,0,,
06/01/2018 07:00:00,0.24,27.1,,7.66,,,,,,,,,,9.41,0,,
06/01/2018 07:30:00,0.24,27.17,,7.74,,,,,,,,,,7.86,0,,
06/01/2018 08:00:00,0.24,27.31,,7.8,,,,,,,,,,11.12,0,,
06/01/2018 08:30:00,0.24,27.43,,7.89,,,,,,,,,,7.69,0,,
06/01/2018 09:00:00,0.24,27.53,,7.93,,,,,,,,,,7.73,0,,
06/01/2018 09:30:00,0.24,27.64,,7.99,,,,,,,,,,9.14,0,,
06/01/2018 10:00:00,0.24,27.8,,8.07,,,,,,,,,,8.28,0,,
06/01/2018 10:30:00,0.24,28,,8.22,,,,,,,,,,7.45,0,,
06/01/2018 11:00:00,0.24,28.29,,8.22,,,,,,,,,,5.53,0,,
06/01/2018 11:30:00,0.24,28.21,,8.24,,,,,,,,,,7.07,0,,
06/01/2018 12:00:00,0.24,28.01,,8.04,,,,,,,,,,9.16,0,,
06/01/2018 12:30:00,0.24,28.28,,8.14,,,,,,,,,,7.28,0,,
06/01/2018 13:00:00,0.24,28.22,,8.09,,,,,,,,,,8.48,0,,
06/01/2018 13:30:00,0.24,28.27,,8.08,,,,,,,,,,8.28,0,,
06/01/2018 14:00:00,0.25,28.33,,8.03,,,,,,,,,,9.59,0,,
06/01/2018 14:30:00,0.25,28.43,,8.03,,,,,,,,,,8.28,0,,
06/01/2018 15:00:00,0.25,28.53,,8.09,,,,,,,,,,8.25,0,,
06/01/2018 15:30:00,0.26,28.62,,8.14,,,,,,,,,,9.27,0,,
06/01/2018 16:00:00,0.26,28.7,,8.12,,,,,,,,,,8.93,0,,
06/01/2018 16:30:00,0.26,28.66,,8.12,,,,,,,,,,9.06,0,,
06/01/2018 17:00:00,0.26,28.73,,8.24,,,,,,,,,,6.76,0,,
06/01/2018 17:30:00,0.26,28.66,,8.28,,,,,,,,,,9.15,0,,
06/01/2018 18:00:00,0.26,28.62,,8.32,,,,,,,,,,9.73,0,,
10/01/2018 11:00:00,0,0,,0,,,,,,,,,,0,0,,
10/01/2018 11:30:00,0,0,,0,,,,,,,,,,0,0,,
10/01/2018 12:00:00,0.24,27.94,,7.44,,,,,,,,,,8.26,0,,
10/01/2018 12:30:00,0.24,28.02,,7.48,,,,,,,,,,7.12,0,,
10/01/2018 13:00:00,0.24,28.06,,7.52,,,,,,,,,,8.83,0,,
10/01/2018 13:30:00,0.23,28.06,,7.53,,,,,,,,,,10.27,0,,
10/01/2018 14:00:00,0.23,28.07,,7.56,,,,,,,,,,8.58,0,,
10/01/2018 14:30:00,0.23,28.05,,7.62,,,,,,,,,,8.12,0,,
10/01/2018 15:00:00,0.23,28.11,,7.72,,,,,,,,,,7.28,0,,
10/01/2018 15:30:00,0.23,28.1,,7.53,,,,,,,,,,10.12,0,,
10/01/2018 16:00:00,0.23,28.08,,7.52,,,,,,,,,,7.43,0,,
10/01/2018 16:30:00,0.24,28.06,,7.52,,,,,,,,,,7.94,0,,
10/01/2018 17:00:00,0.24,28.03,,7.58,,,,,,,,,,8.14,0,,
10/01/2018 17:30:00,0.24,27.99,,7.62,,,,,,,,,,10.91,0,,
10/01/2018 18:00:00,0.24,27.93,,7.61,,,,,,,,,,10.19,0,,
10/01/2018 18:30:00,0.24,27.89,,7.57,,,,,,,,,,10.53,0,,
10/01/2018 19:00:00,0.24,27.84,,7.57,,,,,,,,,,11.38,0,,
10/01/2018 19:30:00,0.24,27.82,,7.55,,,,,,,,,,9.73,0,,
10/01/2018 20:00:00,0.24,27.76,,7.54,,,,,,,,,,9.52,0,,
10/01/2018 20:30:00,0.24,27.75,,7.53,,,,,,,,,,7.99,0,,
10/01/2018 21:00:00,0.24,27.73,,7.5,,,,,,,,,,9.99,0,,
10/01/2018 21:30:00,0.24,27.69,,7.48,,,,,,,,,,11.21,0,,
10/01/2018 22:00:00,0.24,27.71,,7.49,,,,,,,,,,10.11,0,,
10/01/2018 22:30:00,0.24,27.68,,7.46,,,,,,,,,,9.66,0,,
10/01/2018 23:00:00,0.24,27.71,,7.42,,,,,,,,,,12.37,0,,
10/01/2018 23:30:00,0.24,27.68,,7.41,,,,,,,,,,8.71,0,,
11/01/2018 00:00:00,0.23,27.7,,7.39,,,,,,,,,,8.89,0,,
11/01/2018 00:30:00,0.23,27.69,,7.39,,,,,,,,,,9.02,0,,
11/01/2018 01:00:00,0.23,27.65,,7.39,,,,,,,,,,9.37,0,,
11/01/2018 01:30:00,0.23,27.61,,7.32,,,,,,,,,,7.38,0,,
11/01/2018 02:00:00,0.23,27.61,,7.28,,,,,,,,,,9.09,0,,
11/01/2018 02:30:00,0.23,27.56,,7.25,,,,,,,,,,9.87,0,,
11/01/2018 03:00:00,0.23,27.57,,7.24,,,,,,,,,,8.49,0,,
11/01/2018 03:30:00,0.23,27.59,,7.22,,,,,,,,,,10.21,0,,
11/01/2018 04:00:00,0.23,27.57,,7.21,,,,,,,,,,9.41,0,,
11/01/2018 04:30:00,0.23,27.55,,7.23,,,,,,,,,,8.98,0,,
11/01/2018 05:00:00,0.23,27.54,,7.21,,,,,,,,,,9.94,0,,
11/01/2018 05:30:00,0.24,27.5,,7.17,,,,,,,,,,11.71,0,,
11/01/2018 06:00:00,0.24,27.49,,7.15,,,,,,,,,,10.35,0,,
11/01/2018 06:30:00,0.24,27.47,,7.14,,,,,,,,,,7.64,0,,
11/01/2018 07:00:00,0.24,27.49,,7.14,,,,,,,,,,7.83,0,,
