Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_checkunit,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
27/05/2009 00:00,,15.9,9,8.8,,,0.66,0.028,2.61,0.008,,,,11.8,,,
23/06/2009 00:00,,12.7,2,11.2,,,0.37,0.008,2.63,0.003,,,,4.1,,,
24/06/2009 00:00,,14.5,16,8.7,,,0.46,0.024,2.65,0.005,,,,5.1,,,
22/07/2009 00:00,,10.4,1,11.7,,,0.46,0.005,1.1,0.005,,,,3.5,,,
23/07/2009 00:00,,13.5,9,10.7,,,0.46,0.017,1.02,0.015,,,,7.5,,,
26/08/2009 00:00,,13.9,2,11.4,,,0.39,0.005,1.01,0.001,,,,3.7,,,10
27/08/2009 00:00,,15.4,5,11.2,,,0.29,0.009,0.99,0.001,,,,10.6,,,1
23/09/2009 00:00,,18.7,1,10.3,,,0.23,0.005,1.08,0.001,,,,3.1,,,17
24/09/2009 00:00,,19.2,18,10,,,0.29,0.01,0.3,0.003,,,,9.6,,,3
28/10/2009 00:00,,19.2,1,9.1,,,0.26,0.005,0.54,0.002,,,,2.3,,,9
29/10/2009 00:00,,20.9,6,5.8,,,0.27,0.014,0.29,0.001,,,,7.6,,,2
25/11/2009 00:00,,24.3,2,8.2,,,0.18,0.005,1.32,0.003,,,,2.3,,,14
26/11/2009 00:00,,26.1,4,8.2,,,0.27,0.005,0.31,0.001,,,,3.1,,,2
21/12/2009 00:00,,24.9,1,8.3,,,0.25,0.007,1.09,0.003,,,,1.9,,,25
22/12/2009 00:00,,26.8,10,7.8,,,0.35,0.006,0.42,0.003,,,,12.4,,,3
27/01/2010 00:00,,27.5,1,8,,,0.17,0.008,1.45,0.001,,,,4.6,,,8
28/01/2010 00:00,,27.7,20,5.8,,,0.28,0.014,0.81,0.004,,,,5.5,,,8
25/02/2010 00:00,,25.1,20,4.8,,,0.45,0.04,5.05,0.01,,,,2.8,,,21
26/02/2010 00:00,,24.4,2,8,,,0.32,0.005,1.61,0.005,,,,5.2,,,6
24/03/2010 00:00,,24.4,23,7.7,,,0.23,0.009,2.54,0.002,,,,5.6,,,1
25/03/2010 00:00,,25.6,14,6.1,,,0.68,0.044,3.23,0.004,,,,8.6,,,10
28/04/2010 00:00,,18,1,7.7,,,0.24,0.005,1.85,0.001,,,,3.9,,,3
29/04/2010 00:00,,21.6,18,7.5,,,0.63,0.021,1.25,0.005,,,,6.5,,,6
26/05/2010 00:00,,14.2,1,9.8,,,0.3,0.006,2.02,0.001,,,,11.1,,,3
27/05/2010 00:00,,17.2,18,7.8,,,0.44,0.024,1.12,0.004,,,,5.9,,,24
23/06/2010 00:00,,11.4,2,11.5,,,0.57,0.005,1.8,0.006,,,,6.1,,,26
24/06/2010 00:00,,14.1,18,9.5,,,0.43,0.019,0.55,0.003,,,,18.4,,,3
28/07/2010 00:00,,11.5,2,11.2,,,0.57,0.011,1.29,0.005,,,,12.3,,,26
29/07/2010 00:00,,13.4,14,9.5,,,0.64,0.018,0.39,0.009,,,,8.4,,,3
25/08/2010 00:00,,13,1,11.5,,,0.44,0.005,0.65,0.001,,,,9.8,,,1
26/08/2010 00:00,,13.8,9,10.1,,,0.49,0.01,1.46,0.003,,,,27.8,,,1
27/09/2010 00:00,,18.3,14,9.3,,,0.41,0.015,0.31,0.001,,,,8.7,,,1
30/09/2010 00:00,,17.1,5,9.7,,,0.37,0.005,0.57,0.002,,,,2,,,6
26/10/2010 00:00,,20.6,1,9.6,,,0.36,0.005,0.66,0.003,,,,2.1,,,7
27/10/2010 00:00,,22.3,11,10.2,,,0.3,0.012,1.02,0.006,,,,32.3,,,14
23/11/2010 00:00,,24.6,6,9.2,,,0.49,0.01,0.96,0.003,,,,4.5,,,22
24/11/2010 00:00,,24.1,22,7.5,,,0.41,0.034,1.64,0.007,,,,21.1,,,11
22/12/2010 00:00,,23.6,5,5.5,,,0.6,0.053,5.28,0.044,,,,5.3,,,7
25/01/2011 00:00,,27.8,2,8.9,,,0.41,0.028,1.44,0.017,,,,5.4,,,14
28/01/2011 00:00,,27.4,17,7.1,,,0.34,0.018,0.74,0.002,,,,28.9,,,31
22/02/2011 00:00,,24.8,2,8.7,,,0.31,0.005,1.82,0.002,,,,8.9,,,25
23/02/2011 00:00,,26.2,12,6,,,0.3,0.012,0.79,0.003,,,,12.8,,,8
22/03/2011 00:00,,23.3,20,8.4,,,0.62,0.051,1.76,0.004,,,,17.3,,,960
23/03/2011 00:00,,26.1,10,7.8,,,0.27,0.015,0.18,0.003,,,,17.2,,,15
27/04/2011 00:00,,20.1,6,7.4,,,0.37,0.009,0.76,0.003,,,,6,,,5
28/04/2011 00:00,,17.2,2,9.4,,,0.43,0.016,2.06,0.002,,,,10.9,,,9
24/05/2011 00:00,,16.3,7,9.8,,,0.21,0.014,0.41,0.001,,,,13.9,,,3
25/05/2011 00:00,,12.9,2,11.1,,,0.47,0.012,2,0.003,,,,8.5,,,27
28/06/2011 00:00,,9.9,4,11.8,,,0.47,0.018,2.23,0.004,,,,6.5,,,8
29/06/2011 00:00,,12.1,16,10,,,0.49,0.027,3.29,0.003,,,,10.8,,,2
26/07/2011 00:00,,10.1,13,12.4,,,0.65,0.052,2.81,0.011,,,,3.5,,,820
27/07/2011 00:00,,12.1,10,12,,,0.42,0.019,1.26,0.001,,,,22.7,,,10
23/08/2011 00:00,,12.9,8,12.1,,,0.39,0.017,1.1,0.002,,,,12.7,,,35
24/08/2011 00:00,,13.7,18,11.4,,,0.56,0.03,1.34,0.001,,,,21.1,,,19
27/09/2011 00:00,,16.2,3,9.3,,,0.44,0.01,0.57,0.002,,,,5.3,,,26
28/09/2011 00:00,,17.9,38,8,,,0.39,0.017,0.36,0.001,,,,17.4,,,8
24/10/2011 00:00,,22.5,2,10.1,,,0.36,0.005,0.85,0.001,,,,3.5,,,5
26/10/2011 00:00,,21.2,11,8.3,,,0.33,0.01,0.57,0.002,,,,19.5,,,1
22/11/2011 00:00,,24.5,3,8,,,0.33,0.01,0.87,0.007,,,,7.7,,,3
24/11/2011 00:00,,23.2,32,6.1,,,0.38,0.014,0.4,0.003,,,,10.3,,,9
13/12/2011 00:00,,21.2,16,8.6,,,0.84,0.047,2.97,0.008,,,,8.1,,,270
14/12/2011 00:00,,21.5,8,6.2,,,0.62,0.029,4.1,0.008,,,,11.1,,,36
24/01/2012 00:00,,25.5,23,7.2,,,0.41,0.042,0.44,0.004,,,,16.2,,,8
25/01/2012 00:00,,23.9,1,7.7,,,0.44,0.016,1.82,0.003,,,,7.1,,,52
21/02/2012 00:00,,23.8,6,5.8,,,0.5,0.049,5.09,0.015,,,,3.7,,,27
22/02/2012 00:00,,22.9,34,8.1,,,0.79,0.097,4.38,0.049,,,,4.9,,,310
28/03/2012 00:00,,21.9,5,6.8,,,0.45,0.041,4.63,0.011,,,,6.9,,,10
29/03/2012 00:00,,21.2,9,8.5,,,0.47,0.033,3.12,0.004,,,,20.5,,,24
17/04/2012 00:00,,21.7,22,7.1,,,0.43,0.036,3.8,0.009,,,,11.8,,,17
25/04/2012 00:00,,19.8,4,10.5,,,0.52,0.02,2.56,0.004,,,,2.9,,,8
22/05/2012 00:00,,17.2,13,9.6,,,0.49,0.026,1.94,0.003,,,,19.8,,,7
23/05/2012 00:00,,12.8,7,10.2,,,0.63,0.026,3.6,0.004,,,,9.9,,,17
19/06/2012 00:00,,11.4,11,11.1,,,0.54,0.034,3.12,0.006,,,,2.1,,,56
20/06/2012 00:00,,13.7,12,10.6,,,0.85,0.032,1.68,0.003,,,,43.4,,,4
24/07/2012 00:00,,12.1,14,12.1,,,0.48,0.021,1.33,0.003,,,,61,,,4
25/07/2012 00:00,,13.1,2,11.7,,,0.44,0.011,4.08,0.005,,,,2,,,2
21/08/2012 00:00,,13.3,16,10.2,,,0.53,0.009,0.12,0.002,,,,13.7,,,1
23/08/2012 00:00,,12,4,12.2,,,0.6,0.022,2.42,0.003,,,,7.2,,,16
26/09/2012 00:00,,17.6,4,10.5,,,0.52,0.013,1.74,0.001,,,,6.5,,,12
27/09/2012 00:00,,18.3,20,9.6,,,0.33,0.016,0.22,0.001,,,,14.1,,,2
24/10/2012 00:00,,20.2,2,9.4,,,0.5,0.014,0.85,0.001,,,,4.5,,,1
24/10/2012 00:00,,21,14,8.8,,,0.38,0.024,0.36,0.001,,,,13.8,,,1
19/11/2012 00:00,,22.9,2,8.7,,,0.38,0.014,1.44,0.002,,,,5.5,,,1
20/11/2012 00:00,,22.5,12,7.2,,,0.39,0.008,0.64,0.002,,,,14,,,14
18/12/2012 00:00,,24.8,,7.4,,,,,,,,,,13.7,,,7
19/12/2012 00:00,,24.5,1,8.2,,,0.39,0.012,1.74,0.003,,,,4.3,,,4
17/01/2013 00:00,,26.9,12,7.3,,,0.27,0.005,0.36,0.002,,,,8.8,,,3
23/01/2013 00:00,,26.2,,8.6,,,,,,,,,,10.2,,,3
19/02/2013 00:00,,25,5,6.1,,,0.56,0.027,1.96,0.008,,,,16.5,,,9
21/02/2013 00:00,,24.2,5,8.1,,,0.94,0.036,4.75,0.007,,,,10.2,,,45
19/03/2013 00:00,,23.8,5,6,,,0.41,0.035,4.49,0.012,,,,7.7,,,13
22/03/2013 00:00,,23.1,3,9,,,0.53,0.03,3.43,0.009,,,,,,,9
10/04/2013 00:00,,21,2,8.4,,,0.6,0.011,3.49,0.006,,,,4,,,19
11/04/2013 00:00,,24.1,11,6.6,,,0.48,0.007,0.88,0.005,,,,5.9,,,8
21/05/2013 00:00,,13.7,2,10.3,,,0.63,0.013,2.77,0.003,,,,3.9,,,13
23/05/2013 00:00,,17.3,6,7.8,,,0.37,0.005,0.65,0.004,,,,9.8,,,4
26/06/2013 00:00,,14.9,21,9.4,,,0.53,0.021,0.6,0.001,,,,13.7,,,7
25/07/2013 00:00,,13,15,9.6,,,0.5,0.024,3.18,0.005,,,,10.8,,,6
02/08/2013 00:00,,12,3,11.4,,,0.59,0.013,3.53,0.006,,,,5.2,,,14
16/08/2013 00:00,,13.9,7,10.1,,,0.41,0.012,0.41,0.004,,,,6.8,,,1
21/08/2013 00:00,,11.9,2,11.5,,,0.62,0.01,3.71,0.003,,,,4.4,,,7
19/09/2013 00:00,,16.8,6,10.8,,,0.61,0.029,2.11,0.008,,,,12.6,,,51
24/09/2013 00:00,,18.9,14,9.2,,,0.38,0.007,0.15,0.001,,,,18,,,4
17/10/2013 00:00,,21.3,,8.2,,,,,,,,,,14.7,,,1
29/10/2013 00:00,,21.2,4,9.6,,,0.18,0.017,1.31,0.004,,,,7.7,,,5
08/11/2013 00:00,,22.4,14,8.3,,,0.24,0.023,0.23,0.003,,,,10.4,,,7
26/11/2013 00:00,,21.8,6,8.1,,,0.47,0.023,1.74,0.012,,,,7.1,,,27
18/12/2013 00:00,,26.4,4,8.4,,,0.36,0.017,2.01,0.009,,,,6.8,,,6
19/12/2013 00:00,,26.2,18,6.9,,,0.3,0.008,0.42,0.008,,,,12,,,1
24/01/2014 00:00,,25.3,4,8,,,0.3,0.017,1.52,0.007,,,,10.3,,,10
30/01/2014 00:00,,27.3,12,7.4,,,0.3,0.011,0.91,0.001,,,,5.8,,,2
21/02/2014 00:00,,26.1,10,5.1,,,0.42,0.022,1.25,0.006,,,,4.3,,,2
27/02/2014 00:00,,25.5,3,8.2,,,0.46,0.025,1.47,0.012,,,,9.5,,,10
13/03/2014 00:00,,25.3,7,6.1,,,0.45,0.01,1.11,0.001,,,,8.2,,,20
24/03/2014 00:00,,23.3,3,7.7,,,0.39,0.018,1.65,0.01,,,,4,,,82
29/04/2014 00:00,,17.6,1,9.1,,,0.5,0.014,3.32,0.004,,,,5.8,,,36
30/04/2014 00:00,,20.8,18,7,,,0.63,0.038,1.71,0.006,,,,11.4,,,41
14/05/2014 00:00,,18.7,13,7.1,,,0.52,0.011,1.01,0.005,,,,5.2,,,4
22/05/2014 00:00,,14.8,4,9.3,,,0.62,0.014,2.74,0.007,,,,3.6,,,18
25/06/2014 00:00,,12,3,11.1,,,0.81,0.013,2.92,0.005,,,,4.3,,,5
26/06/2014 00:00,,15.1,5,8.8,,,0.36,0.005,0.79,0.002,,,,9,,,1
16/07/2014 00:00,,10.38,2,11.5,,,0.72,0.012,2.21,,,,,6.2,,,5
13/08/2014 00:00,,11.63,1,11.3,,,0.9,0.013,1.61,,,,,6.3,,,4
09/09/2014 00:00,,15.7,8,10.82,,,0.44,0.071,2.8,,,,,2.4,,,8
10/10/2014 00:00,,20.5,1,9.87,,,0.37,0.009,1.67,,,,,1.9,,,2
05/11/2014 00:00,,24.15,2,8.84,,,0.56,0.011,1.58,,,,,3.2,,,1
03/12/2014 00:00,,27.3,3,8.12,,,0.48,0.008,1.18,,,,,3.8,,,9
06/01/2015 00:00,,25.4,9,8.49,,,0.55,0.005,2.9,,,,,1.7,,,160
04/02/2015 00:00,,23.42,3,8.05,,,0.73,0.025,2.69,,,,,3.9,,,44
04/03/2015 00:00,,24.53,4,7.88,,,0.75,0.019,2.53,,,,,3.1,,,59
14/04/2015 00:00,,19.7,4,8.7,,,0.58,0.014,1.92,,,,,2.5,,,19
12/05/2015 00:00,,15,6,9.88,,,0.46,0.022,3.18,,,,,1.4,,,32
10/06/2015 00:00,,11.45,3,10.75,,,0.77,0.02,3.19,,,,,3.7,,,15
07/07/2015 00:00,,9.7,5,11.02,,,0.75,0.023,2.89,,,,,3.3,,,21
05/08/2015 00:00,,10.2,3,10.97,,,0.8,0.016,2.4,,,,,4.7,,,11
18/09/2015 00:00,,17.2,2,11.06,,,0.34,0.005,1.72,,,,,4,,,1
13/10/2015 00:00,,21.24,2,9.34,,,0.75,0.013,2.47,,,,,6.8,,,16
11/11/2015 00:00,,22.4,4,8.62,,,0.66,0.014,1.71,,,,,5.5,,,14
08/12/2015 00:00,,24.47,4,8.93,,,0.53,0.012,1.81,,,,,7.9,,,23
06/01/2016 00:00,,22.2,14,8.4,,,0.91,0.045,1.78,,,,,8.6,,,500
02/02/2016 00:00,,24.4,23,7.9,,,0.75,0.11,3.27,,,,,4,,,32
01/03/2016 00:00,,26.2,5,9.8,,,0.43,0.019,2.43,,,,,15.6,,,10
13/04/2016 00:00,,21.14,3,8.74,,,0.63,0.014,2.29,,,,,5.1,,,4
11/05/2016 00:00,,17,2,8.48,,,0.66,0.01,2.37,,,,,6.2,,,28
21/06/2016 00:00,,13.2,14,10.4,,,0.76,0.047,3.92,,,,,1.5,,,660
05/07/2016 00:00,,12.74,2,11.08,,,0.41,0.012,1.84,,,,,2.5,,,1
02/08/2016 00:00,,12.76,2,11.43,,,0.41,0.006,2.42,,,,,2.2,,,7
13/09/2016 00:00,,14.43,1,11.23,,,0.46,0.008,2.63,,,,,3.2,,,6
11/10/2016 00:00,,16.75,2,10.26,,,0.48,0.007,2.46,,,,,2.7,,,2
09/11/2016 00:00,,22.34,2,9.13,,,0.81,0.012,1.85,,,,,7.8,,,4
06/12/2016 00:00,,21.64,2,10.72,,,0.43,0.009,2.22,,,,,3.4,,,8
24/01/2017 00:00,,27.6,4,7.6,,,0.42,0.011,0.95,,,,,10.6,,,24
14/02/2017 00:00,,27.6,2,7.6,,,0.6,0.007,1.76,,,,,5,,,100
14/03/2017 00:00,,23.17,5,8.1,,,0.44,0.016,2.31,,,,,4.3,,,25
20/04/2017 00:00,,19.66,7,9.26,,,0.61,0.014,3.66,,,,,15.9,,,26
04/05/2017 00:00,,17.33,5,9.03,,,0.62,0.02,3.37,,,,,3.8,,,43
06/06/2017 00:00,,12.35,5,10.32,,,0.85,0.012,3.39,,,,,3.9,,,27
20/07/2017 00:00,,9.42,2,11.14,,,0.83,0.014,3.33,,,,,4.1,,,7
03/08/2017 00:00,,10,4,11.19,,,0.98,0.005,3.41,,,,,4.7,,,19
19/09/2017 00:00,,17.8,3,9.9,,,0.81,0.005,0.71,,,,,9.2,,,2
18/10/2017 00:00,,22.2,3,9.16,,,0.87,0.005,1.18,,,,,4.6,,,3
23/11/2017 00:00,,22.5,2,8.4,,,0.7,0.005,1.25,,,,,3.6,,,6
14/12/2017 00:00,,27.9,2,8.9,,,0.51,0.01,1.23,,,,,3.3,,,6
16/01/2018 00:00,,24.5,2,8.2,,,0.74,0.005,1.24,,,,,3.7,,,63
13/02/2018 00:00,,27.2,2,9.08,,,0.5,0.006,1.16,,,,,3,,,5
27/03/2018 00:00,,22.5,3,8.33,,,0.54,0.008,1.86,,,,,5.5,,,30
10/04/2018 00:00,,23.4,2,9.7,,,0.42,0.013,1.56,,,,,22.5,,,8
08/05/2018 00:00,,16.8,3,9.56,,,0.44,0.012,1.91,,,,,28.3,,,7
05/06/2018 00:00,,12.9,4,10.99,,,0.58,0.009,2,,,,,36.3,,,22
17/07/2018 00:00,,8.7,4,11.1,,,0.86,0.016,1.56,,,,,32.5,,,8
13/08/2018 00:00,,10.5,6,11.2,,,0.86,0.011,0.34,,,,,35.7,,,10
06/09/2018 00:00,,13.1,5,11,,,1.02,0.013,0.81,,,,,24.9,,,2
12/10/2018 00:00,,16.9,3,9.6,,,0.83,0.009,0.55,,,,,5.3,,,5
07/11/2018 00:00,,24.7,2,9.29,,,0.6,0.005,0.8,,,,,3.2,,,5
04/12/2018 00:00,,23.4,5,8.54,,,0.69,0.018,0.72,,,,,12.4,,,3
09/01/2019 00:00,,27.9,4,8.8,,,0.68,0.017,2.71,,,,,6.9,,,1
13/02/2019 00:00,,25.8,3,8.42,,,0.58,0.017,2.12,,,,,10.2,,,1
06/03/2019 00:00,,27.1,,9.39,,,,,,,,,,10.3,,,
09/04/2019 00:00,,21.15,3,9.4,,,0.83,0.021,2.65,,,,,9.8,,,9
07/05/2019 00:00,,17,2,8.21,,,0.77,0.017,2.69,,,,,3.5,,,3
21/06/2019 00:00,,11.1,1,10.45,,,1.64,0.008,2.06,,,,,,,,1
24/07/2019 00:00,,10.3,2,10.68,,,1.06,0.005,1.32,,,,,5.2,,,3
15/08/2019 00:00,,14.2,2,10.7,,,1.42,0.006,0.9,,,,,6.8,,,1
20/09/2019 00:00,,17.2,2,9.93,,,0.97,0.006,0.36,,,,,4.2,,,1
29/10/2019 00:00,,21.8,2,9.6,,,0.58,0.007,0.72,,,,,1.5,,,2
22/11/2019 00:00,,24.2,1,9.1,,,0.37,0.005,0.69,,,,,2.3,,,
16/12/2019 00:00,,25.22,1,9.46,,,0.34,0.005,0.48,,,,,3.5,,,
30/01/2020 00:00,,28.1,1,8.77,,,0.35,0.01,1.72,,,,,5.2,,,
