Site Name,ECLOI Start,ECLOI End,ECLOI Num,ENT Start,ENT End,ENT Num,FC Start,FC End,FC Num,SAL Start,SAL End,SAL Num,TEMP Start,TEMP End,TEMP Num,WQ_DIAG_PHY_TCHLA Start,WQ_DIAG_PHY_TCHLA End,WQ_DIAG_PHY_TCHLA Num,WQ_DIAG_TOT_TN Start,WQ_DIAG_TOT_TN End,WQ_DIAG_TOT_TN Num,WQ_DIAG_TOT_TOC Start,WQ_DIAG_TOT_TOC End,WQ_DIAG_TOT_TOC Num,WQ_DIAG_TOT_TON Start,WQ_DIAG_TOT_TON End,WQ_DIAG_TOT_TON Num,WQ_DIAG_TOT_TP Start,WQ_DIAG_TOT_TP End,WQ_DIAG_TOT_TP Num,WQ_DIAG_TOT_TSS Start,WQ_DIAG_TOT_TSS End,WQ_DIAG_TOT_TSS Num,WQ_NCS_SS1 Start,WQ_NCS_SS1 End,WQ_NCS_SS1 Num,WQ_NIT_AMM Start,WQ_NIT_AMM End,WQ_NIT_AMM Num,WQ_NIT_NIT Start,WQ_NIT_NIT End,WQ_NIT_NIT Num,WQ_OGM_DOC Start,WQ_OGM_DOC End,WQ_OGM_DOC Num,WQ_OXY_OXY Start,WQ_OXY_OXY End,WQ_OXY_OXY Num,WQ_PHS_FRP Start,WQ_PHS_FRP End,WQ_PHS_FRP Num,WQ_SIL_RSI Start,WQ_SIL_RSI End,WQ_SIL_RSI Num,
N42,06/01/2005,24/12/2018,254,06/01/2005,24/12/2018,254,06/01/2005,24/12/2018,254,,,,06/01/2005,24/12/2018,908,06/01/2005,24/12/2018,1095,06/01/2005,24/12/2018,1018,06/01/2005,24/12/2018,15,,,,06/01/2005,24/12/2018,1018,06/01/2005,24/12/2018,173,06/01/2005,24/12/2018,173,06/01/2005,24/12/2018,465,06/01/2005,24/12/2018,465,06/01/2005,24/12/2018,19,06/01/2005,24/12/2018,796,06/01/2005,24/12/2018,464,06/01/2005,24/12/2018,173,
N44,27/09/2006,24/12/2018,38,27/09/2006,24/12/2018,38,27/09/2006,24/12/2018,38,,,,27/09/2006,24/12/2018,202,27/09/2006,24/12/2018,382,27/09/2006,24/12/2018,382,27/09/2006,24/12/2018,9,,,,27/09/2006,24/12/2018,382,27/09/2006,24/12/2018,89,27/09/2006,24/12/2018,89,27/09/2006,24/12/2018,382,27/09/2006,24/12/2018,386,27/09/2006,24/12/2018,9,27/09/2006,24/12/2018,203,27/09/2006,24/12/2018,381,27/09/2006,24/12/2018,72,
N48A,,,,,,,,,,,,,15/10/2013,24/12/2018,25,15/10/2013,24/12/2018,50,15/10/2013,24/12/2018,50,,,,,,,15/10/2013,24/12/2018,50,,,,,,,15/10/2013,24/12/2018,50,15/10/2013,24/12/2018,50,,,,15/10/2013,24/12/2018,25,15/10/2013,24/12/2018,50,,,,
N48,,,,21/01/2005,14/12/2017,246,,,,,,,21/01/2005,14/12/2017,207,21/01/2005,14/12/2017,394,21/01/2005,14/12/2017,400,21/01/2005,14/12/2017,9,,,,21/01/2005,14/12/2017,400,21/01/2005,14/12/2017,34,21/01/2005,14/12/2017,34,21/01/2005,14/12/2017,400,21/01/2005,14/12/2017,400,21/01/2005,14/12/2017,9,21/01/2005,14/12/2017,207,21/01/2005,14/12/2017,399,,,,
N51,,,,,,,,,,,,,09/07/2008,24/12/2018,189,09/07/2008,24/12/2018,367,09/07/2008,24/12/2018,367,09/07/2008,24/12/2018,9,,,,09/07/2008,24/12/2018,367,,,,,,,09/07/2008,24/12/2018,367,09/07/2008,24/12/2018,367,09/07/2008,24/12/2018,9,09/07/2008,24/12/2018,189,09/07/2008,24/12/2018,367,,,,
N53,21/01/2005,24/12/2018,250,21/01/2005,24/12/2018,265,21/01/2005,24/12/2018,265,,,,21/01/2005,24/12/2018,125,21/01/2005,24/12/2018,252,21/01/2005,24/12/2018,266,21/01/2005,24/12/2018,9,,,,21/01/2005,24/12/2018,266,21/01/2005,24/12/2018,15,21/01/2005,24/12/2018,15,21/01/2005,24/12/2018,266,21/01/2005,24/12/2018,266,21/01/2005,24/12/2018,9,21/01/2005,24/12/2018,140,21/01/2005,24/12/2018,265,,,,
N57,,,,21/01/2005,24/12/2018,257,21/01/2005,24/12/2018,257,,,,21/01/2005,24/12/2018,235,21/01/2005,24/12/2018,455,21/01/2005,24/12/2018,469,21/01/2005,24/12/2018,9,,,,21/01/2005,24/12/2018,469,21/01/2005,24/12/2018,123,21/01/2005,24/12/2018,123,21/01/2005,24/12/2018,469,21/01/2005,24/12/2018,469,21/01/2005,24/12/2018,496,21/01/2005,24/12/2018,235,21/01/2005,24/12/2018,468,21/01/2005,24/12/2018,123,
N642,14/05/2008,28/12/2018,104,14/05/2008,28/12/2018,119,14/05/2008,28/12/2018,15,,,,14/05/2008,28/12/2018,67,14/05/2008,28/12/2018,119,14/05/2008,28/12/2018,119,14/05/2008,28/12/2018,4,,,,14/05/2008,28/12/2018,119,,,,,,,14/05/2008,28/12/2018,119,14/05/2008,28/12/2018,119,14/05/2008,28/12/2018,4,14/05/2008,28/12/2018,67,14/05/2008,28/12/2018,119,,,,
N67,25/09/2006,28/12/2018,354,25/09/2006,28/12/2018,166,25/09/2006,28/12/2018,354,,,,25/09/2006,28/12/2018,195,25/09/2006,28/12/2018,374,25/09/2006,28/12/2018,373,25/09/2006,28/12/2018,354,,,,25/09/2006,28/12/2018,373,25/09/2006,28/12/2018,72,25/09/2006,28/12/2018,72,25/09/2006,28/12/2018,373,25/09/2006,28/12/2018,373,25/09/2006,28/12/2018,354,25/09/2006,28/12/2018,196,25/09/2006,28/12/2018,373,25/09/2006,28/12/2018,72,
N75,21/01/2005,28/12/2018,120,21/01/2005,28/12/2018,120,21/01/2005,28/12/2018,120,,,,21/01/2005,28/12/2018,231,21/01/2005,28/12/2018,441,21/01/2005,28/12/2018,447,21/01/2005,28/12/2018,9,,,,21/01/2005,28/12/2018,447,21/01/2005,28/12/2018,73,21/01/2005,28/12/2018,73,21/01/2005,28/12/2018,447,21/01/2005,28/12/2018,451,21/01/2005,28/12/2018,470,21/01/2005,28/12/2018,229,21/01/2005,28/12/2018,447,21/01/2005,28/12/2018,73,
N7823,,,,03/05/2018,16/11/2018,1,03/05/2018,16/11/2018,1,,,,03/05/2018,16/11/2018,1,03/05/2018,16/11/2018,1,03/05/2018,16/11/2018,1,,,,,,,03/05/2018,16/11/2018,1,,,,,,,03/05/2018,16/11/2018,1,03/05/2018,16/11/2018,1,,,,03/05/2018,16/11/2018,1,03/05/2018,16/11/2018,1,,,,
N86,,,,,,,20/12/2005,09/12/2014,58,,,,20/12/2005,09/12/2014,85,20/12/2005,09/12/2014,88,20/12/2005,09/12/2014,85,,,,,,,20/12/2005,09/12/2014,81,20/12/2005,09/12/2014,85,20/12/2005,09/12/2014,85,,,,,,,,,,20/12/2005,09/12/2014,85,20/12/2005,09/12/2014,80,20/12/2005,09/12/2014,82,
N91,21/01/2005,21/12/2018,294,21/01/2005,21/12/2018,358,21/01/2005,21/12/2018,350,,,,21/01/2005,21/12/2018,273,21/01/2005,21/12/2018,353,21/01/2005,21/12/2018,409,,,,,,,21/01/2005,21/12/2018,409,21/01/2005,21/12/2018,92,21/01/2005,21/12/2018,92,21/01/2005,21/12/2018,409,21/01/2005,21/12/2018,401,,,,21/01/2005,21/12/2018,273,21/01/2005,21/12/2018,419,,,,
N92,,,,21/01/2005,21/12/2018,323,21/01/2005,21/12/2018,323,,,,21/01/2005,21/12/2018,312,21/01/2005,21/12/2018,480,21/01/2005,21/12/2018,509,,,,,,,21/01/2005,21/12/2018,509,21/01/2005,21/12/2018,236,21/01/2005,21/12/2018,236,21/01/2005,21/12/2018,509,21/01/2005,21/12/2018,509,21/01/2005,21/12/2018,9,21/01/2005,21/12/2018,312,21/01/2005,21/12/2018,514,21/01/2005,21/12/2018,74,
NB11,,,,,,,,,,,,,16/07/2009,21/12/2018,164,16/07/2009,21/12/2018,330,16/07/2009,21/12/2018,330,,,,,,,16/07/2009,21/12/2018,330,,,,,,,16/07/2009,21/12/2018,330,16/07/2009,21/12/2018,330,,,,16/07/2009,21/12/2018,165,16/07/2009,21/12/2018,323,,,,
NB13,,,,,,,,,,,,,16/07/2009,21/12/2018,163,16/07/2009,21/12/2018,330,16/07/2009,21/12/2018,330,,,,,,,16/07/2009,21/12/2018,330,,,,,,,16/07/2009,21/12/2018,330,16/07/2009,21/12/2018,330,,,,16/07/2009,21/12/2018,164,16/07/2009,21/12/2018,330,,,,
NB42,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,
NB43,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,
NB825,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,
NB83,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,
NC11,,,,,,,,,,,,,15/08/2007,28/12/2018,195,15/08/2007,28/12/2018,379,15/08/2007,28/12/2018,379,15/08/2007,28/12/2018,9,,,,15/08/2007,28/12/2018,379,,,,,,,15/08/2007,28/12/2018,379,15/08/2007,28/12/2018,379,15/08/2007,28/12/2018,9,15/08/2007,28/12/2018,197,15/08/2007,28/12/2018,368,,,,
NC2,,,,10/01/2005,12/08/2010,99,10/01/2005,12/08/2010,99,,,,10/01/2005,12/08/2010,86,10/01/2005,12/08/2010,121,10/01/2005,12/08/2010,136,,,,,,,10/01/2005,12/08/2010,136,,,,,,,10/01/2005,12/08/2010,136,10/01/2005,12/08/2010,136,,,,10/01/2005,12/08/2010,86,10/01/2005,12/08/2010,99,,,,
NC3,,,,,,,,,,,,,15/08/2007,12/08/2010,37,15/08/2007,12/08/2010,37,15/08/2007,12/08/2010,37,,,,,,,15/08/2007,12/08/2010,37,,,,,,,15/08/2007,12/08/2010,37,15/08/2007,12/08/2010,37,,,,15/08/2007,12/08/2010,37,,,,,,,
NC517,,,,15/08/2007,31/12/2018,15,15/08/2007,31/12/2018,15,,,,15/08/2007,31/12/2018,52,15/08/2007,31/12/2018,52,15/08/2007,31/12/2018,242,,,,,,,15/08/2007,31/12/2018,242,,,,,,,15/08/2007,31/12/2018,242,15/08/2007,31/12/2018,242,,,,15/08/2007,31/12/2018,52,15/08/2007,31/12/2018,15,,,,
NCB280,,,,,,,,,,,,,15/08/2007,12/08/2010,36,15/08/2007,12/08/2010,36,15/08/2007,12/08/2010,81,,,,,,,15/08/2007,12/08/2010,81,,,,,,,15/08/2007,12/08/2010,81,15/08/2007,12/08/2010,81,,,,15/08/2007,12/08/2010,36,,,,,,,
NS04,,,,10/07/2008,28/12/2018,11,10/07/2008,28/12/2018,11,,,,10/07/2008,28/12/2018,197,10/07/2008,28/12/2018,370,10/07/2008,28/12/2018,370,10/07/2008,28/12/2018,9,,,,10/07/2008,28/12/2018,370,10/07/2008,28/12/2018,11,10/07/2008,28/12/2018,11,10/07/2008,28/12/2018,370,10/07/2008,28/12/2018,370,10/07/2008,28/12/2018,9,10/07/2008,28/12/2018,188,10/07/2008,28/12/2018,370,,,,
NS081,10/01/2005,28/12/2018,88,10/01/2005,28/12/2018,100,10/01/2005,28/12/2018,97,,,,10/01/2005,28/12/2018,60,10/01/2005,28/12/2018,92,10/01/2005,28/12/2018,100,,,,,,,10/01/2005,28/12/2018,100,10/01/2005,28/12/2018,14,10/01/2005,28/12/2018,14,10/01/2005,28/12/2018,98,10/01/2005,28/12/2018,97,,,,10/01/2005,28/12/2018,60,10/01/2005,28/12/2018,86,,,,
NS082,10/01/2005,28/12/2018,197,10/01/2005,28/12/2018,206,10/01/2005,28/12/2018,206,,,,10/01/2005,28/12/2018,115,10/01/2005,28/12/2018,200,10/01/2005,28/12/2018,206,10/01/2005,28/12/2018,6,,,,10/01/2005,28/12/2018,206,10/01/2005,28/12/2018,20,10/01/2005,28/12/2018,20,10/01/2005,28/12/2018,206,10/01/2005,28/12/2018,206,10/01/2005,28/12/2018,6,10/01/2005,28/12/2018,106,10/01/2005,28/12/2018,195,,,,
NS087,10/01/2005,31/12/2018,205,10/01/2005,31/12/2018,220,10/01/2005,31/12/2018,220,,,,10/01/2005,31/12/2018,123,10/01/2005,31/12/2018,207,10/01/2005,31/12/2018,220,10/01/2005,31/12/2018,6,,,,10/01/2005,31/12/2018,220,,,,,,,10/01/2005,31/12/2018,220,10/01/2005,31/12/2018,224,10/01/2005,31/12/2018,6,10/01/2005,31/12/2018,123,10/01/2005,31/12/2018,220,,,,
NS090,10/01/2005,31/12/2018,201,10/01/2005,31/12/2018,216,10/01/2005,31/12/2018,216,,,,10/01/2005,31/12/2018,115,10/01/2005,31/12/2018,207,10/01/2005,31/12/2018,216,10/01/2005,31/12/2018,6,,,,10/01/2005,31/12/2018,216,,,,,,,10/01/2005,31/12/2018,216,10/01/2005,31/12/2018,216,10/01/2005,31/12/2018,6,10/01/2005,31/12/2018,115,10/01/2005,31/12/2018,216,,,,
NS26,10/01/2005,14/11/2018,201,10/01/2005,14/11/2018,205,10/01/2005,14/11/2018,205,,,,10/01/2005,14/11/2018,106,10/01/2005,14/11/2018,202,10/01/2005,14/11/2018,205,10/01/2005,14/11/2018,6,,,,10/01/2005,14/11/2018,205,,,,,,,10/01/2005,14/11/2018,205,10/01/2005,14/11/2018,205,10/01/2005,14/11/2018,6,10/01/2005,14/11/2018,107,10/01/2005,14/11/2018,205,,,,
NS45,,,,20/11/2006,21/04/2012,12,20/11/2006,21/04/2012,12,,,,,,,,,,20/11/2006,21/04/2012,12,20/11/2006,21/04/2012,12,,,,20/11/2006,21/04/2012,12,20/11/2006,21/04/2012,12,20/11/2006,21/04/2012,12,20/11/2006,21/04/2012,12,20/11/2006,21/04/2012,12,20/11/2006,21/04/2012,12,,,,,,,20/11/2006,21/04/2012,12,
N411,,,,01/08/2018,24/12/2018,8,01/08/2018,24/12/2018,8,,,,01/08/2018,24/12/2018,7,01/08/2018,24/12/2018,8,01/08/2018,24/12/2018,8,,,,,,,01/08/2018,24/12/2018,8,,,,,,,01/08/2018,24/12/2018,8,01/08/2018,24/12/2018,8,,,,01/08/2018,24/12/2018,8,01/08/2018,24/12/2018,8,,,,
N412,,,,01/08/2018,24/12/2018,8,01/08/2018,24/12/2018,8,,,,01/08/2018,24/12/2018,7,01/08/2018,24/12/2018,8,01/08/2018,24/12/2018,8,,,,,,,01/08/2018,24/12/2018,8,,,,,,,01/08/2018,24/12/2018,8,01/08/2018,24/12/2018,8,,,,01/08/2018,24/12/2018,8,01/08/2018,24/12/2018,8,,,,
N464,,,,09/03/2018,24/12/2018,15,09/03/2018,24/12/2018,15,,,,09/03/2018,24/12/2018,14,09/03/2018,24/12/2018,15,09/03/2018,24/12/2018,15,,,,,,,09/03/2018,24/12/2018,15,,,,,,,09/03/2018,24/12/2018,15,09/03/2018,24/12/2018,15,,,,09/03/2018,24/12/2018,15,09/03/2018,24/12/2018,15,,,,
N46A,,,,09/03/2018,10/06/2019,23,09/03/2018,10/06/2019,23,,,,09/03/2018,10/06/2019,22,09/03/2018,10/06/2019,23,09/03/2018,10/06/2019,23,,,,,,,09/03/2018,10/06/2019,23,,,,,,,09/03/2018,10/06/2019,23,09/03/2018,10/06/2019,23,,,,09/03/2018,10/06/2019,22,09/03/2018,10/06/2019,23,,,,
N541,,,,09/07/2018,24/12/2018,9,09/07/2018,24/12/2018,9,,,,09/07/2018,24/12/2018,9,09/07/2018,24/12/2018,9,09/07/2018,24/12/2018,9,,,,,,,09/07/2018,24/12/2018,9,,,,,,,09/07/2018,24/12/2018,9,09/07/2018,24/12/2018,9,,,,09/07/2018,24/12/2018,9,09/07/2018,24/12/2018,9,,,,
N542,,,,09/07/2018,24/12/2018,9,09/07/2018,24/12/2018,9,,,,09/07/2018,24/12/2018,9,09/07/2018,24/12/2018,9,09/07/2018,24/12/2018,9,,,,,,,09/07/2018,24/12/2018,9,,,,,,,09/07/2018,24/12/2018,9,09/07/2018,24/12/2018,9,,,,09/07/2018,24/12/2018,9,09/07/2018,24/12/2018,9,,,,
N7824,,,,08/03/2018,28/12/2018,15,08/03/2018,28/12/2018,15,,,,08/03/2018,28/12/2018,15,08/03/2018,28/12/2018,15,08/03/2018,28/12/2018,15,,,,,,,08/03/2018,28/12/2018,15,,,,,,,08/03/2018,28/12/2018,15,08/03/2018,28/12/2018,15,,,,08/03/2018,28/12/2018,15,08/03/2018,28/12/2018,15,,,,
N78,,,,08/03/2018,28/12/2018,15,08/03/2018,28/12/2018,15,,,,08/03/2018,28/12/2018,15,08/03/2018,28/12/2018,15,08/03/2018,28/12/2018,15,,,,,,,08/03/2018,28/12/2018,15,,,,,,,08/03/2018,28/12/2018,15,08/03/2018,28/12/2018,15,,,,08/03/2018,28/12/2018,15,08/03/2018,28/12/2018,15,,,,
N911A,,,,08/03/2018,21/12/2018,14,08/03/2018,21/12/2018,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N911,,,,08/03/2018,21/12/2018,14,08/03/2018,21/12/2018,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC53,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,
NC5,,,,08/03/2018,04/10/2018,10,08/03/2018,04/10/2018,10,,,,08/03/2018,04/10/2018,10,08/03/2018,04/10/2018,10,08/03/2018,04/10/2018,10,,,,,,,08/03/2018,04/10/2018,10,,,,,,,08/03/2018,04/10/2018,10,08/03/2018,04/10/2018,10,,,,08/03/2018,04/10/2018,10,08/03/2018,04/10/2018,10,,,,
NC75,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,
NC8,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,,,,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,08/03/2018,31/12/2018,15,08/03/2018,31/12/2018,15,,,,
NS23,,,,14/09/2018,14/11/2018,4,14/09/2018,14/11/2018,4,,,,14/09/2018,14/11/2018,4,14/09/2018,14/11/2018,4,14/09/2018,14/11/2018,4,,,,,,,14/09/2018,14/11/2018,4,,,,,,,14/09/2018,14/11/2018,4,14/09/2018,14/11/2018,4,,,,14/09/2018,14/11/2018,4,14/09/2018,14/11/2018,4,,,,
