Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonia mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL,TN_mgperL,TP_mgperL
01/02/2012 00:00:00,0.257451,0.435907,22.998773,1.000000,196.231012,0.000000,50.437712,415.908205,0.289127,   NaN,4053.333333,113.333333,343.027887,3.676471,0.005901,0.141100,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,1.745300,1.000000,466.345917,0.436128
02/02/2012 00:00:00,0.331954,0.385631,22.999973,1.000000,196.046390,0.000000,1.428571,462.748717,0.128311,   NaN,4053.333333,113.333333,457.643675,3.676471,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,1.352143,1.000000,464.177288,0.193548
03/02/2012 00:00:00,0.704711,0.496019,22.999396,1.408323,195.882365,0.000000,1.967841,491.011771,0.464770,   NaN,4007.056782,159.609884,449.679593,5.177656,0.009485,0.226818,0.000000,0.000000,0.000000,0.000000,   NaN,1057.508176,84.448747,61.132032,492.979611,0.701073
04/02/2012 00:00:00,0.861966,0.467974,22.997043,4.928346,195.738985,0.000000,90.590203,544.820909,4.724424,   NaN,3608.120748,558.545919,415.914103,18.118920,0.096417,2.305620,0.000000,0.000000,0.000000,0.000000,   NaN,12488.959246,964.173253,711.762471,635.411112,7.126461
05/02/2012 00:00:00,0.431612,0.494000,22.992915,1.000000,195.616293,0.000000,8.543301,543.514916,1.176186,   NaN,4053.333333,113.333333,515.821725,3.676471,0.024004,0.574004,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,1.540746,1.000000,552.058217,1.774194
06/02/2012 00:00:00,0.259888,0.413550,22.987013,3.532111,195.514325,0.000000,30.469801,537.747210,0.729454,   NaN,3766.360788,400.305879,523.332938,12.985701,0.014887,0.355989,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,4.678274,1.000000,568.217012,1.100330
07/02/2012 00:00:00,0.243195,0.476981,22.979339,1.000000,195.433111,0.000000,38.753107,299.103566,0.800460,   NaN,4053.333333,113.333333,293.998524,3.676471,0.016336,0.390641,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,2.485700,1.000000,337.856673,1.207437
08/02/2012 00:00:00,0.212838,0.440974,22.969895,1.000000,195.372676,0.000000,1.428571,370.842239,0.833246,   NaN,4053.333333,113.333333,355.464065,3.676471,0.017005,0.406642,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,1.675361,1.000000,372.270810,1.256893
09/02/2012 00:00:00,0.273150,0.484752,22.958683,1.000000,195.333037,0.000000,53.097389,345.431377,0.128311,   NaN,4053.333333,113.333333,340.326335,3.676471,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,398.528766,0.193548
10/02/2012 00:00:00,0.247779,0.465755,22.945708,1.000000,195.314205,0.000000,39.031914,314.611262,0.128311,   NaN,4053.333333,113.333333,309.506220,3.676471,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.932010,1.000000,353.643176,0.193548
