ISOTIME,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonium_mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL
20/01/2012 00:00:00, NaN,0.4500,25.8802,89.5562,130.2384,199.6967,7.0309,28.1235,2.1819,0.0000,1066.6667,158.3333,18.7490,63.2779,0.9187,2.6412,0.0138,0.0110,0.0138,0.0138,0.0000,2300.1242,0.0000,2376.8477
21/01/2012 00:00:00, NaN,0.4500,25.8552,63.0358,129.7653,179.8957,5.9583,23.8332,1.7955,0.0000,1066.6667,158.3333,15.8888,53.6246,0.7560,2.1735,0.0138,0.0110,0.0138,0.0138,0.0000,1657.0825,0.0000,1797.4512
22/01/2012 00:00:00, NaN,0.4500,25.8280,37.4766,129.3139,160.6370,4.9123,19.6494,1.4133,0.0000,1066.6667,158.3333,13.0996,44.2111,0.5951,1.7108,0.0138,0.0110,0.0138,0.0138,0.0000,1024.5552,0.0000,1221.2405
23/01/2012 00:00:00, NaN,0.4500,25.7985,86.2478,128.8844,197.0434,6.8976,27.5906,2.1551,0.0000,1066.6667,158.3333,18.3937,62.0788,0.9074,2.6088,0.0138,0.0110,0.0138,0.0138,0.0000,2201.4826,0.0000,2277.5797
24/01/2012 00:00:00, NaN,0.4500,25.7666,92.1812,128.4768,201.2518,7.1099,28.4395,2.2016,0.0000,1066.6667,158.3333,18.9597,63.9889,0.9270,2.6651,0.0138,0.0110,0.0138,0.0138,0.0000,2337.6305,0.0000,2397.1308
25/01/2012 00:00:00, NaN,0.4500,25.7325,99.8644,128.0914,207.5485,7.4880,29.9521,2.4127,0.0000,1066.6667,158.3333,19.9681,67.3922,1.0159,2.9207,0.0138,0.0110,0.0138,0.0138,0.0000,2534.0333,0.0000,2572.4972
26/01/2012 00:00:00, NaN,0.4500,25.6960,117.9009,127.7281,220.9442,8.1976,32.7904,2.6256,0.0000,1066.6667,158.3333,21.8603,73.7785,1.1055,3.1784,0.0138,0.0110,0.0138,0.0138,0.0000,2970.5831,0.0000,2972.4301
27/01/2012 00:00:00, NaN,0.4500,25.6573,116.5002,127.3872,220.3756,8.1464,32.5855,2.5863,0.0000,1066.6667,158.3333,21.7237,73.3174,1.0890,3.1308,0.0138,0.0110,0.0138,0.0138,0.0000,2985.2493,0.0000,3001.2770
28/01/2012 00:00:00, NaN,0.4500,25.6163,113.3002,127.0686,218.3494,8.0274,32.1097,2.5403,0.0000,1066.6667,158.3333,21.4065,72.2469,1.0696,3.0751,0.0138,0.0110,0.0138,0.0138,0.0000,2937.9364,0.0000,2967.0897
29/01/2012 00:00:00, NaN,0.4500,25.5731,103.9884,126.7726,212.2700,7.6850,30.7398,2.4199,0.0000,1066.6667,158.3333,20.4932,69.1646,1.0189,2.9293,0.0138,0.0110,0.0138,0.0138,0.0000,2778.5122,0.0000,2839.9761
30/01/2012 00:00:00, NaN,0.4500,25.5276,91.9804,126.4992,203.6260,7.2154,28.8614,2.2648,0.0000,1066.6667,158.3333,19.2409,64.9382,0.9536,2.7416,0.0138,0.0110,0.0138,0.0138,0.0000,2515.3650,0.0000,2604.6204
31/01/2012 00:00:00, NaN,0.4500,25.4799,81.2903,126.2485,195.1372,6.7433,26.9730,2.0714,0.0000,1066.6667,158.3333,17.9820,60.6893,0.8722,2.5075,0.0138,0.0110,0.0138,0.0138,0.0000,2234.9883,0.0000,2338.3100
01/02/2012 00:00:00, NaN,0.4500,25.4300,69.5254,126.0206,185.6902,6.2459,24.9834,1.9146,0.0000,1066.6667,158.3333,16.6556,56.2127,0.8062,2.3177,0.0138,0.0110,0.0138,0.0138,0.0000,1910.2132,0.0000,2020.3825
02/02/2012 00:00:00, NaN,0.4500,25.3778,112.1243,125.8154,216.8135,7.9762,31.9050,2.5528,0.0000,1066.6667,158.3333,21.2700,71.7862,1.0749,3.0902,0.0138,0.0110,0.0138,0.0138,0.0000,2831.9004,0.0000,2845.1083
03/02/2012 00:00:00, NaN,0.4500,25.3235,116.2430,125.6332,219.8592,8.1369,32.5477,2.6008,0.0000,1066.6667,158.3333,21.6985,73.2324,1.0951,3.1483,0.0138,0.0110,0.0138,0.0138,0.0000,2934.4855,0.0000,2941.3468
04/02/2012 00:00:00, NaN,0.4500,25.2671,115.0061,125.4739,219.5050,8.1056,32.4223,2.5846,0.0000,1066.6667,158.3333,21.6149,72.9502,1.0883,3.1288,0.0138,0.0110,0.0138,0.0138,0.0000,2950.6615,0.0000,2970.3063
05/02/2012 00:00:00, NaN,0.4500,25.2084,109.0357,125.3375,216.9567,7.9361,31.7443,2.5165,0.0000,1066.6667,158.3333,21.1628,71.4246,1.0596,3.0463,0.0138,0.0110,0.0138,0.0138,0.0000,2950.0727,0.0000,3012.9289
06/02/2012 00:00:00, NaN,0.4500,25.1477,97.0481,125.2243,209.7945,7.5195,30.0781,2.3700,0.0000,1066.6667,158.3333,20.0520,67.6757,0.9979,2.8690,0.0138,0.0110,0.0138,0.0138,0.0000,2790.4258,0.0000,2903.3733
07/02/2012 00:00:00, NaN,0.4500,25.0848,75.0784,125.1340,194.4836,6.6597,26.6388,2.0559,0.0000,1066.6667,158.3333,17.7592,59.9374,0.8657,2.4888,0.0138,0.0110,0.0138,0.0138,0.0000,2349.5512,0.0000,2519.8336
08/02/2012 00:00:00, NaN,0.4500,25.0198,47.8245,125.0669,172.8012,5.4692,21.8770,1.6012,0.0000,1066.6667,158.3333,14.5847,49.2232,0.6742,1.9383,0.0138,0.0110,0.0138,0.0138,0.0000,1625.0153,0.0000,1824.8801
09/02/2012 00:00:00, NaN,0.4500,24.9528,27.2710,125.0228,155.3218,4.5223,18.0892,1.2306,0.0000,1066.6667,158.3333,12.0595,40.7007,0.5182,1.4897,0.0138,0.0110,0.0138,0.0138,0.0000,1002.2047,0.0000,1207.8733
10/02/2012 00:00:00, NaN,0.4500,24.8837,115.6177,125.0019,219.6150,8.1216,32.4862,2.6070,0.0000,1066.6667,158.3333,21.6575,73.0940,1.0977,3.1558,0.0138,0.0110,0.0138,0.0138,0.0000,2923.8495,0.0000,2931.7710
11/02/2012 00:00:00, NaN,0.4500,24.8125,107.9545,125.0041,218.0638,7.9765,31.9061,2.5432,0.0000,1066.6667,158.3333,21.2707,71.7887,1.0708,3.0786,0.0138,0.0110,0.0138,0.0138,0.0000,3050.7628,0.0000,3140.7963
12/02/2012 00:00:00, NaN,0.4500,24.7394,106.5160,125.0294,215.7243,7.8553,31.4212,2.4928,0.0000,1066.6667,158.3333,20.9474,70.6976,1.0496,3.0176,0.0138,0.0110,0.0138,0.0138,0.0000,2937.3882,0.0000,3010.5231
13/02/2012 00:00:00, NaN,0.4500,24.6642,99.9229,125.0779,210.0566,7.5400,30.1600,2.3611,0.0000,1066.6667,158.3333,20.1067,67.8601,0.9941,2.8581,0.0138,0.0110,0.0138,0.0138,0.0000,2742.6477,0.0000,2815.7747
14/02/2012 00:00:00, NaN,0.4500,24.5871,104.3720,125.1494,211.5712,7.6500,30.6002,2.4035,0.0000,1066.6667,158.3333,20.4001,68.8504,1.0120,2.9095,0.0138,0.0110,0.0138,0.0138,0.0000,2718.5838,0.0000,2755.8118
15/02/2012 00:00:00, NaN,0.4500,24.5080,99.0753,125.2441,207.1904,7.4013,29.6051,2.2915,0.0000,1066.6667,158.3333,19.7367,66.6114,0.9648,2.7739,0.0138,0.0110,0.0138,0.0138,0.0000,2574.8504,0.0000,2615.9982
16/02/2012 00:00:00, NaN,0.4500,24.4270,84.9988,125.3617,196.3908,6.8003,27.2014,2.0581,0.0000,1066.6667,158.3333,18.1343,61.2031,0.8666,2.4913,0.0138,0.0110,0.0138,0.0138,0.0000,2233.0563,0.0000,2292.8665
17/02/2012 00:00:00, NaN,0.4500,24.3441,62.3371,125.5024,178.9857,5.8360,23.3439,1.6879,0.0000,1066.6667,158.3333,15.5626,52.5238,0.7107,2.0433,0.0138,0.0110,0.0138,0.0138,0.0000,1677.5857,0.0000,1767.2515
18/02/2012 00:00:00, NaN,0.4500,24.2593,108.3344,125.6661,213.7454,7.7956,31.1825,2.4748,0.0000,1066.6667,158.3333,20.7883,70.1605,1.0420,2.9958,0.0138,0.0110,0.0138,0.0138,0.0000,2742.2762,0.0000,2758.6256
19/02/2012 00:00:00, NaN,0.4500,24.1726,107.2713,125.8527,212.7956,7.7273,30.9093,2.4192,0.0000,1066.6667,158.3333,20.6062,69.5460,1.0186,2.9285,0.0138,0.0110,0.0138,0.0138,0.0000,2726.0897,0.0000,2746.8845
20/02/2012 00:00:00, NaN,0.4500,24.0842,116.3108,126.0622,220.1900,8.1481,32.5925,2.6147,0.0000,1066.6667,158.3333,21.7284,73.3332,1.1009,3.1651,0.0138,0.0110,0.0138,0.0138,0.0000,2940.4967,0.0000,2947.0517
21/02/2012 00:00:00, NaN,0.4500,23.9939,109.1122,126.2945,218.9522,8.0311,32.1245,2.5727,0.0000,1066.6667,158.3333,21.4163,72.2802,1.0833,3.1143,0.0138,0.0110,0.0138,0.0138,0.0000,3067.7124,0.0000,3153.3370
22/02/2012 00:00:00, NaN,0.4500,23.9018,97.2463,126.5496,214.3606,7.7196,30.8786,2.4636,0.0000,1066.6667,158.3333,20.5857,69.4768,1.0373,2.9823,0.0138,0.0110,0.0138,0.0138,0.0000,3088.6550,0.0000,3259.8194
23/02/2012 00:00:00, NaN,0.4500,23.8081,82.3697,126.8273,201.9549,7.0267,28.1067,2.1900,0.0000,1066.6667,158.3333,18.7378,63.2401,0.9221,2.6511,0.0138,0.0110,0.0138,0.0138,0.0000,2667.6150,0.0000,2840.2414
24/02/2012 00:00:00, NaN,0.4500,23.7125,60.0077,127.1276,182.9105,5.9801,23.9204,1.7751,0.0000,1066.6667,158.3333,15.9470,53.8210,0.7474,2.1488,0.0138,0.0110,0.0138,0.0138,0.0000,2003.1046,0.0000,2173.8774
25/02/2012 00:00:00, NaN,0.4500,23.6153,37.3424,127.4504,163.5931,4.9286,19.7142,1.3576,0.0000,1066.6667,158.3333,13.1428,44.3570,0.5716,1.6434,0.0138,0.0110,0.0138,0.0138,0.0000,1323.6630,0.0000,1495.9633
26/02/2012 00:00:00, NaN,0.4500,23.5165,22.0098,127.7956,150.0342,4.2008,16.8031,1.0675,0.0000,1066.6667,158.3333,11.2021,37.8070,0.4495,1.2922,0.0138,0.0110,0.0138,0.0138,0.0000,827.1502,0.0000,995.8979
27/02/2012 00:00:00, NaN,0.4500,23.4160,14.4805,128.1631,143.0706,3.8333,15.3333,0.9211,0.0000,1066.6667,158.3333,10.2222,34.5000,0.3878,1.1150,0.0138,0.0110,0.0138,0.0138,0.0000,558.9804,0.0000,723.2953
28/02/2012 00:00:00, NaN,0.4500,23.3139,11.4837,128.5527,140.1650,3.6831,14.7326,0.8617,0.0000,1066.6667,158.3333,9.8217,33.1483,0.3628,1.0432,0.0138,0.0110,0.0138,0.0138,0.0000,439.5746,0.0000,601.0565
29/02/2012 00:00:00, NaN,0.4500,23.2102,107.4516,128.9645,213.1295,7.7669,31.0674,2.4637,0.0000,1066.6667,158.3333,20.7116,69.9017,1.0373,2.9824,0.0138,0.0110,0.0138,0.0138,0.0000,2714.4760,0.0000,2732.2163
01/03/2012 00:00:00, NaN,0.4500,23.1050,116.8105,129.3982,220.4489,8.1576,32.6306,2.6061,0.0000,1066.6667,158.3333,21.7537,73.4188,1.0973,3.1548,0.0138,0.0110,0.0138,0.0138,0.0000,2953.1672,0.0000,2959.4311
02/03/2012 00:00:00, NaN,0.4500,22.9983,109.1788,129.8538,219.0563,8.0301,32.1202,2.5665,0.0000,1066.6667,158.3333,21.4135,72.2705,1.0806,3.1068,0.0138,0.0110,0.0138,0.0138,0.0000,3077.6846,0.0000,3165.1436
03/03/2012 00:00:00, NaN,0.4500,22.8901,107.0833,130.3310,217.6865,7.9580,31.8319,2.5483,0.0000,1066.6667,158.3333,21.2212,71.6217,1.0730,3.0848,0.0138,0.0110,0.0138,0.0138,0.0000,3033.7824,0.0000,3125.3267
04/03/2012 00:00:00, NaN,0.4500,22.7804,94.2362,130.8298,213.6999,7.6648,30.6593,2.4542,0.0000,1066.6667,158.3333,20.4395,68.9835,1.0333,2.9708,0.0138,0.0110,0.0138,0.0138,0.0000,3122.9163,0.0000,3321.5353
05/03/2012 00:00:00, NaN,0.4500,22.6693,96.8117,131.3499,209.9733,7.5137,30.0547,2.3735,0.0000,1066.6667,158.3333,20.0364,67.6230,0.9994,2.8732,0.0138,0.0110,0.0138,0.0138,0.0000,2805.5966,0.0000,2911.5366
06/03/2012 00:00:00, NaN,0.4500,22.5569,88.1568,131.8914,200.9975,7.0275,28.1102,2.1580,0.0000,1066.6667,158.3333,18.7401,63.2479,0.9086,2.6123,0.0138,0.0110,0.0138,0.0138,0.0000,2454.9009,0.0000,2536.7906
07/03/2012 00:00:00, NaN,0.4500,22.4431,71.9055,132.4539,187.5175,6.2861,25.1444,1.8625,0.0000,1066.6667,158.3333,16.7630,56.5750,0.7842,2.2546,0.0138,0.0110,0.0138,0.0138,0.0000,1996.2916,0.0000,2083.7244
08/03/2012 00:00:00, NaN,0.4500,22.3280,114.0527,133.0373,219.7019,8.1162,32.4648,2.6008,0.0000,1066.6667,158.3333,21.6432,73.0459,1.0951,3.1483,0.0138,0.0110,0.0138,0.0138,0.0000,2936.6614,0.0000,2959.7859
09/03/2012 00:00:00, NaN,0.4500,22.2116,78.6897,133.6415,214.9580,7.6064,30.4256,2.4991,0.0000,1066.6667,158.3333,20.2838,68.4577,1.0523,3.0253,0.0138,0.0110,0.0138,0.0138,0.0000,3602.0226,0.0000,4016.5742
10/03/2012 00:00:00, NaN,0.4500,22.0939,74.2741,134.2662,206.0041,7.1285,28.5139,2.2844,0.0000,1066.6667,158.3333,19.0093,64.1563,0.9619,2.7653,0.0138,0.0110,0.0138,0.0138,0.0000,3139.8075,0.0000,3471.1784
11/03/2012 00:00:00, NaN,0.4500,21.9751,63.0008,134.9113,193.5283,6.4585,25.8340,2.0010,0.0000,1066.6667,158.3333,17.2227,58.1266,0.8425,2.4223,0.0138,0.0110,0.0138,0.0138,0.0000,2621.6319,0.0000,2905.6395
12/03/2012 00:00:00, NaN,0.4500,21.8550,45.7434,135.5767,175.8198,5.5179,22.0717,1.6069,0.0000,1066.6667,158.3333,14.7145,49.6613,0.6766,1.9453,0.0138,0.0110,0.0138,0.0138,0.0000,1913.2675,0.0000,2149.6938
13/03/2012 00:00:00, NaN,0.4500,21.7339,28.6418,136.2620,158.1752,4.5917,18.3667,1.2207,0.0000,1066.6667,158.3333,12.2445,41.3251,0.5140,1.4777,0.0138,0.0110,0.0138,0.0138,0.0000,1198.7755,0.0000,1390.4400
14/03/2012 00:00:00, NaN,0.4500,21.6116,17.6645,136.9671,146.7759,4.0006,16.0023,0.9772,0.0000,1066.6667,158.3333,10.6682,36.0052,0.4115,1.1829,0.0138,0.0110,0.0138,0.0138,0.0000,728.8434,0.0000,894.0477
15/03/2012 00:00:00, NaN,0.4500,21.4882,12.6510,137.6918,141.5463,3.7340,14.9358,0.8700,0.0000,1066.6667,158.3333,9.9572,33.6056,0.3663,1.0532,0.0138,0.0110,0.0138,0.0138,0.0000,506.7843,0.0000,661.7963
16/03/2012 00:00:00, NaN,0.4500,21.3639,10.8085,138.4359,139.6097,3.6378,14.5511,0.8329,0.0000,1066.6667,158.3333,9.7007,32.7400,0.3507,1.0082,0.0138,0.0110,0.0138,0.0138,0.0000,418.9113,0.0000,571.0496
17/03/2012 00:00:00, NaN,0.4500,21.2385,114.9121,139.1991,219.1972,8.1005,32.4020,2.5973,0.0000,1066.6667,158.3333,21.6014,72.9046,1.0936,3.1441,0.0138,0.0110,0.0138,0.0138,0.0000,2905.0818,0.0000,2913.7578
18/03/2012 00:00:00, NaN,0.4500,21.1121,107.1053,139.9812,217.9148,7.9630,31.8518,2.5403,0.0000,1066.6667,158.3333,21.2346,71.6666,1.0696,3.0752,0.0138,0.0110,0.0138,0.0138,0.0000,3060.0133,0.0000,3157.3785
19/03/2012 00:00:00, NaN,0.4500,20.9849,98.6945,140.7820,212.5546,7.6421,30.5686,2.4160,0.0000,1066.6667,158.3333,20.3790,68.7793,1.0173,2.9246,0.0138,0.0110,0.0138,0.0138,0.0000,2935.0930,0.0000,3059.8140
20/03/2012 00:00:00, NaN,0.4500,20.8567,81.5278,141.6013,199.1736,6.8902,27.5609,2.1230,0.0000,1066.6667,158.3333,18.3739,62.0121,0.8939,2.5700,0.0138,0.0110,0.0138,0.0138,0.0000,2508.4701,0.0000,2648.1655
21/03/2012 00:00:00, NaN,0.4500,20.7278,56.9203,142.4388,179.0040,5.7732,23.0927,1.6800,0.0000,1066.6667,158.3333,15.3951,51.9585,0.7074,2.0337,0.0138,0.0110,0.0138,0.0138,0.0000,1828.1043,0.0000,1974.8423
22/03/2012 00:00:00, NaN,0.4500,20.5980,34.2030,143.2943,160.0028,4.7293,18.9171,1.2625,0.0000,1066.6667,158.3333,12.6114,42.5635,0.5316,1.5282,0.0138,0.0110,0.0138,0.0138,0.0000,1170.4632,0.0000,1319.4506
23/03/2012 00:00:00, NaN,0.4500,20.4674,60.8851,144.1675,178.3437,5.8000,23.1999,1.7008,0.0000,1066.6667,158.3333,15.4666,52.1999,0.7161,2.0588,0.0138,0.0110,0.0138,0.0138,0.0000,1670.1579,0.0000,1756.1053
24/03/2012 00:00:00, NaN,0.4500,20.3361,65.5443,145.0581,181.1720,5.9507,23.8027,1.7275,0.0000,1066.6667,158.3333,15.8685,53.5560,0.7274,2.0912,0.0138,0.0110,0.0138,0.0138,0.0000,1738.3399,0.0000,1810.2790
25/03/2012 00:00:00, NaN,0.4500,20.2041,56.7375,145.9659,174.2774,5.5632,22.2528,1.5688,0.0000,1066.6667,158.3333,14.8352,50.0688,0.6606,1.8991,0.0138,0.0110,0.0138,0.0138,0.0000,1511.6868,0.0000,1590.6643
26/03/2012 00:00:00, NaN,0.4500,20.0715,41.6165,146.8906,162.7363,4.9164,19.6658,1.3152,0.0000,1066.6667,158.3333,13.1105,44.2479,0.5538,1.5921,0.0138,0.0110,0.0138,0.0138,0.0000,1139.5143,0.0000,1234.3578
27/03/2012 00:00:00, NaN,0.4500,19.9382,27.3074,147.8320,151.8622,4.3056,17.2225,1.0755,0.0000,1066.6667,158.3333,11.4817,38.7506,0.4528,1.3019,0.0138,0.0110,0.0138,0.0138,0.0000,787.3123,0.0000,897.1750
28/03/2012 00:00:00, NaN,0.4500,19.8044,55.7324,148.7898,173.4569,5.5165,22.0661,1.5514,0.0000,1066.6667,158.3333,14.7108,49.6488,0.6532,1.8780,0.0138,0.0110,0.0138,0.0138,0.0000,1467.1664,0.0000,1542.6286
29/03/2012 00:00:00, NaN,0.4500,19.6701,100.8064,149.7636,207.5755,7.4245,29.6980,2.2880,0.0000,1066.6667,158.3333,19.7987,66.8206,0.9634,2.7696,0.0138,0.0110,0.0138,0.0138,0.0000,2555.9512,0.0000,2577.4290
30/03/2012 00:00:00, NaN,0.4500,19.5352,103.2588,150.7532,209.4329,7.5273,30.1093,2.3270,0.0000,1066.6667,158.3333,20.0729,67.7459,0.9798,2.8169,0.0138,0.0110,0.0138,0.0138,0.0000,2614.7505,0.0000,2632.2490
31/03/2012 00:00:00, NaN,0.4500,19.3999,97.3632,151.7584,204.9890,7.2774,29.1097,2.2311,0.0000,1066.6667,158.3333,19.4065,65.4969,0.9394,2.7008,0.0138,0.0110,0.0138,0.0138,0.0000,2470.8120,0.0000,2493.1645
01/04/2012 00:00:00, NaN,0.4500,19.2642,84.1351,152.7787,194.9920,6.7135,26.8540,2.0106,0.0000,1066.6667,158.3333,17.9027,60.4215,0.8466,2.4338,0.0138,0.0110,0.0138,0.0138,0.0000,2146.7798,0.0000,2180.7186
02/04/2012 00:00:00, NaN,0.4500,19.1281,113.3455,153.8139,217.2738,7.9849,31.9397,2.5318,0.0000,1066.6667,158.3333,21.2931,71.8642,1.0660,3.0649,0.0138,0.0110,0.0138,0.0138,0.0000,2861.4539,0.0000,2867.5096
03/04/2012 00:00:00, NaN,0.4500,18.9917,113.1336,154.8638,217.0131,7.9617,31.8467,2.5059,0.0000,1066.6667,158.3333,21.2312,71.6552,1.0551,3.0335,0.0138,0.0110,0.0138,0.0138,0.0000,2853.1711,0.0000,2860.0345
04/04/2012 00:00:00, NaN,0.4500,18.8549,108.8075,155.9279,213.7407,7.7764,31.1056,2.4324,0.0000,1066.6667,158.3333,20.7370,69.9875,1.0242,2.9445,0.0138,0.0110,0.0138,0.0138,0.0000,2746.2912,0.0000,2758.0515
05/04/2012 00:00:00, NaN,0.4500,18.7180,98.3004,157.0060,205.8132,7.3298,29.3193,2.2588,0.0000,1066.6667,158.3333,19.5462,65.9685,0.9511,2.7344,0.0138,0.0110,0.0138,0.0138,0.0000,2486.1010,0.0000,2508.9062
06/04/2012 00:00:00, NaN,0.4500,18.5808,78.9889,158.0977,191.2263,6.5065,26.0261,1.9354,0.0000,1066.6667,158.3333,17.3508,58.5588,0.8149,2.3428,0.0138,0.0110,0.0138,0.0138,0.0000,2005.4142,0.0000,2047.5639
07/04/2012 00:00:00, NaN,0.4500,18.4434,53.9355,159.2028,172.2910,5.4353,21.7412,1.5109,0.0000,1066.6667,158.3333,14.4941,48.9177,0.6362,1.8290,0.0138,0.0110,0.0138,0.0138,0.0000,1378.6541,0.0000,1444.5933
08/04/2012 00:00:00, NaN,0.4500,18.3059,32.4174,160.3209,156.0269,4.5120,18.0480,1.1419,0.0000,1066.6667,158.3333,12.0320,40.6080,0.4808,1.3823,0.0138,0.0110,0.0138,0.0138,0.0000,836.8992,0.0000,921.3348
